version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,reason
1.0,v1_0_original_full_entry,Full,2007-01-04,2016-12-30,2432,2.307049726471173,0.1319405751757039,-0.4217075403713003,0.6260089438903866,0.24665019383015244,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.0,0.6009354136619132,600.9354136619131,1.2577499530682312,0.9485701188535686,1.5,
1.0,v1_0_original_full_entry,10Y,,2016-12-30,2432,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
1.0,v1_0_original_full_entry,5Y,2011-10-28,2016-12-30,1260,0.9061398061381503,0.13770836218693883,-0.42170754037130087,0.6505143433269811,0.24429126524906833,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,0.3217437241296554,321.74372412965545,1.249095997717768,0.9730745413269929,1.5,
1.0,v1_0_original_full_entry,3Y,2013-11-29,2016-12-30,756,0.04153350006334233,0.013657133625037288,-0.421707540371301,0.1790913268604489,0.24839310696107947,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,0.1908949829237593,190.8949829237593,1.2091757742587652,0.9661556820944182,1.5,
1.0,v1_0_original_full_entry,1Y,2015-12-22,2016-12-30,252,-0.3117441009489733,-0.3117441009489733,-0.3831347037264672,-1.6383835488333083,0.2137110167907073,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.07081158038125597,70.81158038125596,1.2116123921710567,0.980110630491079,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,Full,2007-01-04,2016-12-30,2432,1.94496164486731,0.11842094579269413,-0.3696393710679621,0.5931551720511367,0.23567303782777213,594.0,454.0,454.0,234.0,184.0,12.0,6.0,5.0,1805.0,0.5637953209534634,563.7953209534633,1.3218585225584414,0.8699541292462774,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,,2016-12-30,2432,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2011-10-28,2016-12-30,1260,0.8109415484994722,0.12611018538665508,-0.3696393710679623,0.6269654443064383,0.23283834436321305,277.0,235.0,235.0,130.0,100.0,9.0,4.0,3.0,981.0,0.3083595285039754,308.3595285039754,1.313422577463555,0.8905988799049975,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2013-11-29,2016-12-30,756,0.10591117542101447,0.03412590063230936,-0.36963937106796196,0.26049878963050327,0.23856808306796912,153.0,123.0,123.0,77.0,58.0,7.0,2.0,1.0,603.0,0.17787502659826163,177.87502659826163,1.2656686621058395,0.8959399911243827,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2015-12-22,2016-12-30,252,-0.2697531575995533,-0.2697531575995533,-0.36963937106796196,-1.3506789916520971,0.21517580896059166,42.0,45.0,45.0,28.0,23.0,0.0,0.0,0.0,211.0,0.066463068779688,66.46306877968799,1.281337637798179,0.9265494536173124,1.5,
