year,return,days
2007,-0.07153055608930714,242
2008,0.0013960012472078454,246
2009,0.24915056412155523,244
2010,0.025199011799671878,242
2011,0.27873546040979047,244
2012,0.258143598837951,243
2013,0.3229781521394257,238
2014,0.002722824225352527,245
2015,0.5237136217255423,244
2016,-0.23943670362603353,244
