start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,partial_position_days,pending_days,max_pending_days,staged_initials,staged_fills,avg_turnover,turnover_total,cost_total,candidate,segment,initial_entry_fraction,r2_threshold,switch_buffer
2011-12-09,2026-09-02,3578,0.2304516411332378,0.24371634664376826,0.9722486786218211,-0.3646693805451159,0.8943543879262158,0.8943543879262158,0,0,0,0,0,0.19312465064281722,691.0,0.691,full_entry_1.00,full,1.0,off,1.0
2016-04-21,2026-09-02,2520,0.34170002754532525,0.24090591081288873,1.3398950386378166,-0.21482886172980187,0.975,0.975,0,0,0,0,0,0.22301587301587303,562.0,0.562,full_entry_1.00,last_10y,1.0,off,1.0
2021-06-25,2026-09-02,1260,0.4839680213198021,0.26626305032071723,1.6141132068788797,-0.21482886172980253,0.9706349206349206,0.9706349206349206,0,0,0,0,0,0.24285714285714285,306.0,0.306,full_entry_1.00,last_5y,1.0,off,1.0
2023-07-24,2026-09-02,756,0.6104951753386827,0.28875082988023815,1.7930810447278684,-0.17184869163190497,0.9642857142857143,0.9642857142857143,0,0,0,0,0,0.2619047619047619,198.0,0.198,full_entry_1.00,last_3y,1.0,off,1.0
2025-08-20,2026-09-02,252,0.3335966024152561,0.3138489225670585,1.0743488348190062,-0.17184869163190508,0.9722222222222222,0.9722222222222222,0,0,0,0,0,0.3492063492063492,88.0,0.08800000000000001,full_entry_1.00,last_1y,1.0,off,1.0
2011-12-09,2026-09-02,3578,0.22725774644891583,0.23829709756104275,0.9781944994634677,-0.36422791952731204,0.8762716601453325,0.8943543879262158,647,647,7,346,292,0.19010620458356622,680.1999999999999,0.6801999999999999,staged_0.90,full,0.9,off,1.0
2016-04-21,2026-09-02,2520,0.33479807674148043,0.23443069284004125,1.348618780835046,-0.20890988373435315,0.953809523809524,0.975,534,534,7,281,233,0.21920634920634924,552.4000000000001,0.5524,staged_0.90,last_10y,0.9,off,1.0
2021-06-25,2026-09-02,1260,0.479005825843168,0.25707585328977606,1.6499432432156513,-0.20890988373435293,0.9489682539682542,0.9706349206349206,273,273,7,153,126,0.2385714285714286,300.6,0.3006,staged_0.90,last_5y,0.9,off,1.0
2023-07-24,2026-09-02,756,0.5992183039696048,0.27682959446478966,1.8334689802580877,-0.16322067554847874,0.9408730158730159,0.9642857142857143,177,177,7,99,78,0.2563492063492064,193.8,0.1938,staged_0.90,last_3y,0.9,off,1.0
2025-08-20,2026-09-02,252,0.3361424480413484,0.3036745645583737,1.106267236633578,-0.16322067554847886,0.9412698412698413,0.9722222222222222,78,78,4,44,36,0.3428571428571428,86.39999999999999,0.0864,staged_0.90,last_1y,0.9,off,1.0
2011-12-09,2026-09-02,3578,0.22391413806423932,0.2333326742666007,0.9824793329985035,-0.36392602599138346,0.8581889323644495,0.8943543879262158,647,647,7,346,292,0.18708775852431525,669.4,0.6694,staged_0.80,full,0.8,off,1.0
2016-04-21,2026-09-02,2520,0.3277305043390979,0.22847264518980218,1.3547415289653277,-0.20296936582665792,0.9326190476190476,0.975,534,534,7,281,233,0.2153968253968254,542.8,0.5428000000000001,staged_0.80,last_10y,0.8,off,1.0
2021-06-25,2026-09-02,1260,0.47372132736231665,0.24855737721610027,1.6838601670131632,-0.20296936582665792,0.9273015873015872,0.9706349206349206,273,273,7,153,126,0.23428571428571426,295.2,0.2952,staged_0.80,last_5y,0.8,off,1.0
