candidate,initial_entry_fraction,r2_threshold,switch_buffer,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,partial_position_days_full,partial_position_days_last_10y,partial_position_days_last_1y,partial_position_days_last_3y,partial_position_days_last_5y,pending_days_full,pending_days_last_10y,pending_days_last_1y,pending_days_last_3y,pending_days_last_5y,max_pending_days_full,max_pending_days_last_10y,max_pending_days_last_1y,max_pending_days_last_3y,max_pending_days_last_5y,staged_initials_full,staged_initials_last_10y,staged_initials_last_1y,staged_initials_last_3y,staged_initials_last_5y,staged_fills_full,staged_fills_last_10y,staged_fills_last_1y,staged_fills_last_3y,staged_fills_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_full_full,max_dd_delta_vs_full_full,ann_return_delta_vs_full_last_10y,max_dd_delta_vs_full_last_10y,ann_return_delta_vs_full_last_5y,max_dd_delta_vs_full_last_5y,ann_return_delta_vs_full_last_3y,max_dd_delta_vs_full_last_3y,ann_return_delta_vs_full_last_1y,max_dd_delta_vs_full_last_1y,decision_hint,stability_label
full_entry_1.00,1.0,off,1.0,0.2304516411332378,0.34170002754532525,0.3335966024152561,0.6104951753386827,0.4839680213198021,0.24371634664376826,0.24090591081288873,0.3138489225670585,0.28875082988023815,0.26626305032071723,0.9722486786218211,1.3398950386378166,1.0743488348190062,1.7930810447278684,1.6141132068788797,-0.3646693805451159,-0.21482886172980187,-0.17184869163190508,-0.17184869163190497,-0.21482886172980253,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19312465064281722,0.22301587301587303,0.3492063492063492,0.2619047619047619,0.24285714285714285,0.691,0.562,0.08800000000000001,0.198,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pure_base_staged_entry_ablation,pending_review
staged_0.90,0.9,off,1.0,0.22725774644891583,0.33479807674148043,0.3361424480413484,0.5992183039696048,0.479005825843168,0.23829709756104275,0.23443069284004125,0.3036745645583737,0.27682959446478966,0.25707585328977606,0.9781944994634677,1.348618780835046,1.106267236633578,1.8334689802580877,1.6499432432156513,-0.36422791952731204,-0.20890988373435315,-0.16322067554847886,-0.16322067554847874,-0.20890988373435293,0.8762716601453325,0.953809523809524,0.9412698412698413,0.9408730158730159,0.9489682539682542,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.19010620458356622,0.21920634920634924,0.3428571428571428,0.2563492063492064,0.2385714285714286,0.6801999999999999,0.5524,0.0864,0.1938,0.3006,-0.003193894684321963,0.00044146101780384583,-0.006901950803844814,0.005918977995448715,-0.004962195476634124,0.005918977995449604,-0.011276871369077845,0.008628016083426227,0.00254584562609228,0.008628016083426227,pure_base_staged_entry_ablation,pending_review
staged_0.80,0.8,off,1.0,0.22391413806423932,0.3277305043390979,0.33824023808718096,0.587512519213111,0.47372132736231665,0.2333326742666007,0.22847264518980218,0.29425374303812407,0.26570126923783316,0.24855737721610027,0.9824793329985035,1.3547415289653277,1.1374332614186544,1.8718565026983962,1.6838601670131632,-0.36392602599138346,-0.20296936582665792,-0.15466077017433566,-0.154660770174336,-0.20296936582665792,0.8581889323644495,0.9326190476190476,0.9103174603174603,0.9174603174603175,0.9273015873015872,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.18708775852431525,0.2153968253968254,0.33650793650793653,0.2507936507936508,0.23428571428571426,0.6694,0.5428000000000001,0.0848,0.1896,0.2952,-0.006537503068998474,0.0007433545537324227,-0.013969523206227352,0.011859495903143946,-0.010246693957485453,0.011859495903144612,-0.02298265612557171,0.017187921457568978,0.004643635671924828,0.01718792145756942,pure_base_staged_entry_ablation,pending_review
staged_0.75,0.75,off,1.0,0.22218620557233404,0.32413501809511547,0.3391204721461605,0.581500199227138,0.4709581766133004,0.2310303299810983,0.2257005624961297,0.28984908721776487,0.26046668277333096,0.244571077556176,0.9839171008831923,1.3566704460790935,1.1525426059596413,1.8898750616958713,1.6997964766980083,-0.3638277745849191,-0.1999910733352671,-0.1515783088419762,-0.15157830884197598,-0.199991073335267,0.8491475684740079,0.9220238095238096,0.8948412698412699,0.9057539682539683,0.9164682539682539,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.18557853549468978,0.21349206349206348,0.3333333333333333,0.24801587301587302,0.23214285714285715,0.6639999999999999,0.538,0.08400000000000002,0.18750000000000003,0.2925,-0.008265435560903756,0.0008416059601967785,-0.01756500945020978,0.014837788394534757,-0.013009844706501683,0.014837788394535534,-0.028994976111544668,0.020270382789928987,0.005523869730904352,0.020270382789928876,pure_base_staged_entry_ablation,pending_review
staged_0.67,0.67,off,1.0,0.2193437034460357,0.31829720631284,0.3402942928422741,0.5716612827214238,0.4663694622095378,0.22760771335744442,0.221568869435054,0.2832560708470364,0.2525923601556853,0.2386008465318857,0.9851365053081146,1.3579813553421287,1.1757828498598524,1.916434558360738,1.723438758377199,-0.3637440770080337,-0.19521472241824378,-0.1466390386410592,-0.1466390386410591,-0.19521472241824378,0.8346813862493012,0.9050714285714284,0.870079365079365,0.8870238095238094,0.8991349206349207,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.183163778647289,0.2104444444444444,0.32825396825396824,0.24357142857142855,0.22871428571428568,0.6553599999999999,0.53032,0.08272,0.18414,0.28818,-0.011107937687202085,0.0009253035370822005,-0.02340282123248527,0.019614139311558088,-0.01759855911026431,0.019614139311558754,-0.03883389261725889,0.025209652990845877,0.006697690427017955,0.025209652990845877,pure_base_staged_entry_ablation,pending_review
staged_0.60,0.6,off,1.0,0.21677797613366323,0.31310373107115796,0.3410840939993496,0.5628326077540626,0.46218505064130566,0.22488658765184633,0.2182746965767775,0.2779730311016774,0.24624863009051798,0.23381495002888114,0.9850235657203116,1.357157340530511,1.194906816329552,1.9367458669198319,1.741833793190291,-0.36374541570160923,-0.19102427652278875,-0.14230985575359767,-0.14230985575359778,-0.19102427652278853,0.8220234768026832,0.890238095238095,0.8484126984126985,0.8706349206349207,0.8839682539682537,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.18105086640581333,0.20777777777777773,0.32380952380952377,0.23968253968253966,0.2257142857142857,0.6478,0.5236,0.0816,0.1812,0.2844,-0.013673664999574564,0.0009239648435066528,-0.028596296474167282,0.023804585207013118,-0.02178297067849644,0.023804585207014006,-0.047662567584620064,0.02953883587830719,0.007487491584093453,0.029538835878307412,pure_base_staged_entry_ablation,pending_review
staged_0.50,0.5,off,1.0,0.21298553875125337,0.3055471666891971,0.34182744426866907,0.5498681488992496,0.4559332720606206,0.2214617485722299,0.21411707546620853,0.2712667972883888,0.23815479597829414,0.22774038366603977,0.9827838352134781,1.3524427541234099,1.2196884198825024,1.9596128991666644,1.763509790701865,-0.3638687634788762,-0.18501999484965437,-0.1361136202594978,-0.13611362025949825,-0.18501999484965415,0.8039407490217999,0.8690476190476191,0.8174603174603174,0.8472222222222222,0.8623015873015873,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.17803242034656233,0.20396825396825397,0.31746031746031744,0.23412698412698413,0.22142857142857142,0.637,0.514,0.08000000000000002,0.17700000000000002,0.279,-0.017466102381984427,0.0008006170662396839,-0.03615286085612812,0.0298088668801475,-0.02803474925918148,0.029808866880148388,-0.060627026439433074,0.035735071372406724,0.00823084185341294,0.03573507137240728,pure_base_staged_entry_ablation,pending_review
staged_0.40,0.4,off,1.0,0.20904361579338837,0.29783024751281073,0.34211731172263105,0.5364940954697521,0.4493591809467157,0.21860387232058673,0.21063874068948765,0.26561660182016555,0.23130770615332272,0.22262852143096973,0.9779107228407133,1.3431708330138432,1.2407238364727187,1.9733572702433515,1.7786195914486393,-0.3641358046250378,-0.17899475273507826,-0.12990384526176724,-0.12990384526176735,-0.17899475273507837,0.7858580212409166,0.847857142857143,0.7865079365079365,0.8238095238095238,0.8406349206349208,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.17501397428731136,0.20015873015873017,0.3111111111111111,0.2285714285714286,0.21714285714285717,0.6262,0.5044,0.0784,0.17279999999999998,0.2736,-0.021408025339849424,0.0005335759200780776,-0.043869780032514516,0.03583410899472361,-0.034608840373086425,0.03583410899472417,-0.07400107986893056,0.04194484637013762,0.008520709307374918,0.041944846370137845,pure_base_staged_entry_ablation,pending_review
staged_0.33,0.33,off,1.0,0.2061953614231895,0.29233370122394975,0.3420502257877265,0.5268913616798538,0.4445656267879676,0.216952952093348,0.20862666232084637,0.2623268397798779,0.22731809283091575,0.21965975323764447,0.9728408176457416,1.3337729265624458,1.2527734327671696,1.97644040802277,1.784632266033686,-0.3644086904997431,-0.17476469282132934,-0.12554907368169754,-0.1255490736816981,-0.17476469282132967,0.7732001117942986,0.8330238095238096,0.7648412698412699,0.807420634920635,0.8254682539682539,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.17290106204583566,0.19749206349206347,0.3066666666666667,0.2246825396825397,0.21414285714285713,0.61864,0.49768,0.07728,0.16986,0.26982,-0.02425627971004829,0.00026069004537276896,-0.0493663263213755,0.04006416890847253,-0.03940239453183447,0.040064168908472864,-0.08360381365882885,0.04629961795020687,0.008453623372470354,0.04629961795020754,pure_base_staged_entry_ablation,pending_review
staged_0.25,0.25,off,1.0,0.20285059109883186,0.2859570948190522,0.3417013226032839,0.5156765823784053,0.43889408280030007,0.21542855494068305,0.20676856441808686,0.2592688247743744,0.2236212264595045,0.21691215376260198,0.9653125993980822,1.3199687717721567,1.2634603163608622,1.972437110535538,1.7863578435245624,-0.3648076359796908,-0.1713967482090275,-0.12056431560188774,-0.12056431560188763,-0.17139674820902695,0.758733929569592,0.8160714285714286,0.7400793650793651,0.7886904761904762,0.8081349206349207,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,647,534,78,177,273,647,534,78,177,273,7,7,4,7,7,346,281,44,99,153,292,233,36,78,126,0.17048630519843488,0.19444444444444445,0.30158730158730157,0.22023809523809523,0.21071428571428572,0.61,0.49,0.07600000000000001,0.16649999999999998,0.2655,-0.02760105003440594,-0.00013825543457490763,-0.055742932726273065,0.04343211352077436,-0.04507393851950203,0.043432113520775584,-0.09481859296027739,0.05128437603001734,0.00810472018802777,0.05128437603001734,pure_base_staged_entry_ablation,pending_review
