start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,cash_days,trade_days,avg_turnover,turnover_total,cost_total,candidate,segment,weight_power,lookback,score_max,r2,switch_buffer,initial_entry_fraction,overheat,target_vol
2011-12-09,2026-09-02,3578,0.21586820251988703,0.2531100482339901,0.8977520740400555,-0.3832566078830706,0.8940749021799889,0.8940749021799889,379,332,0.16685299049748462,597.0,0.597,weight_power_0,full,0,25,5.0,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.283140307381482,0.25612056794703,1.0999987998040643,-0.2902338103109986,0.9761904761904762,0.9761904761904762,60,247,0.18888888888888888,476.0,0.47600000000000003,weight_power_0,last_10y,0,25,5.0,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.3790017367091174,0.28565121619395756,1.2649438642586568,-0.21271971133001422,0.9714285714285714,0.9714285714285714,36,127,0.19365079365079366,244.0,0.24400000000000002,weight_power_0,last_5y,0,25,5.0,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.4036488624826491,0.312136468520906,1.237957903220819,-0.21271971133001466,0.9629629629629629,0.9629629629629629,28,87,0.2222222222222222,168.0,0.168,weight_power_0,last_3y,0,25,5.0,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.12610219587342342,0.30815579581904573,0.5394303438314089,-0.21271971133001466,0.9801587301587301,0.9801587301587301,5,35,0.2698412698412698,68.0,0.068,weight_power_0,last_1y,0,25,5.0,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.24715588856622128,0.2479361108205665,1.014383172167481,-0.31776547835430236,0.8957518166573505,0.8957518166573505,373,327,0.16405813303521521,587.0,0.587,weight_power_0p25,full,0.25,25,5.0,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3343521879071245,0.24864044291450804,1.2838729618822304,-0.22108630159520848,0.9761904761904762,0.9761904761904762,60,243,0.18571428571428572,468.0,0.468,weight_power_0p25,last_10y,0.25,25,5.0,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.41891543322723424,0.2740535003619079,1.4123989291929449,-0.19974234744910546,0.9714285714285714,0.9714285714285714,36,124,0.18888888888888888,238.0,0.238,weight_power_0p25,last_5y,0.25,25,5.0,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.43348251515290137,0.2945421092415459,1.3677129807454753,-0.1997423474491059,0.9629629629629629,0.9629629629629629,28,84,0.21428571428571427,162.0,0.16200000000000003,weight_power_0p25,last_3y,0.25,25,5.0,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.1537242852164009,0.31597479762369174,0.610569831718514,-0.19974234744910568,0.9761904761904762,0.9761904761904762,6,36,0.2777777777777778,70.0,0.07,weight_power_0p25,last_1y,0.25,25,5.0,off,1.0,1.0,off,off
