candidate,weight_power,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,cash_days_full,cash_days_last_10y,cash_days_last_1y,cash_days_last_3y,cash_days_last_5y,trade_days_full,trade_days_last_10y,trade_days_last_1y,trade_days_last_3y,trade_days_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_current_full,max_dd_delta_vs_current_full,ann_return_delta_vs_current_last_10y,max_dd_delta_vs_current_last_10y,ann_return_delta_vs_current_last_5y,max_dd_delta_vs_current_last_5y,ann_return_delta_vs_current_last_3y,max_dd_delta_vs_current_last_3y,ann_return_delta_vs_current_last_1y,max_dd_delta_vs_current_last_1y,decision_hint,stability_label
weight_power_0,0,0.21586820251988703,0.283140307381482,0.12610219587342342,0.4036488624826491,0.3790017367091174,0.2531100482339901,0.25612056794703,0.30815579581904573,0.312136468520906,0.28565121619395756,0.8977520740400555,1.0999987998040643,0.5394303438314089,1.237957903220819,1.2649438642586568,-0.3832566078830706,-0.2902338103109986,-0.21271971133001466,-0.21271971133001466,-0.21271971133001422,0.8940749021799889,0.9761904761904762,0.9801587301587301,0.9629629629629629,0.9714285714285714,0.8940749021799889,0.9761904761904762,0.9801587301587301,0.9629629629629629,0.9714285714285714,379,60,5,28,36,332,247,35,87,127,0.16685299049748462,0.18888888888888888,0.2698412698412698,0.2222222222222222,0.19365079365079366,0.597,0.47600000000000003,0.068,0.168,0.24400000000000002,-0.014583438613350763,-0.018587227337954704,-0.058559720163843254,-0.07540494858119673,-0.10496628461068469,0.0021091503997883176,-0.2068463128560336,-0.04087101969810969,-0.2074944065418327,-0.04087101969810958,recency_weight_exponent_scan,pending_review
weight_power_0p25,0.25,0.24715588856622128,0.3343521879071245,0.1537242852164009,0.43348251515290137,0.41891543322723424,0.2479361108205665,0.24864044291450804,0.31597479762369174,0.2945421092415459,0.2740535003619079,1.014383172167481,1.2838729618822304,0.610569831718514,1.3677129807454753,1.4123989291929449,-0.31776547835430236,-0.22108630159520848,-0.19974234744910568,-0.1997423474491059,-0.19974234744910546,0.8957518166573505,0.9761904761904762,0.9761904761904762,0.9629629629629629,0.9714285714285714,0.8957518166573505,0.9761904761904762,0.9761904761904762,0.9629629629629629,0.9714285714285714,373,60,6,28,36,327,243,36,84,124,0.16405813303521521,0.18571428571428572,0.2777777777777778,0.21428571428571427,0.18888888888888888,0.587,0.468,0.07,0.16200000000000003,0.238,0.016704247432983488,0.04690390219081353,-0.007347839638200737,-0.006257439865406611,-0.06505258809256786,0.015086514280697072,-0.17701266018578132,-0.027893655817200935,-0.1798723171988552,-0.027893655817200602,recency_weight_exponent_scan,pending_review
weight_power_0p5,0.5,0.233760831541163,0.3305926173180209,0.031912682328023356,0.3885831540519942,0.3583936131526062,0.24507547919961165,0.24378776461778542,0.30717253527730887,0.28849348251738044,0.26877025095053547,0.9793479173840114,1.2929364967420836,0.25561024779654384,1.279852735298008,1.2724338691610546,-0.3639022482700429,-0.22128350083760528,-0.22128350083760395,-0.22128350083760429,-0.22128350083760473,0.897708216880939,0.9765873015873016,0.9722222222222222,0.9642857142857143,0.9722222222222222,0.897708216880939,0.9765873015873016,0.9722222222222222,0.9642857142857143,0.9722222222222222,366,59,7,27,35,347,265,45,94,141,0.17467859139183903,0.2015873015873016,0.3492063492063492,0.24074074074074073,0.21587301587301588,0.625,0.508,0.088,0.18200000000000002,0.272,0.003309190407925211,0.0007671322750729681,-0.011107410227304326,-0.006454639107803417,-0.1255744081671959,-0.006454639107802196,-0.22191202128668852,-0.049434809205699315,-0.30168392008723277,-0.04943480920569887,recency_weight_exponent_scan,pending_review
weight_power_0p75,0.75,0.24795612401529565,0.3633291898335067,0.1313514845272099,0.4903465662162172,0.4472147630104424,0.24389774909909856,0.2422222118347446,0.31107622651323263,0.289586935351567,0.2665467524186792,1.029759350699753,1.400047623047138,0.5520079938637246,1.5206127334368411,1.5184992327913043,-0.37210618339757073,-0.216799576166948,-0.21679957616694856,-0.21679957616694856,-0.21679957616694767,0.8968697596422582,0.9765873015873016,0.9761904761904762,0.9656084656084656,0.9722222222222222,0.8968697596422582,0.9765873015873016,0.9761904761904762,0.9656084656084656,0.9722222222222222,369,59,6,26,35,367,284,44,99,150,0.1864169927333706,0.21666666666666667,0.3412698412698413,0.25396825396825395,0.23015873015873015,0.667,0.546,0.086,0.192,0.29,0.01750448288205786,-0.007436802852454849,0.021629162288181458,-0.001970714437146137,-0.036753258309359715,-0.001970714437145138,-0.1201486091224655,-0.04495088453504359,-0.20224511788804622,-0.04495088453504348,recency_weight_exponent_scan,pending_review
weight_power_1,1,0.2304516411332378,0.34170002754532525,0.3335966024152561,0.6104951753386827,0.4839680213198021,0.24371634664376826,0.24090591081288873,0.3138489225670585,0.28875082988023815,0.26626305032071723,0.9722486786218211,1.3398950386378166,1.0743488348190062,1.7930810447278684,1.6141132068788797,-0.3646693805451159,-0.21482886172980187,-0.17184869163190508,-0.17184869163190497,-0.21482886172980253,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,378,63,7,27,37,384,293,45,102,158,0.19312465064281722,0.22301587301587303,0.3492063492063492,0.2619047619047619,0.24285714285714285,0.691,0.562,0.08800000000000001,0.198,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recency_weight_exponent_scan,pending_review
weight_power_1p25,1.25,0.23792520959408958,0.31842333795411326,0.4715397964914805,0.6201813369767755,0.49995705184517036,0.23911207014660715,0.23731441234112893,0.3111966135040332,0.285296545036927,0.2634173584619603,1.011590622645987,1.2827703335767344,1.3975364945335922,1.8324631784705778,1.6694940649108896,-0.35827047613720553,-0.21050542814814954,-0.17028482162007452,-0.1702848216200744,-0.210505428148149,0.8915595304639463,0.975,0.9761904761904762,0.9642857142857143,0.969047619047619,0.8915595304639463,0.975,0.9761904761904762,0.9642857142857143,0.969047619047619,388,63,6,27,39,407,310,45,112,170,0.20374510899944104,0.2357142857142857,0.3492063492063492,0.2857142857142857,0.25873015873015875,0.7290000000000001,0.5940000000000001,0.08800000000000001,0.21600000000000003,0.326,0.007473568460851787,0.006398904407910355,-0.023276689591211985,0.004323433581652325,0.015989030525368264,0.004323433581653546,0.009686161638092772,0.0015638700118305593,0.13794319407622435,0.0015638700118305593,recency_weight_exponent_scan,pending_review
weight_power_1p5,1.5,0.20322315735225893,0.26766129597297383,0.6153710073550609,0.49208186020492395,0.44380704176999175,0.22786959688852082,0.22581469458810163,0.31977607291908694,0.25997906494972,0.2467451115825,0.9258490536793406,1.1633089299779071,1.6607646977337895,1.6697423025079174,1.6119152910157766,-0.3394128285778937,-0.18444479435349925,-0.14009521459502539,-0.15362625968431232,-0.17397644975075222,0.8893236444941308,0.9746031746031746,0.9761904761904762,0.9656084656084656,0.9682539682539683,0.8893236444941308,0.9746031746031746,0.9761904761904762,0.9656084656084656,0.9682539682539683,396,64,6,26,40,444,335,51,129,189,0.22219116825041924,0.25476190476190474,0.3968253968253968,0.328042328042328,0.2873015873015873,0.795,0.642,0.1,0.24800000000000003,0.36200000000000004,-0.027228483780978863,0.025256551967222207,-0.07403873157235141,0.030384067376302615,-0.04016097954981035,0.04085241197905032,-0.11841331513375875,0.018222431947592654,0.28177440493980477,0.031753477036879696,recency_weight_exponent_scan,pending_review
weight_power_2,2,0.1289166724949118,0.19214598631433022,0.3393789413822734,0.33921983482928963,0.32734571509653154,0.22858854346342516,0.22687996251786074,0.3156817311639162,0.25710622684853657,0.2478074819113705,0.6448161660409655,0.8880207866961445,1.0836850765310617,1.264564458246974,1.2662616522441534,-0.3235559421176034,-0.25410961584391556,-0.17768202892908536,-0.17768202892908547,-0.207371216523906,0.8870877585243152,0.973015873015873,0.9722222222222222,0.966931216931217,0.9666666666666667,0.8870877585243152,0.973015873015873,0.9722222222222222,0.966931216931217,0.9666666666666667,404,68,7,25,42,521,399,68,161,233,0.26187814421464506,0.30317460317460315,0.5238095238095238,0.4126984126984127,0.35555555555555557,0.937,0.764,0.132,0.312,0.44800000000000006,-0.101534968638326,0.04111343842751247,-0.14955404123099503,-0.03928075411411369,-0.15662230622327056,0.007457645205896535,-0.27127534050939306,-0.005833337297180496,0.0057823389670172975,-0.005833337297180274,recency_weight_exponent_scan,pending_review
