candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,SWITCH_BUFFER,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,asset_switches,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days,buffer_blocked_days
switch_1.00,0.3,0.25,20,1.0,1.5,full,2015-07-13,2026-05-15,2728,0.2944391121053762,0.22629875195794713,1.2541028324629038,-0.20975617033702543,15.342861034680062,2015-07-13,2022-05-13,950,276,382,2346,0.8599706744868035,1.1902658292795505,1.5,0.0,1356,990,0
switch_1.00,0.3,0.25,20,1.0,1.5,last_10y,2016-05-09,2026-05-15,2520,0.29445462576276116,0.22747944824635938,1.2488528704705886,-0.20975617033702543,12.20895066401613,2016-05-09,2022-05-13,905,256,343,2177,0.8638888888888889,1.1911481349742539,1.5,0.0,1280,897,0
switch_1.00,0.3,0.25,20,1.0,1.5,last_5y,2021-05-11,2026-05-15,1260,0.36723695118231214,0.247124997888283,1.3898103408596725,-0.20975617033702543,3.7777006575644014,2021-05-11,2022-05-13,532,129,173,1087,0.8626984126984127,1.164140181522129,1.5,0.0,587,500,0
switch_1.00,0.3,0.25,20,1.0,1.5,last_3y,2023-05-11,2026-05-15,756,0.499357965776984,0.2530624547356148,1.7281197756335303,-0.1902715498912868,2.3706681236657365,2023-05-11,2026-03-30,286,74,95,661,0.8743386243386243,1.1863254886623185,1.5,0.0,368,293,0
switch_1.00,0.3,0.25,20,1.0,1.5,last_1y,2025-05-15,2026-05-15,252,0.73134773102764,0.26915755552384013,2.1789418897716972,-0.1902715498912868,0.73134773102764,2025-05-15,2026-03-30,124,22,36,216,0.8571428571428571,1.0925893432869271,1.5,0.0,117,99,0
switch_1.01,0.3,0.25,20,1.01,1.5,full,2015-07-13,2026-05-15,2728,0.3015440890547041,0.22600623626865368,1.279668407505319,-0.20975617033702487,16.34054893006127,2015-07-13,2022-05-13,949,274,382,2346,0.8599706744868035,1.1901332141373635,1.5,0.0,1356,990,2
switch_1.01,0.3,0.25,20,1.01,1.5,last_10y,2016-05-09,2026-05-15,2520,0.30214787682794686,0.22716436527142847,1.2763715362806098,-0.20975617033702498,13.015321724763174,2016-05-09,2022-05-13,904,254,343,2177,0.8638888888888889,1.1910045738203305,1.5,0.0,1280,897,2
switch_1.01,0.3,0.25,20,1.01,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3672369511823119,0.24712499788828293,1.3898103408596705,-0.20975617033702487,3.7777006575643988,2021-05-11,2022-05-13,532,129,173,1087,0.8626984126984127,1.164140181522129,1.5,0.0,587,500,0
switch_1.01,0.3,0.25,20,1.01,1.5,last_3y,2023-05-11,2026-05-15,756,0.49935796577698377,0.2530624547356148,1.7281197756335296,-0.1902715498912868,2.3706681236657343,2023-05-11,2026-03-30,286,74,95,661,0.8743386243386243,1.1863254886623185,1.5,0.0,368,293,0
switch_1.01,0.3,0.25,20,1.01,1.5,last_1y,2025-05-15,2026-05-15,252,0.7313477310276422,0.2691575555238403,2.178941889771697,-0.1902715498912868,0.7313477310276422,2025-05-15,2026-03-30,124,22,36,216,0.8571428571428571,1.0925893432869271,1.5,0.0,117,99,0
