candidate,SWITCH_BUFFER,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,trades_full,trades_last_10y,trades_last_1y,trades_last_3y,trades_last_5y,asset_switches_full,asset_switches_last_10y,asset_switches_last_1y,asset_switches_last_3y,asset_switches_last_5y,buffer_blocked_days_full,buffer_blocked_days_last_10y,buffer_blocked_days_last_1y,buffer_blocked_days_last_3y,buffer_blocked_days_last_5y,decision_hint,stability_label
switch_1.00,1.0,0.3,0.25,20,1.5,0.2944391121053762,0.29445462576276116,0.73134773102764,0.499357965776984,0.36723695118231214,-0.20975617033702543,-0.20975617033702543,-0.1902715498912868,-0.1902715498912868,-0.20975617033702543,1.2541028324629038,1.2488528704705886,2.1789418897716972,1.7281197756335303,1.3898103408596725,0.22629875195794713,0.22747944824635938,0.26915755552384013,0.2530624547356148,0.247124997888283,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1902658292795505,1.1911481349742539,1.0925893432869271,1.1863254886623185,1.164140181522129,1.5,1.5,1.5,1.5,1.5,950.0,905.0,124.0,286.0,532.0,276.0,256.0,22.0,74.0,129.0,0.0,0.0,0.0,0.0,0.0,exploratory,pending
switch_1.01,1.01,0.3,0.25,20,1.5,0.3015440890547041,0.30214787682794686,0.7313477310276422,0.49935796577698377,0.3672369511823119,-0.20975617033702487,-0.20975617033702498,-0.1902715498912868,-0.1902715498912868,-0.20975617033702487,1.279668407505319,1.2763715362806098,2.178941889771697,1.7281197756335296,1.3898103408596705,0.22600623626865368,0.22716436527142847,0.2691575555238403,0.2530624547356148,0.24712499788828293,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1901332141373635,1.1910045738203305,1.0925893432869271,1.1863254886623185,1.164140181522129,1.5,1.5,1.5,1.5,1.5,949.0,904.0,124.0,286.0,532.0,274.0,254.0,22.0,74.0,129.0,2.0,2.0,0.0,0.0,0.0,exploratory,pending
switch_1.02,1.02,0.3,0.25,20,1.5,0.3015440890547041,0.30214787682794686,0.73134773102764,0.49935796577698377,0.36723695118231126,-0.20975617033702587,-0.20975617033702576,-0.19027154989128703,-0.19027154989128703,-0.20975617033702576,1.2796684075053202,1.276371536280606,2.178941889771693,1.7281197756335307,1.3898103408596698,0.2260062362686537,0.22716436527142853,0.2691575555238404,0.2530624547356148,0.247124997888283,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1901332141373633,1.1910045738203305,1.0925893432869271,1.1863254886623185,1.164140181522129,1.5,1.5,1.5,1.5,1.5,949.0,904.0,124.0,286.0,532.0,274.0,254.0,22.0,74.0,129.0,2.0,2.0,0.0,0.0,0.0,exploratory,pending
switch_1.03,1.03,0.3,0.25,20,1.5,0.3032318253187687,0.30397586365544704,0.7313477310276413,0.49935796577698377,0.3672369511823119,-0.20975617033702487,-0.20975617033702487,-0.19027154989128692,-0.19027154989128703,-0.20975617033702487,1.285118254332508,1.2822440312206371,2.1789418897717003,1.7281197756335318,1.3898103408596725,0.22606829586418375,0.22723118456568542,0.26915755552384035,0.25306245473561484,0.247124997888283,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.190123826695927,1.1909944115424584,1.0925893432869271,1.1863254886623185,1.1641401815221293,1.5,1.5,1.5,1.5,1.5,948.0,903.0,124.0,286.0,532.0,272.0,252.0,22.0,74.0,129.0,5.0,5.0,0.0,0.0,0.0,exploratory,pending
switch_1.04,1.04,0.3,0.25,20,1.5,0.3003022102365882,0.30080292304466627,0.7313477310276406,0.4993579657769831,0.3672369511823117,-0.20975617033702454,-0.20975617033702465,-0.19027154989128714,-0.19027154989128714,-0.20975617033702476,1.2748604178333378,1.2711992335239142,2.178941889771696,1.7281197756335307,1.3898103408596716,0.22613151159126363,0.22729929888371647,0.26915755552384035,0.2530624547356149,0.24712499788828307,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1897158125937433,1.1905527200858086,1.0925893432869271,1.1863254886623185,1.1641401815221293,1.5,1.5,1.5,1.5,1.5,960.0,915.0,124.0,286.0,532.0,272.0,252.0,22.0,74.0,129.0,6.0,6.0,0.0,0.0,0.0,exploratory,pending
switch_1.05,1.05,0.3,0.25,20,1.5,0.3030617402064011,0.3037916356446071,0.7313477310276408,0.4922633246713519,0.36335158594914074,-0.20975617033702476,-0.20975617033702476,-0.19027154989128658,-0.19027154989128647,-0.20975617033702487,1.2843688620581097,1.2814385949866265,2.1789418897716972,1.7089902647150141,1.3781251190245585,0.2261052084719458,0.22727094112711152,0.2691575555238402,0.2531241781147928,0.24715868468391466,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.189715812593743,1.1905527200858084,1.092589343286927,1.1863254886623182,1.164140181522129,1.5,1.5,1.5,1.5,1.5,958.0,913.0,124.0,286.0,532.0,270.0,250.0,22.0,74.0,129.0,11.0,11.0,0.0,1.0,1.0,exploratory,pending
switch_1.06,1.06,0.3,0.25,20,1.5,0.31576492321647787,0.3175565575748718,0.7313477310276444,0.4922633246713526,0.3633515859491412,-0.20975617033702487,-0.20975617033702498,-0.19027154989128703,-0.19027154989128703,-0.20975617033702498,1.3274851791705211,1.327874532071604,2.178941889771703,1.7089902647150153,1.3781251190245596,0.22606927429939852,0.22723201438985438,0.26915755552384046,0.253124178114793,0.24715868468391483,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1897740254098994,1.19061573776933,1.0925893432869274,1.1863254886623187,1.1641401815221293,1.5,1.5,1.5,1.5,1.5,951.0,906.0,124.0,286.0,532.0,266.0,246.0,22.0,74.0,129.0,12.0,12.0,0.0,1.0,1.0,exploratory,pending
switch_1.07,1.07,0.3,0.25,20,1.5,0.31940432117212203,0.32150216493786954,0.7665811590987663,0.5023180879415017,0.37378503698192445,-0.2097561703370242,-0.20975617033702432,-0.19027154989128703,-0.19027154989128703,-0.2097561703370242,1.3396011496586127,1.3409246011475258,2.2526639348869195,1.7350991071937398,1.4089076199039168,0.2260929347596018,0.2272574051544607,0.26933411712897787,0.2532037588772648,0.24718082352434836,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1897816589647034,1.1906240013953242,1.092109611826532,1.1861655781755203,1.1641567087741178,1.5,1.5,1.5,1.5,1.5,951.0,906.0,124.0,286.0,532.0,266.0,246.0,22.0,74.0,129.0,15.0,15.0,1.0,2.0,3.0,exploratory,pending
switch_1.08,1.08,0.3,0.25,20,1.5,0.3219974614084944,0.3223059004891027,0.7570838589369842,0.49962104965143794,0.375456612976931,-0.20975617033702476,-0.20975617033702498,-0.19027154989128736,-0.19027154989128725,-0.20975617033702487,1.348755066167862,1.3440877313584558,2.2389405710574968,1.7298085443058058,1.4146941294095143,0.22600021871233011,0.2271585938215972,0.26846597455808446,0.2528913700716931,0.24699827745152936,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1900245230081945,1.1908913569457518,1.094763814279369,1.187050312326466,1.164691419874973,1.5,1.5,1.5,1.5,1.5,949.0,904.0,122.0,284.0,530.0,264.0,244.0,20.0,72.0,127.0,20.0,18.0,3.0,4.0,6.0,exploratory,pending
switch_1.09,1.09,0.3,0.25,20,1.5,0.3190015017679533,0.31906220221300075,0.8047494723696669,0.5130606586936537,0.3687167292729445,-0.20975617033702576,-0.20975617033702576,-0.19027154989128692,-0.1902715498912868,-0.20975617033702576,1.3413511615036877,1.3360833359528084,2.338001060984562,1.7647617996523628,1.3997313909762934,0.225471847490127,0.22658949831841557,0.26857814170532807,0.2529553046640055,0.24595416153281077,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.192257257695848,1.1933083808457194,1.094763814279369,1.187050312326466,1.169525467674908,1.5,1.5,1.5,1.5,1.5,929.0,884.0,122.0,284.0,510.0,264.0,244.0,20.0,72.0,127.0,23.0,21.0,5.0,6.0,9.0,exploratory,pending
