candidate,SWITCH_BUFFER,position,days,share
switch_1.00,1.0,QQQ,1356,0.4970674486803519
switch_1.00,1.0,GLD,990,0.3629032258064516
switch_1.00,1.0,CASH,382,0.14002932551319647
switch_1.01,1.01,QQQ,1356,0.4970674486803519
switch_1.01,1.01,GLD,990,0.3629032258064516
switch_1.01,1.01,CASH,382,0.14002932551319647
switch_1.02,1.02,QQQ,1356,0.4970674486803519
switch_1.02,1.02,GLD,990,0.3629032258064516
switch_1.02,1.02,CASH,382,0.14002932551319647
switch_1.03,1.03,QQQ,1355,0.4967008797653959
switch_1.03,1.03,GLD,991,0.36326979472140764
switch_1.03,1.03,CASH,382,0.14002932551319647
switch_1.04,1.04,QQQ,1356,0.4970674486803519
switch_1.04,1.04,GLD,990,0.3629032258064516
switch_1.04,1.04,CASH,382,0.14002932551319647
switch_1.05,1.05,QQQ,1359,0.49816715542521994
switch_1.05,1.05,GLD,987,0.3618035190615836
switch_1.05,1.05,CASH,382,0.14002932551319647
switch_1.06,1.06,QQQ,1358,0.49780058651026393
switch_1.06,1.06,GLD,988,0.3621700879765396
switch_1.06,1.06,CASH,382,0.14002932551319647
switch_1.07,1.07,QQQ,1357,0.4974340175953079
switch_1.07,1.07,GLD,989,0.3625366568914956
switch_1.07,1.07,CASH,382,0.14002932551319647
switch_1.08,1.08,QQQ,1352,0.49560117302052786
switch_1.08,1.08,GLD,994,0.36436950146627567
switch_1.08,1.08,CASH,382,0.14002932551319647
switch_1.09,1.09,QQQ,1353,0.4959677419354839
switch_1.09,1.09,GLD,993,0.36400293255131966
switch_1.09,1.09,CASH,382,0.14002932551319647
switch_1.10,1.1,QQQ,1357,0.4974340175953079
switch_1.10,1.1,GLD,989,0.3625366568914956
switch_1.10,1.1,CASH,382,0.14002932551319647
switch_1.11,1.11,QQQ,1361,0.49890029325513197
switch_1.11,1.11,GLD,985,0.36107038123167157
switch_1.11,1.11,CASH,382,0.14002932551319647
switch_1.12,1.12,QQQ,1361,0.49890029325513197
switch_1.12,1.12,GLD,985,0.36107038123167157
