window,start_old3,end_old3,rows_old3,annual_old3,maxdd_old3,total_old3,vol_old3,sharpe_old3,trades_old3,avg_exposure_old3,start_new6,end_new6,rows_new6,annual_new6,maxdd_new6,total_new6,vol_new6,sharpe_new6,trades_new6,avg_exposure_new6,delta_annual,delta_maxdd,delta_total,delta_vol,delta_sharpe,delta_avg_exposure,delta_trades
full,2007-01-04,2026-07-01,4735,0.1728418186398062,-0.2519639861732379,18.998026869221132,0.17397106573704163,1.0039096100231297,659,0.7189230534843749,2007-01-04,2026-07-01,4735,0.20011111126438785,-0.36517337127590754,29.79966704145097,0.19288290661359248,1.042695141906643,911,0.6699873106519818,0.027269292624581665,-0.11320938510266965,10.801640172229838,0.018911840876550845,0.0387855318835133,-0.0489357428323931,252
10Y,2016-07-01,2026-07-01,2427,0.17840785915527646,-0.22005284310292839,3.8600956911828144,0.16656770763628584,1.06931160239413,332,0.7173579471968061,2016-07-01,2026-07-01,2427,0.18674343908452373,-0.3651733712759079,4.201482952355517,0.19578314993682105,0.9730384699580833,565,0.6134771687275999,0.008335579929247272,-0.1451205281729795,0.34138726117270224,0.029215442300535216,-0.09627313243604674,-0.10388077846920618,233
5Y,2021-07-01,2026-07-01,1211,0.18461455862803144,-0.2200528431029276,1.2572448815013737,0.1730277405136118,1.0660182927502835,172,0.7347242922723634,2021-07-01,2026-07-01,1211,0.039022402144620605,-0.3651733712759082,0.20196531456019273,0.17585752033741467,0.3073645803316834,308,0.4920126430897748,-0.14559215648341084,-0.1451205281729806,-1.055279566941181,0.0028297798238028637,-0.7586537124186001,-0.24271164918258853,136
3Y,2023-07-03,2026-07-01,726,0.30186902505493185,-0.1673470794908244,1.138271850637667,0.18072284041059566,1.5507852864908744,108,0.7981921225601791,2023-07-03,2026-07-01,726,0.14369976864509826,-0.15005902771244561,0.47229280949402086,0.1367639637620764,1.0503847081342557,181,0.4108054011289451,-0.1581692564098336,0.017288051778378777,-0.6659790411436461,-0.043958876648519274,-0.5004005783566188,-0.38738672143123404,73
1Y,2025-07-01,2026-07-01,243,0.5237015357509878,-0.13352716678778764,0.5009553245582448,0.19824310967906064,2.225372206649171,52,0.7175451926453958,2025-07-01,2026-07-01,243,0.31313942137212014,-0.06370080559263291,0.30042542592592136,0.1362593315334936,2.068342178237743,67,0.4469271509631741,-0.21056211437886763,0.06982636119515473,-0.2005298986323234,-0.06198377814556705,-0.15703002841142766,-0.27061804168222175,15
from_2017,2017-01-03,2026-07-01,2303,0.20211510276736355,-0.22005284310292983,4.377966585447306,0.16932522189191243,1.172350958603874,314,0.717149757248381,2017-01-03,2026-07-01,2303,0.167356772136509,-0.3651733712759082,3.1130718704741653,0.19716141196519135,0.8840717207955483,541,0.6056822132319363,-0.03475833063085454,-0.14512052817297838,-1.264894714973141,0.02783619007327892,-0.28827923780832576,-0.11146754401644476,227
