window,start_old3,end_old3,rows_old3,total_old3,annual_old3,maxdd_old3,vol_old3,sharpe_old3,trades_old3,avg_exposure_old3,start_new5,end_new5,rows_new5,total_new5,annual_new5,maxdd_new5,vol_new5,sharpe_new5,trades_new5,avg_exposure_new5,delta_total,delta_annual,delta_maxdd,delta_vol,delta_sharpe,delta_avg_exposure,delta_trades
full,2007-01-04,2026-07-01,4735,18.997948368387494,0.17284157361619945,-0.2519641117502365,0.17397109728129923,1.003908258977747,659,0.7189230535882222,2007-01-04,2026-07-01,4735,25.777869364019665,0.19120699435010358,-0.25196401774445376,0.1746990852789499,1.0893818508388313,714,0.7315647399352775,6.779920995632171,0.018365420733904125,9.400578271367976e-08,0.0007279879976506698,0.08547359186108427,0.012641686347055314,55
10Y,2016-07-01,2026-07-01,2427,3.8600880742086314,0.17840766739247615,-0.22005271266937154,0.1665677053811886,1.0693106374261618,332,0.7173579473860237,2016-07-01,2026-07-01,2427,5.5077882181855395,0.21467566116832737,-0.2154715743881066,0.16803976217445799,1.2417912460111682,387,0.7420214757280393,1.6477001439769081,0.036267993775851215,0.00458113828126494,0.001472056793269394,0.17248060858500636,0.024663528342015684,55
5Y,2021-07-01,2026-07-01,1211,1.2572430734423534,0.18461436117330798,-0.22005271266937365,0.17302772451511036,1.0660174122956603,172,0.7347242933117143,2021-07-01,2026-07-01,1211,2.0732116367438786,0.2631773472596881,-0.2154715743881065,0.1715985867957009,1.4478070442734128,226,0.7523412826842536,0.8159685633015252,0.07856298608638013,0.004581138281267161,-0.0014291377194094734,0.3817896319777525,0.017616989372539305,54
3Y,2023-07-03,2026-07-01,726,1.1382707675921262,0.3018687961711157,-0.1673473227860789,0.18072285232344037,1.5507842233157876,108,0.7981921224983566,2023-07-03,2026-07-01,726,1.6617796769408675,0.40468970676872895,-0.08402110101489135,0.18159978746466307,1.9632109222752887,137,0.8001353128296876,0.5235089093487413,0.10282091059761322,0.08332622177118754,0.0008769351412226956,0.4124266989595011,0.0019431903313310572,29
1Y,2025-07-01,2026-07-01,243,0.5009552105182153,0.5237014156950273,-0.13352716678778753,0.19824312496651939,2.2253716521944464,52,0.7175451923349995,2025-07-01,2026-07-01,243,0.6847189097536459,0.717581509582514,-0.06370080559263258,0.1972141062949921,2.844254291529331,60,0.7185781178426003,0.18376369923543057,0.19388009388748673,0.06982636119515495,-0.0010290186715272986,0.6188826393348847,0.0010329255076008126,8
from_2017,2017-01-03,2026-07-01,2303,4.3779580759033,0.20211489463426413,-0.22005271266937299,0.16932522261123698,1.172349931531623,314,0.7171497576314705,2017-01-03,2026-07-01,2303,6.20123076951926,0.2411365956406477,-0.2154715743881075,0.1708352759463672,1.3504905355286934,369,0.743141239769576,1.8232726936159596,0.03902170100638358,0.0045811382812654955,0.0015100533351302126,0.17814060399707032,0.025991482138105537,55
