position,days,compound_return_on_position_days,sum_return,avg_return,worst_day
BTC-USD,22,-0.24880199313879037,-0.26664987452276356,-0.012120448841943798,-0.14445379816601078
QQQ,23,-0.07431391659037634,-0.0763697820865944,-0.0033204253081127997,-0.026327180574083786
KMLM,29,-0.06071929532043996,-0.06060685515152575,-0.002089891556949164,-0.03130015939167874
159985.SZ,38,-0.028770489058933757,-0.02830938860065657,-0.0007449839105435939,-0.01632774758454103
CASH,1,-7.710949129768885e-06,-7.710949129768885e-06,-7.710949129768885e-06,-7.710949129768885e-06
CN_CYB_399006,11,0.008988389839869715,0.009090710956717984,0.000826428268792544,-0.006348040549330913
GLD,16,0.010264070636548439,0.01029230553940319,0.0006432690962126994,-0.003868242683284784
