date,version,scenario,entry_case,position_before,fraction_before,position,holding_fraction,pending_entry_target,pending_entry_since,pending_entry_days,trade_target,trade_fraction,staged_initial,fill_on_down_day,best_candidate,best_candidate_score,current_score,buffer_blocked,asset_return,gross_return,asset_component,cash_return_component,cash_exposure_effective,turnover,cost,return,nav,trade_count,stop_count,stop_triggered,staged_initial_count,staged_fill_count,score_QQQ,score_GLD,score_CN_CYB_399006,score_159915.SZ,raw_score_QQQ,raw_score_GLD,raw_score_CN_CYB_399006,raw_score_159915.SZ,r2_QQQ,r2_GLD,r2_CN_CYB_399006,r2_159915.SZ,buffer_blocked_count,target_vol,realized_vol,target_vol_scale_effective,target_vol_scale_next,weight,return_before_nav_defense,nav_before_nav_defense,nav_defense_base_dd,nav_defense_scale_effective,nav_defense_scale_next,nav_defense_on_effective,nav_defense_on_next,nav_defense_triggered,nav_defense_recovered,base_return,base_nav,base_gross_return,base_turnover,base_cost,base_position_before,base_position_next,actual_position_before,actual_position_next,overheat_scale_effective,overheat_scale_next,overheat_scale,exposure_effective,final_exposure,final_exposure_after_overheat,drifted_exposure_before_trade,rebalance_delta,buy_delta,sell_delta,effective_trade_count,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,overheat_enter,overheat_exit,overheat_derisk_scale,overheat_recovery_mode,nav_before_overheat,return_before_overheat,overheat_on_effective,overheat_on,overheat_triggered,overheat_recovered,overheat_bias,overheat_bias_mom,overheat_same_side,overheat_feature_missing,overheat_tc,base_position,base_fraction_before,base_holding_fraction,base_trade_target,base_trade_fraction,base_pending_entry_target,base_pending_entry_since,base_pending_entry_days,base_staged_initial,base_fill_on_down_day,actual_entry_state,actual_pending_target,actual_pending_since,actual_pending_days,actual_staged_initial,actual_fill_on_down_day,actual_staged_initial_count,actual_staged_fill_count,staged_entry_event_count,combined_overlay_scale_effective,combined_overlay_scale_next
2007-01-04,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0001173037138344,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0001173037138344,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0001173037138344,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0001173037138344,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-05,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0002346211878301,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0002346211878301,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0002346211878301,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0002346211878301,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-08,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0003519524236013,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0003519524236013,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0003519524236013,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0003519524236013,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-09,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0004692974227622,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0004692974227622,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0004692974227622,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0004692974227622,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-10,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0005866561869272,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0005866561869272,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0005866561869272,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0005866561869272,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-11,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0007040287177111,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0007040287177111,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0007040287177111,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0007040287177111,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-12,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0008214150167287,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0008214150167287,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0008214150167287,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0008214150167287,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-15,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0009388150855951,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0009388150855951,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0009388150855951,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0009388150855951,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-16,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0010562289259257,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0010562289259257,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0010562289259257,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0010562289259257,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
2007-01-17,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.00011730371383444904,0.0,0.00011730371383444904,1.0,0.0,0.0,0.00011730371383444904,1.0011736565393359,0,0,False,0,0,,,,,,,,,,,,,0,,,1.0,1.0,1.0,0.00011730371383444904,1.0011736565393359,0.0,1.0,1.0,False,False,False,False,0.00011730371383444904,1.0011736565393359,0.00011730371383444904,0.0,0.0,CASH,CASH,CASH,CASH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,1.0011736565393359,0.00011730371383444904,False,False,False,False,,,False,False,0.0,CASH,0.0,0.0,,,,,0,False,False,CASH,,,0,False,False,0,0,0,1.0,1.0
