code,label,kind,source_group,error
159915.SZ,???100ETF 159915,cn_etf_qfq,SubD V1.1 six ETF,"RuntimeError(""All qfq data sources failed. 159915.SZ akshare.fund_etf_hist_em daily close: AkShare Eastmoney qfq returned no rows for 159915.SZ / 159915; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without respo | 159915.SZ Tencent fqkline: '159915.SZ' | 159915.SZ Eastmoney push2his kline: Eastmoney returned no data for 159915.SZ; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")"
159941.SZ,??ETF 159941,cn_etf_qfq,SubD V1.1 six ETF,"RuntimeError(""All qfq data sources failed. 159941.SZ akshare.fund_etf_hist_em daily close: AkShare Eastmoney qfq returned no rows for 159941.SZ / 159941; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without respo | 159941.SZ Tencent fqkline: '159941.SZ' | 159941.SZ Eastmoney push2his kline: Eastmoney returned no data for 159941.SZ; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")"
513030.SH,??ETF 513030,cn_etf_qfq,SubD V1.1 six ETF,"RuntimeError(""All qfq data sources failed. 513030.SH akshare.fund_etf_hist_em daily close: AkShare Eastmoney qfq returned no rows for 513030.SH / 513030; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without respo | 513030.SH Tencent fqkline: '513030.SH' | 513030.SH Eastmoney push2his kline: Eastmoney returned no data for 513030.SH; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")"
513520.SH,??ETF 513520,cn_etf_qfq,SubD V1.1 six ETF,"RuntimeError(""All qfq data sources failed. 513520.SH akshare.fund_etf_hist_em daily close: AkShare Eastmoney qfq returned no rows for 513520.SH / 513520; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without respo | 513520.SH Tencent fqkline: '513520.SH' | 513520.SH Eastmoney push2his kline: Eastmoney returned no data for 513520.SH; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")"
159985.SZ,??ETF 159985,cn_etf_qfq,SubD V1.1 six ETF,"RuntimeError(""All qfq data sources failed. 159985.SZ akshare.fund_etf_hist_em daily close: AkShare Eastmoney qfq returned no rows for 159985.SZ / 159985; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without respo | 159985.SZ Tencent fqkline: '159985.SZ' | 159985.SZ Eastmoney push2his kline: Eastmoney returned no data for 159985.SZ; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")"
518880.SH,??ETF 518880,cn_etf_qfq,SubD V1.1 six ETF,"RuntimeError(""All qfq data sources failed. 518880.SH akshare.fund_etf_hist_em daily close: AkShare Eastmoney qfq returned no rows for 518880.SH / 518880; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without respo | 518880.SH Tencent fqkline: '518880.SH' | 518880.SH Eastmoney push2his kline: Eastmoney returned no data for 518880.SH; last_error=('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")"
