candidate,target_vol,vol_window,max_lev,scale_rebalance_threshold,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,leverage_day_ratio_full,leverage_day_ratio_last_10y,leverage_day_ratio_last_1y,leverage_day_ratio_last_3y,leverage_day_ratio_last_5y,delevered_holding_day_ratio_full,delevered_holding_day_ratio_last_10y,delevered_holding_day_ratio_last_1y,delevered_holding_day_ratio_last_3y,delevered_holding_day_ratio_last_5y,avg_scale_full,avg_scale_last_10y,avg_scale_last_1y,avg_scale_last_3y,avg_scale_last_5y,max_scale_full,max_scale_last_10y,max_scale_last_1y,max_scale_last_3y,max_scale_last_5y,scale_cap_day_ratio_full,scale_cap_day_ratio_last_10y,scale_cap_day_ratio_last_1y,scale_cap_day_ratio_last_3y,scale_cap_day_ratio_last_5y,scale_rebalances_full,scale_rebalances_last_10y,scale_rebalances_last_1y,scale_rebalances_last_3y,scale_rebalances_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_off_full,max_dd_delta_vs_off_full,ann_vol_delta_vs_off_full,ann_return_delta_vs_off_last_10y,max_dd_delta_vs_off_last_10y,ann_vol_delta_vs_off_last_10y,ann_return_delta_vs_off_last_5y,max_dd_delta_vs_off_last_5y,ann_vol_delta_vs_off_last_5y,ann_return_delta_vs_off_last_3y,max_dd_delta_vs_off_last_3y,ann_vol_delta_vs_off_last_3y,ann_return_delta_vs_off_last_1y,max_dd_delta_vs_off_last_1y,ann_vol_delta_vs_off_last_1y,decision_hint,stability_label
target_vol_off,off,80,1.5,0.075,0.230451641133244,0.3417000275453328,0.3335966024152617,0.6104951753386918,0.48396802131980965,0.2437163466437678,0.24090591081288817,0.3138489225670579,0.28875082988023765,0.26626305032071673,0.9722486786218217,1.3398950386378174,1.0743488348190053,1.7930810447278678,1.6141132068788802,-0.3646693805451101,-0.2148288617298001,-0.17184869163190508,-0.1718486916319042,-0.21482886172980065,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.19312465064281722,0.22301587301587303,0.3492063492063492,0.2619047619047619,0.24285714285714285,0.691,0.562,0.08800000000000001,0.198,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,target_vol_level_scan,pending_review
target_vol_0.050,0.05,80,1.5,0.075,0.06033920402377868,0.07561918233005338,0.08149019225248,0.12465728048641189,0.1062845140863189,0.06328464206398995,0.059242406817557235,0.06808629380772892,0.06413056576684187,0.06083459912294435,0.9575183870789272,1.260204263530654,1.1847877890610663,1.8641436113100611,1.6909232746759444,-0.13036939680623694,-0.054308437738869064,-0.03685911059578262,-0.03685911059578262,-0.05114217957748235,0.22709371628985306,0.24487357337995003,0.2107225787479959,0.2045297479600453,0.21376395741624213,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.0,0.0,0.0,0.0,0.0,0.8870877585243152,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.26314388612128276,0.24804859530853085,0.21427686452362082,0.20854017823617893,0.2168349272547729,1.0,0.4525208484389672,0.27849330745295603,0.3068249143034756,0.3068249143034756,0.0,0.0,0.0,0.0,0.0,31,21,1,6,10,0.04626804183365294,0.05303533728313,0.07453268205291651,0.05372417387331657,0.05190385925783836,0.16554705368081024,0.1336490499534876,0.01878223587733496,0.040615475448227335,0.06539886266487632,-0.17011243710946533,0.23429998373887317,-0.18043170457977784,-0.2660808452152794,0.16052042399093103,-0.18166350399533093,-0.37768350723349076,0.1636866821523183,-0.20542845119777237,-0.4858378948522799,0.13498958103612158,-0.22462026411339578,-0.2521064101627817,0.13498958103612246,-0.24576262875932897,target_vol_level_scan,pending_review
target_vol_0.075,0.075,80,1.5,0.075,0.08179430004939725,0.10599240296443924,0.11749400193207316,0.18345051308869342,0.15510455500289044,0.08788672102980598,0.08514257520152228,0.09298482833938071,0.08972304342048636,0.08730512824655731,0.9385986391313514,1.2259319288722597,1.241381950706512,1.9224362333621603,1.695411098429251,-0.16012336353633638,-0.08264943177564554,-0.054899373257723205,-0.05489937325772354,-0.07611807411395577,0.33236483633000685,0.3618092747947735,0.2916050106930763,0.2973044787999948,0.3205310586222346,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.0,0.0,0.0,0.0,0.0,0.8870877585243152,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.3797484198803729,0.3678170910713988,0.29762287908567436,0.30426519902315813,0.3258956525111962,1.0,0.7151149889923437,0.3838219608795547,0.5528835167352425,0.5528835167352425,0.0,0.0,0.0,0.0,0.0,62,45,2,13,20,0.06796904232475598,0.07803407857348058,0.10557481438324084,0.07914696963127806,0.07817547924641872,0.2431932334379769,0.19664587800517105,0.026604853224576695,0.05983510904124621,0.0985011038504876,-0.14865734108384676,0.20454601700877373,-0.1558296256139618,-0.23570762458089356,0.13217942995415455,-0.1557633356113659,-0.3288634663169192,0.13871078761584488,-0.17895792207415942,-0.4270446622499984,0.11694931837418066,-0.19902778645975128,-0.21610260048318852,0.11694931837418188,-0.22086409422767717,target_vol_level_scan,pending_review
target_vol_0.100,0.1,80,1.5,0.075,0.10672880519891681,0.14272425906588437,0.13769997943002044,0.23831225138329093,0.20289343366759494,0.11398087109290286,0.11350059357974346,0.12301870182625242,0.11902656852805285,0.11548818478598524,0.9467444994381942,1.2323299724480987,1.1103962590764673,1.8555505350222998,1.657384316129167,-0.19329075508608518,-0.10936755176149027,-0.07268339028170412,-0.07268339028170379,-0.09540175783067262,0.4412616838539186,0.4867755949037612,0.3880777010129546,0.3943992394710704,0.4227801468433524,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.0005589714924538849,0.0,0.0,0.0,0.0,0.8865287870318613,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.49986344374567804,0.49534641546833863,0.39444228346882104,0.40416475598000795,0.43017976729114643,1.0604992817735344,0.9873848484092191,0.568294592840391,0.7371780223136567,0.7371780223136567,0.0,0.0,0.0,0.0,0.0,77,52,3,17,25,0.08985151007600263,0.10412943389109632,0.1365192545723712,0.10410344812796533,0.10243661948724309,0.32148870305193744,0.2624061734055627,0.03440285215223754,0.0787022067847418,0.1290701405539263,-0.1237228359343272,0.17137862545902494,-0.12973547555086493,-0.19897576847944842,0.10546130996830982,-0.12740531723314472,-0.2810745876522147,0.11942710389912803,-0.1507748655347315,-0.37218292395540087,0.09916530135020041,-0.1697242613521848,-0.19589662298524124,0.09916530135020096,-0.19083022074080547,target_vol_level_scan,pending_review
target_vol_0.125,0.125,80,1.5,0.075,0.13047983666391727,0.17538028171711018,0.1841366372096931,0.3045964137610089,0.2555909211430276,0.13974850277994277,0.14020118907427723,0.14831360619021466,0.14571734506731085,0.14263327610931623,0.9474903814836362,1.2227644099513744,1.2139612282518137,1.8977119624252483,1.6670292494804557,-0.2362513991201003,-0.13702978231657503,-0.09021361161931762,-0.09021361161931696,-0.1322934935954555,0.543104571193161,0.6011414397112919,0.46636170603946764,0.48606401602642313,0.5269042263206902,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.023756288429290107,0.026984126984126985,0.0,0.0,0.0,0.8633314700950252,0.948015873015873,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.6144251199103831,0.6139042713570523,0.4755246050914044,0.5004424574405218,0.5383218401199976,1.325624102216918,1.2588788313974781,0.6644744708033571,0.859903844165889,0.859903844165889,0.0,0.0,0.0,0.0,0.0,112,74,4,19,30,0.11104787220019771,0.1290526633533177,0.16603456397346986,0.1286433961432996,0.12764342289317834,0.3973292867323074,0.3252127116503606,0.0418407101213144,0.09725440748433448,0.16083071284540473,-0.09997180446932674,0.12841798142500982,-0.10396784386382502,-0.16631974582822262,0.07779907941322506,-0.10070472173861095,-0.22837710017678203,0.08253536813434514,-0.1236297742114005,-0.3058987615776829,0.08163508001258724,-0.1430334848129268,-0.1494599652055686,0.08163508001258746,-0.1655353163768432,target_vol_level_scan,pending_review
target_vol_0.150,0.15,80,1.5,0.075,0.1465309598612905,0.20325316048963127,0.2063260282784598,0.3553377204496102,0.29868928513369863,0.16654840271899157,0.1678924967303931,0.17769932203514208,0.1758258780506998,0.17123971000706914,0.904287098330048,1.1860577974263788,1.1446681317551215,1.817094727455609,1.6116221458242894,-0.29515170180710404,-0.15798877571676873,-0.10749247739273682,-0.11481930420152608,-0.15671686454102352,0.6487223655497587,0.7189576434213699,0.5594208765759288,0.5874769370825716,0.6311545765377103,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.09698155394074902,0.10992063492063492,0.0,0.017195767195767195,0.010317460317460317,0.7901062045835663,0.8650793650793651,0.9722222222222222,0.9470899470899471,0.9603174603174603,0.7323781775401945,0.7365686175439737,0.5719034591211183,0.6073739058726992,0.6473324276194068,1.5,1.4454304199861105,0.8527157273063095,1.105767033470485,1.105767033470485,0.0011179429849077697,0.0,0.0,0.0,0.0,145,100,8,30,43,0.13352995859361497,0.15528634137141567,0.20019856302132694,0.1563625470209227,0.1538646271757192,0.47777019184795433,0.3913215802559675,0.050450037881374386,0.11821008554781758,0.19386943024140618,-0.08392068127195351,0.06951767873800607,-0.07716794392477622,-0.13844686705570153,0.056840086013031366,-0.07301341408249507,-0.18527873618611101,0.05811199718877713,-0.09502334031364759,-0.2551574548890816,0.05702938743037811,-0.11292495182953785,-0.12727057413680187,0.06435621423916826,-0.1361496005319158,target_vol_level_scan,pending_review
target_vol_0.175,0.175,80,1.5,0.075,0.17228498253771107,0.24041220178646516,0.24247882495347328,0.4307177693527504,0.3578064065687876,0.1930449402381533,0.19523567257002075,0.20622273634785385,0.20507708173181038,0.1991859958639703,0.9198783668534443,1.2011180190115878,1.1561038089891258,1.8487022631058403,1.6347024456921744,-0.3353980415245542,-0.1784351438054178,-0.12452241779751949,-0.12831505662244103,-0.17700435005566983,0.753743376876795,0.8370770695321305,0.6531525288559356,0.6838773459759342,0.735569629822213,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.24203465623253215,0.278968253968254,0.0,0.06746031746031746,0.13174603174603175,0.6380659586361096,0.696031746031746,0.9722222222222222,0.8968253968253969,0.8388888888888889,0.8497373203160884,0.8592014947076714,0.6686195588123284,0.7083119632258976,0.7555719814771067,1.5,1.5,0.9467703578017208,1.2900615390488992,1.2900615390488992,0.0008384572386808273,0.0011904761904761906,0.0,0.0,0.0,151,105,6,27,44,0.1549033618161986,0.18056822544493037,0.23316420981847374,0.1816473536701241,0.17882685024405917,0.5542442285783586,0.4550319281212245,0.05875738087425538,0.1373253993746138,0.2253218313075146,-0.05816665859553294,0.029271339020555898,-0.05067140640561449,-0.10128782575886763,0.036393717924382285,-0.04567023824286742,-0.12616161475102206,0.03782451167413081,-0.06707705445674644,-0.17977740598594139,0.04353363500946317,-0.08367374814842726,-0.0911177774617884,0.04732627383438559,-0.10762618621920403,target_vol_level_scan,pending_review
target_vol_0.200,0.2,80,1.5,0.075,0.1919146110227654,0.277922738278751,0.2697974894682986,0.49369561509344884,0.4119309857263669,0.2176286749815779,0.22029409458157959,0.23103029166144892,0.23126713711075325,0.22540884117134796,0.9153712183417577,1.2232472503455687,1.14955864968817,1.850010808798297,1.6423206771828345,-0.3708031466550985,-0.19956863388121204,-0.13610896209054435,-0.1455797742333369,-0.19956863388121215,0.8488238443778383,0.9417670922168644,0.7222392727321855,0.7699053720245347,0.8304189471479418,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.32504192286193406,0.36428571428571427,0.12698412698412698,0.17195767195767195,0.2126984126984127,0.5620458356623812,0.6107142857142858,0.8452380952380952,0.7923280423280423,0.7579365079365079,0.9573422166325498,0.9680644820206491,0.7389780017216417,0.798350287909567,0.8544927422050106,1.5,1.5,1.1369543030750795,1.4743560446273134,1.4743560446273134,0.06595863610955842,0.07698412698412699,0.0,0.0,0.0,173,121,9,33,55,0.17515902753908866,0.20376786694800375,0.25804386287720893,0.20448683673868395,0.2019896205313231,0.6267190005348593,0.5134950247089696,0.06502705344505666,0.15459204857444508,0.2545069218694671,-0.0385370301104786,-0.006133766109988392,-0.026087671662189893,-0.06377728926658177,0.015260227848588048,-0.02061181623130859,-0.07203703559344277,0.015260227848588492,-0.04085420914936877,-0.11679956024524296,0.026268917398567293,-0.057483692769484396,-0.06379911294696305,0.03573972954136073,-0.08281863090560895,target_vol_level_scan,pending_review
target_vol_0.225,0.225,80,1.5,0.075,0.21030587687171187,0.3152898497925207,0.30205547832391,0.5630886246957061,0.4673038898594799,0.23988913223633893,0.24288453345674776,0.2595845088544712,0.2587819167651234,0.2523181344932077,0.9153350828258657,1.2494796452284072,1.1467530220823356,1.8544224684881683,1.6446665063895318,-0.400183388590009,-0.22516832738362136,-0.15209156410363367,-0.16258640790991474,-0.22243413590351624,0.9354116512279007,1.0361815869638962,0.8146441573250393,0.8644257702400899,0.9306844301265276,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.44661822247065397,0.5158730158730159,0.15079365079365079,0.27116402116402116,0.35793650793650794,0.44046953605366124,0.4591269841269841,0.8214285714285714,0.6931216931216931,0.6126984126984127,1.0540771348746198,1.0667339584024393,0.8337908469256564,0.8973381472747726,0.9588055384402449,1.5,1.5,1.2724045478712906,1.4573014021413175,1.4573014021413175,0.06623812185578536,0.07698412698412699,0.0,0.0,0.0,159,107,9,31,54,0.19322336075434707,0.22442885602670376,0.2909515844272036,0.2295897984356952,0.2265180720967104,0.6913531847790538,0.5655607171872935,0.0733197992756553,0.17356988761738557,0.28541277084185507,-0.02014576426153214,-0.035514008044898904,-0.003827214407428864,-0.02641017775281207,-0.010339465653821267,0.00197862264385959,-0.016664131460329745,-0.007605274173715593,-0.013944915827509008,-0.04740655064298571,0.00926228372198945,-0.029968913115114237,-0.03154112409135168,0.019757127528271412,-0.05426441371258667,target_vol_level_scan,pending_review
target_vol_0.250,0.25,80,1.5,0.075,0.23152821745340457,0.3521693951220808,0.3667637664023158,0.6360688950430944,0.5259974123610311,0.26116329520988485,0.2645101739403691,0.2854553083243861,0.2850850859642538,0.2784159384523143,0.9275907771113776,1.2723855290250063,1.2374191286158633,1.8679246090158232,1.6557430315054307,-0.43216033827677247,-0.24949180093335088,-0.16785195948544862,-0.18158357581985474,-0.24461539833457602,1.0120952130698584,1.122129637799473,0.8938198144130166,0.9493899735187032,1.025194349957685,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.582168809390721,0.6873015873015873,0.23412698412698413,0.45634920634920634,0.569047619047619,0.3049189491335942,0.2876984126984127,0.7380952380952381,0.5079365079365079,0.4015873015873016,1.1404155219609458,1.1573294671471115,0.9168003703636702,0.988197645404629,1.0585751405145882,1.5,1.5,1.4211928788438493,1.5,1.5,0.15483510340972612,0.20952380952380953,0.0,0.06746031746031746,0.04047619047619048,149,103,10,34,60,0.20994401558840928,0.24459978111402825,0.3217468921485781,0.2542197626625378,0.25140219510978773,0.7511796877753285,0.6163914484073512,0.08108021682144168,0.1921901405728786,0.3167667658383325,0.0010765763201605605,-0.06749095773166236,0.01744694856611706,0.01046936757674799,-0.03466293920355079,0.0236042631274809,0.0420293910412215,-0.02978653660477537,0.012152888131597595,0.025573719704402587,-0.009734884187950543,-0.0036657439159838434,0.033167163987054105,0.003996732146456461,-0.028393614242671783,target_vol_level_scan,pending_review
