start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,leverage_day_ratio,delevered_holding_day_ratio,avg_scale,max_scale,scale_cap_day_ratio,scale_rebalances,avg_turnover,turnover_total,cost_total,candidate,segment,target_vol,vol_window,max_lev,scale_rebalance_threshold
2011-12-09,2026-09-02,3578,0.230451641133244,0.2437163466437678,0.9722486786218217,-0.3646693805451101,0.8943543879262158,0.8943543879262158,0.0,0.0,1.0,1.0,0.0,0,0.19312465064281722,691.0,0.691,target_vol_off,full,off,80,1.5,0.075
2016-04-21,2026-09-02,2520,0.3417000275453328,0.24090591081288817,1.3398950386378174,-0.2148288617298001,0.975,0.975,0.0,0.0,1.0,1.0,0.0,0,0.22301587301587303,562.0,0.562,target_vol_off,last_10y,off,80,1.5,0.075
2021-06-25,2026-09-02,1260,0.48396802131980965,0.26626305032071673,1.6141132068788802,-0.21482886172980065,0.9706349206349206,0.9706349206349206,0.0,0.0,1.0,1.0,0.0,0,0.24285714285714285,306.0,0.306,target_vol_off,last_5y,off,80,1.5,0.075
2023-07-24,2026-09-02,756,0.6104951753386918,0.28875082988023765,1.7930810447278678,-0.1718486916319042,0.9642857142857143,0.9642857142857143,0.0,0.0,1.0,1.0,0.0,0,0.2619047619047619,198.0,0.198,target_vol_off,last_3y,off,80,1.5,0.075
2025-08-20,2026-09-02,252,0.3335966024152617,0.3138489225670579,1.0743488348190053,-0.17184869163190508,0.9722222222222222,0.9722222222222222,0.0,0.0,1.0,1.0,0.0,0,0.3492063492063492,88.0,0.08800000000000001,target_vol_off,last_1y,off,80,1.5,0.075
2011-12-09,2026-09-02,3578,0.06033920402377868,0.06328464206398995,0.9575183870789272,-0.13036939680623694,0.22709371628985306,0.8943543879262158,0.0,0.8870877585243152,0.26314388612128276,1.0,0.0,31,0.04626804183365294,165.54705368081022,0.16554705368081024,target_vol_0.050,full,0.05,80,1.5,0.075
2016-04-21,2026-09-02,2520,0.07561918233005338,0.059242406817557235,1.260204263530654,-0.054308437738869064,0.24487357337995003,0.975,0.0,0.975,0.24804859530853085,0.4525208484389672,0.0,21,0.05303533728313,133.6490499534876,0.1336490499534876,target_vol_0.050,last_10y,0.05,80,1.5,0.075
2021-06-25,2026-09-02,1260,0.1062845140863189,0.06083459912294435,1.6909232746759444,-0.05114217957748235,0.21376395741624213,0.9706349206349206,0.0,0.9706349206349206,0.2168349272547729,0.3068249143034756,0.0,10,0.05190385925783836,65.39886266487633,0.06539886266487632,target_vol_0.050,last_5y,0.05,80,1.5,0.075
2023-07-24,2026-09-02,756,0.12465728048641189,0.06413056576684187,1.8641436113100611,-0.03685911059578262,0.2045297479600453,0.9642857142857143,0.0,0.9642857142857143,0.20854017823617893,0.3068249143034756,0.0,6,0.05372417387331657,40.61547544822733,0.040615475448227335,target_vol_0.050,last_3y,0.05,80,1.5,0.075
2025-08-20,2026-09-02,252,0.08149019225248,0.06808629380772892,1.1847877890610663,-0.03685911059578262,0.2107225787479959,0.9722222222222222,0.0,0.9722222222222222,0.21427686452362082,0.27849330745295603,0.0,1,0.07453268205291651,18.78223587733496,0.01878223587733496,target_vol_0.050,last_1y,0.05,80,1.5,0.075
