candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,SWITCH_BUFFER,MAX_LEV,SCORE_MIN,SCORE_MAX,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,asset_switches,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days,buffer_blocked_days
switch_1.00,0.3,0.25,20,1.0,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.16853871755985517,0.18881113125345275,0.9197439120351417,-0.2584643054930702,4.398380240161493,2021-11-19,2022-07-26,531.0,62,892,1836,0.6730205278592375,0.9682337669492345,1.5,0.38283415977241886,1141,695,0
switch_1.00,0.3,0.25,20,1.0,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.1660673667081216,0.18951245969723635,0.9059126698208595,-0.2584643054930702,3.6476820975191275,2021-11-19,2022-07-26,498.0,61,810,1710,0.6785714285714286,0.9763526804088254,1.5,0.36306016726042545,1076,634,0
switch_1.00,0.3,0.25,20,1.0,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.24241443974431265,0.19827008360515028,1.1943952328541156,-0.2584643054930702,1.9602776843729628,2021-11-19,2022-07-26,254.0,25,435,825,0.6547619047619048,0.9449248715148538,1.5,0.17374200625479658,461,364,0
switch_1.00,0.3,0.25,20,1.0,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3432107048620827,0.20329066431525686,1.5542598437171191,-0.21577949897426874,1.4234408987243814,2024-07-10,2024-12-19,144.0,17,214,542,0.716931216931217,1.0449526594532916,1.5,0.11357686004295678,290,252,0
switch_1.00,0.3,0.25,20,1.0,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.6253708350657898,0.2123342305239413,2.3966650514520205,-0.11090903893083903,0.6253708350657898,2026-01-27,2026-03-05,70.0,6,79,173,0.6865079365079365,0.9764611334319528,1.5,0.04437801890707729,82,91,0
switch_1.01,0.3,0.25,20,1.01,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.1755097241568686,0.18836510931303901,0.9530569929752271,-0.258464305493071,4.757404791894925,2021-11-19,2022-07-26,530.0,60,892,1836,0.6730205278592375,0.9681469607206603,1.5,0.3767559310687916,1141,695,2
switch_1.01,0.3,0.25,20,1.01,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.17359964866725175,0.18903159873883,0.9418034556065092,-0.258464305493071,3.95678073589355,2021-11-19,2022-07-26,497.0,59,810,1710,0.6785714285714286,0.9762587092217021,1.5,0.3569819385567982,1076,634,2
switch_1.01,0.3,0.25,20,1.01,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.24241443974431265,0.1982700836051503,1.1943952328541172,-0.2584643054930711,1.9602776843729632,2021-11-19,2022-07-26,254.0,25,435,825,0.6547619047619048,0.9449248715148538,1.5,0.1737420062547966,461,364,0
switch_1.01,0.3,0.25,20,1.01,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3432107048620834,0.2032906643152568,1.5542598437171211,-0.21577949897426874,1.4234408987243854,2024-07-10,2024-12-19,144.0,17,214,542,0.716931216931217,1.0449526594532916,1.5,0.11357686004295678,290,252,0
switch_1.01,0.3,0.25,20,1.01,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.6253708350657927,0.21233423052394154,2.3966650514520276,-0.11090903893083881,0.6253708350657927,2026-01-27,2026-03-05,70.0,6,79,173,0.6865079365079365,0.9764611334319528,1.5,0.04437801890707731,82,91,0
