candidate,SWITCH_BUFFER,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,SCORE_MIN,SCORE_MAX,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,trades_full,trades_last_10y,trades_last_1y,trades_last_3y,trades_last_5y,asset_switches_full,asset_switches_last_10y,asset_switches_last_1y,asset_switches_last_3y,asset_switches_last_5y,buffer_blocked_days_full,buffer_blocked_days_last_10y,buffer_blocked_days_last_1y,buffer_blocked_days_last_3y,buffer_blocked_days_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,decision_hint,stability_label
switch_1.00,1.0,0.3,0.25,20,1.5,0.0,5.0,0.16853871755985517,0.1660673667081216,0.6253708350657898,0.3432107048620827,0.24241443974431265,-0.2584643054930702,-0.2584643054930702,-0.11090903893083903,-0.21577949897426874,-0.2584643054930702,0.9197439120351417,0.9059126698208595,2.3966650514520205,1.5542598437171191,1.1943952328541156,0.18881113125345275,0.18951245969723635,0.2123342305239413,0.20329066431525686,0.19827008360515028,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9682337669492345,0.9763526804088254,0.9764611334319528,1.0449526594532916,0.9449248715148538,1.5,1.5,1.5,1.5,1.5,531.0,498.0,70.0,144.0,254.0,62,61,6,17,25,0,0,0,0,0,0.38283415977241886,0.36306016726042545,0.04437801890707729,0.11357686004295678,0.17374200625479658,exploratory,pending
switch_1.01,1.01,0.3,0.25,20,1.5,0.0,5.0,0.1755097241568686,0.17359964866725175,0.6253708350657927,0.3432107048620834,0.24241443974431265,-0.258464305493071,-0.258464305493071,-0.11090903893083881,-0.21577949897426874,-0.2584643054930711,0.9530569929752271,0.9418034556065092,2.3966650514520276,1.5542598437171211,1.1943952328541172,0.18836510931303901,0.18903159873883,0.21233423052394154,0.2032906643152568,0.1982700836051503,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9681469607206603,0.9762587092217021,0.9764611334319528,1.0449526594532916,0.9449248715148538,1.5,1.5,1.5,1.5,1.5,530.0,497.0,70.0,144.0,254.0,60,59,6,17,25,2,2,0,0,0,0.3767559310687916,0.3569819385567982,0.04437801890707731,0.11357686004295678,0.1737420062547966,exploratory,pending
switch_1.02,1.02,0.3,0.25,20,1.5,0.0,5.0,0.1755097241568686,0.17359964866725175,0.6253708350657925,0.3432107048620836,0.2424144397443131,-0.2584643054930703,-0.2584643054930703,-0.11090903893083914,-0.21577949897426796,-0.2584643054930703,0.9530569929752271,0.9418034556065079,2.3966650514520254,1.5542598437171227,1.1943952328541152,0.18836510931303896,0.18903159873883002,0.21233423052394143,0.2032906643152569,0.1982700836051503,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9681469607206603,0.9762587092217021,0.9764611334319528,1.0449526594532916,0.9449248715148538,1.5,1.5,1.5,1.5,1.5,530.0,497.0,70.0,144.0,254.0,60,59,6,17,25,2,2,0,0,0,0.3767559310687916,0.3569819385567982,0.04437801890707731,0.11357686004295678,0.1737420062547966,exploratory,pending
switch_1.03,1.03,0.3,0.25,20,1.5,0.0,5.0,0.17756832358741304,0.17582470386038396,0.625370835065792,0.3432107048620836,0.24241443974431265,-0.258464305493071,-0.258464305493071,-0.11090903893083903,-0.21577949897426818,-0.258464305493071,0.9616096074536602,0.9510434875189719,2.396665051452021,1.554259843717123,1.1943952328541165,0.18854557260489546,0.18922631910089346,0.2123342305239416,0.20329066431525683,0.19827008360515036,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9681084162346246,0.9762169832860258,0.9764611334319528,1.0449526594532916,0.9449248715148538,1.5,1.5,1.5,1.5,1.5,534.0,501.0,70.0,144.0,254.0,58,57,6,17,25,5,5,0,0,0,0.3729363608169173,0.35316236830492387,0.04437801890707731,0.11357686004295678,0.1737420062547966,exploratory,pending
switch_1.04,1.04,0.3,0.25,20,1.5,0.0,5.0,0.17456911303920197,0.1725830879294492,0.6253708350657914,0.34321070486208294,0.24241443974431265,-0.2584643054930712,-0.2584643054930711,-0.11090903893083914,-0.21577949897426796,-0.2584643054930712,0.9473368724869178,0.9356645663239451,2.3966650514520245,1.55425984371712,1.1943952328541156,0.18872982211977718,0.1894249690337096,0.21233423052394154,0.20329066431525672,0.19827008360515036,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.967794144937777,0.9758767721361047,0.9764611334319526,1.0449526594532916,0.9449248715148538,1.5,1.5,1.5,1.5,1.5,540.0,507.0,70.0,144.0,254.0,58,57,6,17,25,6,6,0,0,0,0.37300301985697853,0.35322902734498507,0.04437801890707729,0.11357686004295678,0.17374200625479658,exploratory,pending
switch_1.05,1.05,0.3,0.25,20,1.5,0.0,5.0,0.1777152836973075,0.17598355926522102,0.6253708350657896,0.33685502640725806,0.23888385029230164,-0.25846430549307076,-0.25846430549307053,-0.1109090389308387,-0.21577949897426885,-0.25846430549307065,0.9617284581889716,0.9511823340169706,2.396665051452027,1.530077255863442,1.1796670417093322,0.18867888148872644,0.18937011286675587,0.21233423052394126,0.20341689309441285,0.19834331354818138,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.967794144937777,0.9758767721361047,0.9764611334319528,1.0449526594532916,0.9449248715148538,1.5,1.5,1.5,1.5,1.5,538.0,505.0,70.0,144.0,254.0,56,55,6,17,25,11,11,0,1,1,0.3670030198569786,0.34722902734498506,0.04437801890707731,0.11357686004295678,0.1737420062547966,exploratory,pending
switch_1.06,1.06,0.3,0.25,20,1.5,0.0,5.0,0.1909570746640763,0.19030386463196258,0.6253708350657918,0.3368550264072592,0.23888385029230275,-0.2584643054930701,-0.25846430549307,-0.11090903893083892,-0.21577949897426774,-0.2584643054930701,1.021484296623541,1.0156272066881666,2.3966650514520236,1.5300772558634446,1.1796670417093362,0.1885709594405053,0.1892539278034272,0.2123342305239413,0.20341689309441285,0.19834331354818144,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9677994208448957,0.9758824835149223,0.9764611334319528,1.0449526594532916,0.9449248715148538,1.5,1.5,1.5,1.5,1.5,530.0,497.0,70.0,144.0,254.0,52,51,6,17,25,12,12,0,1,1,0.35490648127724245,0.33513248876524904,0.04437801890707731,0.11357686004295678,0.1737420062547966,exploratory,pending
switch_1.07,1.07,0.3,0.25,20,1.5,0.0,5.0,0.19422112607622855,0.19383579090454006,0.658798265636336,0.34595750966262506,0.2482965895889353,-0.258464305493071,-0.258464305493071,-0.11090903893083881,-0.21577949897426774,-0.258464305493071,1.0358983756047861,1.031175801447062,2.491162111867805,1.5629549706018957,1.2178960308346478,0.18859565249632548,0.1892805809512869,0.21248086696526752,0.20349508003549238,0.1983369878184582,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9678802637159355,0.9759699991308732,0.9761069374787599,1.0448345941355606,0.9450999027467557,1.5,1.5,1.5,1.5,1.5,530.0,497.0,70.0,144.0,254.0,52,51,6,17,25,15,15,1,2,3,0.3549122693326073,0.3351382768206138,0.04437562804311908,0.11357446917899855,0.1737477943101614,exploratory,pending
switch_1.08,1.08,0.3,0.25,20,1.5,0.0,5.0,0.1975983535740935,0.19568584953261903,0.6606795776870045,0.3464661528692752,0.2521684978050618,-0.2584643054930713,-0.2584643054930712,-0.11090903893083881,-0.21577949897426818,-0.2584643054930712,1.0513731779708242,1.0398697751803792,2.5068509777577037,1.5670332240786988,1.23466652295868,0.18848804500844413,0.18916722773283984,0.21152109114913364,0.20316278657672074,0.19811769519117187,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9681326193678823,0.976279230883231,0.9790475810559316,1.0458148086612844,0.9457183662514712,1.5,1.5,1.5,1.5,1.5,528.0,495.0,68.0,142.0,252.0,50,49,4,15,23,20,18,3,4,6,0.34875676984065596,0.3289838091903625,0.03823366611799364,0.10743250725387311,0.16759332667991012,exploratory,pending
switch_1.09,1.09,0.3,0.25,20,1.5,0.0,5.0,0.19535424616994312,0.19326058141698677,0.7057302644235137,0.35853326632567595,0.2470939802060912,-0.2584643054930703,-0.2584643054930704,-0.11090903893083903,-0.2157794989742684,-0.2584643054930704,1.0446423667086095,1.0325472064041883,2.632259180442914,1.6104390628320433,1.2216940640810319,0.18778786301224235,0.1884117986007096,0.2116417838618899,0.20324326585235825,0.19667679525677736,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9701401400520907,0.9784524516874058,0.9790475810559318,1.0458148086612846,0.9500648078598208,1.5,1.5,1.5,1.5,1.5,508.0,475.0,68.0,142.0,232.0,50,49,4,15,23,23,21,5,6,9,0.34843016825577233,0.3286572076054789,0.03823366611799364,0.10743250725387313,0.1672667250950265,exploratory,pending
