mode,year,days,return,max_dd
insample_2007_2016_four_asset_pool,2007,242,0.11636900939777073,-0.09273155114808518
insample_2007_2016_four_asset_pool,2008,246,-0.007102344063551369,-0.2374442838584866
insample_2007_2016_four_asset_pool,2009,244,0.18960606228514698,-0.08814629986452616
insample_2007_2016_four_asset_pool,2010,242,0.1844122189422155,-0.057914637986635986
insample_2007_2016_four_asset_pool,2011,244,0.07611285458075523,-0.15836053546221107
insample_2007_2016_four_asset_pool,2012,243,0.06718219870680442,-0.14288675851980603
insample_2007_2016_four_asset_pool,2013,238,0.24572864185055665,-0.14782285702915998
insample_2007_2016_four_asset_pool,2014,245,0.2512409509485327,-0.09711613876319747
insample_2007_2016_four_asset_pool,2015,244,0.13168652763742683,-0.20811409229123756
insample_2007_2016_four_asset_pool,2016,244,-0.030610400326520848,-0.09835853217046664
oos_2017_2026_standalone_reset_four_asset_pool,2017,244,0.056342216090186525,-0.07378724468935616
oos_2017_2026_standalone_reset_four_asset_pool,2018,243,0.039520862877906016,-0.09403980610000129
oos_2017_2026_standalone_reset_four_asset_pool,2019,244,0.26459744765507787,-0.08918635493013949
oos_2017_2026_standalone_reset_four_asset_pool,2020,243,0.2322307403121362,-0.18055158856205877
oos_2017_2026_standalone_reset_four_asset_pool,2021,243,0.18734383338552751,-0.11464852184284535
oos_2017_2026_standalone_reset_four_asset_pool,2022,242,-0.053042319466139354,-0.2242374269709716
oos_2017_2026_standalone_reset_four_asset_pool,2023,242,-0.0266410179162061,-0.16124982093671159
oos_2017_2026_standalone_reset_four_asset_pool,2024,242,0.22831448804928844,-0.0831618721269709
oos_2017_2026_standalone_reset_four_asset_pool,2025,243,0.6282777542194371,-0.06406029109366074
oos_2017_2026_standalone_reset_four_asset_pool,2026,116,0.12874904952428246,-0.13541513831593577
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2017,244,0.06035204725615051,-0.037406605187219166
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2018,243,0.022500827012457814,-0.04725473534163627
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2019,244,0.22614924025167937,-0.08918594635792254
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2020,243,0.23223109647385165,-0.18055118543796922
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2021,243,0.18734122913937368,-0.11464900909867481
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2022,242,-0.05304173295006476,-0.22423733951041303
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2023,242,-0.026640836680995705,-0.16124965716220452
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2024,242,0.22831436492919543,-0.08316187212697046
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2025,243,0.6282779975875579,-0.06406017421387578
oos_2017_2026_continuous_state_from_2007_four_asset_pool,2026,116,0.12874904952428246,-0.13541513831593577
