candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,buffer_blocked_days,reason
lb_28_r2_none_buf_1p00,layer1_primary_r2_removed,28,,none,1.0,1p00,full,Full,2016-12-30,2007-01-04,2432.0,0.09857496100155783,0.2248925593138517,-0.36308912895559775,0.5308023086859097,220.0,262.0,0.455,455.0,0.9095394736842105,0.0,
lb_28_r2_none_buf_1p00,layer1_primary_r2_removed,28,,none,1.0,1p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p00,layer1_primary_r2_removed,28,,none,1.0,1p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.01498101235752669,0.22093678725038526,-0.36308912895559664,0.17832639255420535,91.0,143.0,0.248,248.0,0.9277777777777778,0.0,
lb_28_r2_none_buf_1p00,layer1_primary_r2_removed,28,,none,1.0,1p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,-0.040111554524841275,0.22181790476648952,-0.36308912895559675,-0.07276936029571143,51.0,88.0,0.15000000000000002,150.0,0.9325396825396826,0.0,
lb_28_r2_none_buf_1p00,layer1_primary_r2_removed,28,,none,1.0,1p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.26193420358702457,0.20747560233771548,-0.33223464437262706,-1.3578837434282522,12.0,28.0,0.048,48.0,0.9523809523809523,0.0,
lb_28_r2_none_buf_1p02,layer1_primary_r2_removed,28,,none,1.02,1p02,full,Full,2016-12-30,2007-01-04,2432.0,0.10196542094320948,0.22502602536128424,-0.36308912895559775,0.5443241472207487,220.0,255.0,0.44100000000000006,441.0,0.9095394736842105,11.0,
lb_28_r2_none_buf_1p02,layer1_primary_r2_removed,28,,none,1.02,1p02,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p02,layer1_primary_r2_removed,28,,none,1.02,1p02,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.018443721096295773,0.22085193200226064,-0.36308912895559886,0.19373312645491864,91.0,140.0,0.24200000000000002,242.0,0.9277777777777778,4.0,
lb_28_r2_none_buf_1p02,layer1_primary_r2_removed,28,,none,1.02,1p02,last_3y,3Y,2016-12-30,2013-11-29,756.0,-0.03827770504523076,0.22185132572689198,-0.3630891289555983,-0.06412236593256267,51.0,88.0,0.15000000000000002,150.0,0.9325396825396826,1.0,
lb_28_r2_none_buf_1p02,layer1_primary_r2_removed,28,,none,1.02,1p02,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.261934203587026,0.20747560233771556,-0.3322346443726285,-1.3578837434282598,12.0,28.0,0.048,48.0,0.9523809523809523,0.0,
lb_28_r2_none_buf_1p03,layer1_primary_r2_removed,28,,none,1.03,1p03,full,Full,2016-12-30,2007-01-04,2432.0,0.11184483701563419,0.22522611626903502,-0.34559909039502856,0.5836860343133217,220.0,251.0,0.43300000000000005,433.0,0.9095394736842105,25.0,
lb_28_r2_none_buf_1p03,layer1_primary_r2_removed,28,,none,1.03,1p03,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p03,layer1_primary_r2_removed,28,,none,1.03,1p03,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.03377475672712582,0.2219274854542,-0.3455990903950287,0.26117516239745076,91.0,138.0,0.23800000000000002,238.0,0.9277777777777778,12.0,
lb_28_r2_none_buf_1p03,layer1_primary_r2_removed,28,,none,1.03,1p03,last_3y,3Y,2016-12-30,2013-11-29,756.0,-0.011703854637427069,0.22347768969961695,-0.34559909039502756,0.05987875489848767,51.0,86.0,0.14600000000000002,146.0,0.9325396825396826,7.0,
lb_28_r2_none_buf_1p03,layer1_primary_r2_removed,28,,none,1.03,1p03,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.24166637675855174,0.2079443796700951,-0.31844524109289285,-1.224226237325802,12.0,28.0,0.048,48.0,0.9523809523809523,3.0,
