candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,ann_return_full,ann_vol_full,max_dd_full,sharpe_repo_full,trades_full,cost_total_full,turnover_total_full,holding_day_ratio_full,buffer_blocked_days_full,reason_full,ann_return_last_10y,ann_vol_last_10y,max_dd_last_10y,sharpe_repo_last_10y,trades_last_10y,cost_total_last_10y,turnover_total_last_10y,holding_day_ratio_last_10y,buffer_blocked_days_last_10y,reason_last_10y,ann_return_last_5y,ann_vol_last_5y,max_dd_last_5y,sharpe_repo_last_5y,trades_last_5y,cost_total_last_5y,turnover_total_last_5y,holding_day_ratio_last_5y,buffer_blocked_days_last_5y,reason_last_5y,ann_return_last_3y,ann_vol_last_3y,max_dd_last_3y,sharpe_repo_last_3y,trades_last_3y,cost_total_last_3y,turnover_total_last_3y,holding_day_ratio_last_3y,buffer_blocked_days_last_3y,reason_last_3y,ann_return_last_1y,ann_vol_last_1y,max_dd_last_1y,sharpe_repo_last_1y,trades_last_1y,cost_total_last_1y,turnover_total_last_1y,holding_day_ratio_last_1y,buffer_blocked_days_last_1y,reason_last_1y,ann_delta_full_pp,mdd_improve_full_pp,trade_delta_full,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,trade_delta_last_10y,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,trade_delta_last_5y,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,trade_delta_last_3y,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,trade_delta_last_1y,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,layer3_pass,pass_reason
lb_25_r2_none_buf_1p00,lb_25_r2_none_buf_1p00,original_lookback_r2_removed,25,,none,1.0,1p00,0.08660609021930288,0.2262448479862507,-0.4643465775476209,0.4806241090240622,292.0,0.501,501.0,0.9083059210526315,0.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.009910354023062062,0.22640996947707395,-0.4643465775476221,0.15729387920694704,159.0,0.272,272.0,0.9285714285714286,0.0,,-0.08835454585744029,0.23257356809070323,-0.464346577547622,-0.28046565642442534,95.0,0.16,160.0,0.9285714285714286,0.0,,-0.2916529942118795,0.2031443132931124,-0.34745291671229084,-1.593069375041318,30.0,0.052000000000000005,52.0,0.9563492063492064,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/no switch buffer
lb_25_r2_none_buf_1p02,lb_25_r2_none_buf_1p00,original_lookback_r2_removed,25,,none,1.02,1p02,0.08954615472385119,0.22627466194141352,-0.46430098804237574,0.4925378873406282,290.0,0.497,497.0,0.9083059210526315,11.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.010148485085585968,0.22640470444259625,-0.46430098804237396,0.15833377229751622,159.0,0.272,272.0,0.9285714285714286,2.0,,-0.08799624976004805,0.2325656978104572,-0.4643009880423743,-0.27879384120309053,95.0,0.16,160.0,0.9285714285714286,2.0,,-0.29165299421187973,0.20314431329311242,-0.3474529167122913,-1.5930693750413163,30.0,0.052000000000000005,52.0,0.9563492063492064,0.0,,0.2940064504548312,0.004558950524513605,-2.0,,,,0.023813106252390526,0.0045589505248133655,0.0,0.03582960973922411,0.004558950524768957,0.0,-2.220446049250313e-14,-4.440892098500626e-14,0.0,0,True,False,False,full_mdd=False;dd_windows=0;return_tol=True
lb_25_r2_none_buf_1p03,lb_25_r2_none_buf_1p00,original_lookback_r2_removed,25,,none,1.03,1p03,0.0812553840507968,0.22634296415932115,-0.4643009880423732,0.45870319802655557,289.0,0.495,495.0,0.9083059210526315,18.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.0010582660576088365,0.22626399544488432,-0.46430098804237463,0.11834303915259269,159.0,0.272,272.0,0.9285714285714286,6.0,,-0.08799624976004838,0.2325656978104572,-0.4643009880423744,-0.27879384120309303,95.0,0.16,160.0,0.9285714285714286,2.0,,-0.2916529942118793,0.2031443132931124,-0.34745291671229084,-1.5930693750413165,30.0,0.052000000000000005,52.0,0.9563492063492064,0.0,,-0.5350706168506081,0.004558950524768957,-3.0,,,,-0.8852087965453226,0.004558950524746752,0.0,0.035829609739190804,0.004558950524757854,0.0,2.220446049250313e-14,0.0,0.0,0,True,False,False,full_mdd=False;dd_windows=0;return_tol=True
lb_25_r2_none_buf_1p05,lb_25_r2_none_buf_1p00,original_lookback_r2_removed,25,,none,1.05,1p05,0.07119825398765567,0.22699862328583914,-0.48572608812897544,0.41686379316786015,282.0,0.481,481.0,0.9083059210526315,29.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,-0.016733325276570565,0.22709768053021098,-0.4857260881289768,0.03980124769229361,159.0,0.272,272.0,0.9285714285714286,12.0,,-0.1141329872468485,0.23382080753105844,-0.48572608812897766,-0.40031504477720753,95.0,0.16,160.0,0.9285714285714286,6.0,,-0.30480927046557893,0.20232155509617347,-0.35957280940065905,-1.692909199864679,30.0,0.052000000000000005,52.0,0.9563492063492064,2.0,,-1.540783623164721,-2.1379510581354566,-10.0,,,,-2.6643679299632628,-2.1379510581354677,0.0,-2.5778441389408213,-2.1379510581355676,0.0,-1.3156276253699417,-1.2119892688368217,0.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_none_buf_1p08,lb_25_r2_none_buf_1p00,original_lookback_r2_removed,25,,none,1.08,1p08,0.07178352139640332,0.22679197259748207,-0.4711476565348217,0.41944432841460555,280.0,0.477,477.0,0.9083059210526315,49.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,-0.015847402545516864,0.22679740085411518,-0.4711476565348235,0.04352514916357752,157.0,0.268,268.0,0.9285714285714286,22.0,,-0.10669807985445567,0.23366175403521539,-0.4711476565348246,-0.36499280545065793,93.0,0.156,156.0,0.9285714285714286,12.0,,-0.2996743251419036,0.2022717351552148,-0.3548423685765637,-1.6570423275416588,30.0,0.052000000000000005,52.0,0.9563492063492064,4.0,,-1.4822568822899562,-0.6801078987200837,-12.0,,,,-2.5757756568578927,-0.6801078987201392,-2.0,-1.8343533997015382,-0.6801078987202613,-2.0,-0.8021330930024106,-0.7389451864272867,0.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_none_buf_1p10,lb_25_r2_none_buf_1p00,original_lookback_r2_removed,25,,none,1.1,1p10,0.07087789140121559,0.2267135399068191,-0.4704319273069689,0.4157824936015787,278.0,0.473,473.0,0.9083059210526315,59.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,-0.02011788958185845,0.2267116654163821,-0.47043192730697037,0.02427588548137879,156.0,0.266,266.0,0.9285714285714286,27.0,,-0.10629527423940532,0.23362948280449564,-0.47043192730697014,-0.3631466887061261,93.0,0.156,156.0,0.9285714285714286,13.0,,-0.29967432514190384,0.20227173515521507,-0.3548423685765636,-1.6570423275416588,30.0,0.052000000000000005,52.0,0.9563492063492064,4.0,,-1.5728198818087291,-0.6085349759348047,-14.0,,,,-3.0028243604920513,-0.6085349759348269,-3.0,-1.7940728381965032,-0.6085349759348158,-2.0,-0.8021330930024329,-0.7389451864272756,0.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_none_buf_1p15,lb_25_r2_none_buf_1p00,original_lookback_r2_removed,25,,none,1.15,1p15,0.08571094394261358,0.22703302041836998,-0.4645110813213673,0.4761279857718372,271.0,0.45899999999999996,459.0,0.9083059210526315,94.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,-0.003376060061502706,0.226503268422825,-0.46451108132136865,0.0988812516525872,154.0,0.262,262.0,0.9285714285714286,41.0,,-0.07652154453450599,0.2330010312381675,-0.46451108132136687,-0.22415360963968473,91.0,0.152,152.0,0.9285714285714286,19.0,,-0.288387141536688,0.2022619817497534,-0.3444443310611488,-1.5781878235844915,30.0,0.052000000000000005,52.0,0.9563492063492064,5.0,,-0.08951462766892959,-0.016450377374643832,-21.0,,,,-1.3286414084564768,-0.016450377374654934,-5.0,1.18330013229343,-0.0164503773744884,-4.0,0.32658526751915273,0.3008585651142037,0.0,1,False,False,False,full_mdd=False;dd_windows=1;return_tol=False
lb_25_r2_none_buf_1p20,lb_25_r2_none_buf_1p00,original_lookback_r2_removed,25,,none,1.2,1p20,0.08454033661033655,0.22784787093856942,-0.4659924325446946,0.4705281543210872,266.0,0.449,449.0,0.9083059210526315,123.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,-0.004780274064857037,0.22773693287186716,-0.46599243254469314,0.0934302038627303,154.0,0.262,262.0,0.9285714285714286,54.0,,-0.07929767018148381,0.23524465854880802,-0.465992432544693,-0.2325067498565948,91.0,0.152,152.0,0.9285714285714286,28.0,,-0.28935614645297336,0.20190974524701394,-0.34533700276957247,-1.5880327463126716,30.0,0.052000000000000005,52.0,0.9563492063492064,7.0,,-0.20657536089663253,-0.16458549970737035,-26.0,,,,-1.46906280879191,-0.1645854997071039,-5.0,0.9056875675956477,-0.1645854997071039,-4.0,0.2296847758906151,0.21159139427183726,0.0,1,False,False,False,full_mdd=False;dd_windows=1;return_tol=False
lb_26_r2_none_buf_1p00,lb_26_r2_none_buf_1p00,layer1_left_neighbor_r2_removed,26,,none,1.0,1p00,0.08378567910737544,0.22717337313596517,-0.402775064833935,0.46803314690603903,287.0,0.499,499.0,0.9095394736842105,0.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.017849163898455034,0.22402913485778708,-0.40277506483393355,0.19143671022427267,154.0,0.266,266.0,0.9277777777777778,0.0,,-0.06953931607381059,0.2305771845756283,-0.4027750648339342,-0.19649757131992354,94.0,0.158,158.0,0.9325396825396826,0.0,,-0.3057131656102512,0.2022551175772107,-0.35549977824457135,-1.6999450154720774,28.0,0.048,48.0,0.9563492063492064,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/no switch buffer
lb_26_r2_none_buf_1p02,lb_26_r2_none_buf_1p00,layer1_left_neighbor_r2_removed,26,,none,1.02,1p02,0.08802719914042134,0.22723573770660965,-0.40277506483393266,0.4851609145302441,287.0,0.499,499.0,0.9095394736842105,10.0,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.02139062005304937,0.22418788160334546,-0.40277506483393455,0.20695311418083298,154.0,0.266,266.0,0.9277777777777778,4.0,,-0.06955443417510021,0.23058179587004896,-0.4027750648339333,-0.19655949298576594,94.0,0.158,158.0,0.9325396825396826,2.0,,-0.30571316561025164,0.20225511757721085,-0.3554997782445716,-1.6999450154720783,28.0,0.048,48.0,0.9563492063492064,0.0,,0.4241520033045898,2.3314683517128287e-13,0.0,,,,0.35414561545943357,-9.992007221626409e-14,0.0,-0.0015118101289623986,8.881784197001252e-14,0.0,-4.440892098500626e-14,-2.220446049250313e-14,0.0,0,True,False,False,full_mdd=False;dd_windows=0;return_tol=True
