candidate,TARGET_VOL,MAX_LEV,R2_THRESHOLD,VOL_WINDOW,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,avg_final_exposure,max_final_exposure,turnover_sum,cost_total,overheat_days,overheat_triggers,staged_initials,staged_fills
tv_10_lev_1p5,0.1,1.5,0.2,80,full,2011-12-09,2026-05-08,3496,0.15173689075986974,0.11271814200401785,1.309781898323201,-0.13588619407646463,6.098310555296618,2016-03-08,2016-12-05,742,740,2726,0.7797482837528604,0.6026080939711406,1.5,0.014874141876430207,0.9307780320366132,0.4042751938133989,1.5,333.44579664187586,0.3334457966418759,30,11,308,267
tv_10_lev_1p5,0.1,1.5,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.15277503163042905,0.10829210075394964,1.3672523462517183,-0.13588619407646463,3.144246827383541,2016-03-08,2016-12-05,589,225,2275,0.9027777777777778,0.5649237929775163,1.0300580156209698,0.0,0.9948412698412699,0.4550373880465464,1.0300580156209698,265.74472008108273,0.26574472008108274,20,7,261,222
tv_10_lev_1p5,0.1,1.5,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.2367290148975536,0.10720515185804838,2.0359763779113047,-0.0784812332002972,1.8931619813014464,2022-03-22,2022-06-09,308,101,1141,0.9055555555555556,0.512126839973119,0.8916722583638497,0.0,1.0,0.4147172556323401,0.8916722583638497,135.7725990364943,0.1357725990364943,18,6,141,118
tv_10_lev_1p5,0.1,1.5,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.3511282156281248,0.10978506491177593,2.7971969380018904,-0.07149604118557673,1.4665486755083843,2024-07-15,2024-09-10,188,53,695,0.9193121693121693,0.4807966709974341,0.7126413449248393,0.0,1.0,0.38897059310464355,0.7126413449248393,80.17510802018558,0.08017510802018557,8,4,89,73
tv_10_lev_1p5,0.1,1.5,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.3262793198025489,0.10093018561559756,2.8494768956378653,-0.052946573810779274,0.3262793198025489,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,0.48093687015349096,0.640343797294379,0.0,1.0,0.3745503864041623,0.640343797294379,31.556076610670154,0.031556076610670156,4,2,38,27
tv_10_lev_1p75,0.1,1.75,0.2,80,full,2011-12-09,2026-05-08,3496,0.1525085895400775,0.11302306085338884,1.3124800519673716,-0.13588619407646518,6.16457709683223,2016-03-08,2016-12-05,746,740,2726,0.7797482837528604,0.6045950060419462,1.75,0.0037185354691075517,0.9307780320366132,0.4049027486472034,1.75,334.40520679533074,0.33440520679533076,30,11,308,267
tv_10_lev_1p75,0.1,1.75,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.1527750316304295,0.10829210075394967,1.367252346251721,-0.13588619407646518,3.144246827383559,2016-03-08,2016-12-05,589,225,2275,0.9027777777777778,0.5649237929775163,1.0300580156209698,0.0,0.9948412698412699,0.4550373880465464,1.0300580156209698,265.74472008108273,0.26574472008108274,20,7,261,222
tv_10_lev_1p75,0.1,1.75,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.23672901489755405,0.1072051518580484,2.035976377911316,-0.0784812332002971,1.8931619813014526,2022-03-22,2022-06-09,308,101,1141,0.9055555555555556,0.512126839973119,0.8916722583638497,0.0,1.0,0.4147172556323401,0.8916722583638497,135.7725990364943,0.1357725990364943,18,6,141,118
tv_10_lev_1p75,0.1,1.75,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.3511282156281246,0.109785064911776,2.7971969380018837,-0.0714960411855764,1.466548675508383,2024-07-15,2024-09-10,188,53,695,0.9193121693121693,0.4807966709974341,0.7126413449248393,0.0,1.0,0.38897059310464355,0.7126413449248393,80.17510802018558,0.08017510802018557,8,4,89,73
tv_10_lev_1p75,0.1,1.75,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.3262793198025491,0.10093018561559758,2.8494768956378627,-0.05294657381077916,0.3262793198025491,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,0.48093687015349096,0.640343797294379,0.0,1.0,0.3745503864041623,0.640343797294379,31.556076610670154,0.031556076610670156,4,2,38,27
tv_10_lev_2,0.1,2.0,0.2,80,full,2011-12-09,2026-05-08,3496,0.1525159458235772,0.11320857680309365,1.3105711313980832,-0.13588619407646552,6.165211541238965,2016-03-08,2016-12-05,747,740,2726,0.7797482837528604,0.6054684016930737,2.0,0.003432494279176201,0.9307780320366132,0.405275572215951,2.0,334.90520679533074,0.33490520679533076,30,11,308,267
tv_10_lev_2,0.1,2.0,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.15277503163042905,0.1082921007539497,1.367252346251718,-0.13588619407646552,3.1442468273835376,2016-03-08,2016-12-05,589,225,2275,0.9027777777777778,0.5649237929775163,1.0300580156209698,0.0,0.9948412698412699,0.4550373880465464,1.0300580156209698,265.74472008108273,0.26574472008108274,20,7,261,222
tv_10_lev_2,0.1,2.0,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.23672901489755338,0.10720515185804835,2.0359763779113043,-0.0784812332002972,1.8931619813014433,2022-03-22,2022-06-09,308,101,1141,0.9055555555555556,0.512126839973119,0.8916722583638497,0.0,1.0,0.4147172556323401,0.8916722583638497,135.7725990364943,0.1357725990364943,18,6,141,118
tv_10_lev_2,0.1,2.0,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.3511282156281246,0.109785064911776,2.7971969380018877,-0.0714960411855764,1.466548675508383,2024-07-15,2024-09-10,188,53,695,0.9193121693121693,0.4807966709974341,0.7126413449248393,0.0,1.0,0.38897059310464355,0.7126413449248393,80.17510802018558,0.08017510802018557,8,4,89,73
tv_10_lev_2,0.1,2.0,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.32627931980255,0.10093018561559765,2.849476895637878,-0.05294657381077894,0.32627931980255,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,0.48093687015349096,0.640343797294379,0.0,1.0,0.3745503864041623,0.640343797294379,31.556076610670154,0.031556076610670156,4,2,38,27
tv_12p5_lev_1,0.125,1.0,0.2,80,full,2011-12-09,2026-05-08,3496,0.1761877849251159,0.13289333377969334,1.2877542391281207,-0.16295801671202792,8.500006217843152,2016-03-08,2016-12-05,738,740,2726,0.7797482837528604,0.7108755430178084,1.0,0.1244279176201373,0.8755720823798627,0.4881682441445293,1.0,401.5561999297422,0.40155619992974223,30,11,308,267
tv_12p5_lev_1,0.125,1.0,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.18554991446026992,0.1332083737091176,1.344640332593277,-0.16295801671202803,4.485275376191922,2016-03-08,2016-12-05,593,225,2275,0.9027777777777778,0.6962598975526839,1.0,0.1388888888888889,0.8611111111111112,0.5605302202625095,1.0,328.16883701112135,0.3281688370111213,20,7,261,222
tv_12p5_lev_1,0.125,1.0,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.2923402674154514,0.13264098224111665,2.000221137832277,-0.09307958701112873,2.6048266291063746,2022-03-22,2022-06-09,310,101,1141,0.9055555555555556,0.6362923068220242,1.0,0.04047619047619048,0.9595238095238096,0.5145625662540246,1.0,169.0115682148204,0.16901156821482038,18,6,141,118
tv_12p5_lev_1,0.125,1.0,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.4370478730239846,0.13551571319979228,2.7445794169647675,-0.09146754549009883,1.9676570318115676,2024-07-15,2024-09-10,191,53,695,0.9193121693121693,0.6004364952603641,0.8908016811560491,0.0,1.0,0.4837849633130048,0.8908016811560491,100.63732482533935,0.10063732482533935,8,4,89,73
tv_12p5_lev_1,0.125,1.0,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.4001109766382047,0.12275389512617844,2.8045000676792595,-0.06586517214274357,0.4001109766382047,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,0.6008179027215913,0.7349012340034663,0.0,1.0,0.4676034531987993,0.7349012340034663,39.17938197261085,0.03917938197261085,4,2,38,27
tv_12p5_lev_1p25,0.125,1.25,0.2,80,full,2011-12-09,2026-05-08,3496,0.18007245123932414,0.1367611175845642,1.2791875552786904,-0.16830512641203255,8.944664739706827,2016-03-08,2016-12-05,756,740,2726,0.7797482837528604,0.7307910095037022,1.25,0.007723112128146453,0.8446796338672768,0.4976834362322724,1.25,410.76616313462415,0.4107661631346242,30,11,308,267
tv_12p5_lev_1p25,0.125,1.25,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.1873982086551309,0.13511441015237607,1.339098330603862,-0.16830512641203266,4.571394280387519,2016-03-08,2016-12-05,608,225,2275,0.9027777777777778,0.7050191893868678,1.2103488512213418,0.0,0.8896825396825396,0.5680939318777922,1.2103488512213418,333.14308815022036,0.3331430881502204,20,7,261,222
tv_12p5_lev_1p25,0.125,1.25,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.29286187603086855,0.13309194915498082,1.9969256135136138,-0.0930795870111285,2.612107324177899,2022-03-22,2022-06-09,314,101,1141,0.9055555555555556,0.6381817575171979,1.114590322954812,0.0,0.9642857142857143,0.5162238914124596,1.114590322954812,169.92019646519432,0.1699201964651943,18,6,141,118
tv_12p5_lev_1p25,0.125,1.25,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.43704787302398507,0.13551571319979228,2.7445794169647675,-0.0914675454900985,1.9676570318115694,2024-07-15,2024-09-10,191,53,695,0.9193121693121693,0.6004364952603641,0.8908016811560491,0.0,1.0,0.4837849633130048,0.8908016811560491,100.63732482533935,0.10063732482533935,8,4,89,73
tv_12p5_lev_1p25,0.125,1.25,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.40011097663820383,0.12275389512617851,2.8045000676792666,-0.06586517214274412,0.40011097663820383,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,0.6008179027215913,0.7349012340034663,0.0,1.0,0.4676034531987993,0.7349012340034663,39.17938197261085,0.03917938197261085,4,2,38,27
tv_12p5_lev_1p5,0.125,1.5,0.2,80,full,2011-12-09,2026-05-08,3496,0.18213123837532796,0.13832348693341473,1.2788625657682082,-0.16830512641203232,9.188079499619338,2016-03-08,2016-12-05,759,740,2726,0.7797482837528604,0.7384229204754911,1.4960912939620246,0.0,0.8446796338672768,0.5005010741063535,1.4960912939620246,413.2823033999805,0.4132823033999805,30,11,308,267
tv_12p5_lev_1p5,0.125,1.5,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.18701986930372883,0.13526230778262383,1.3354293507188715,-0.16830512641203232,4.553667641492769,2016-03-08,2016-12-05,608,225,2275,0.9027777777777778,0.7054378348788094,1.2664142175143958,0.0,0.8896825396825396,0.5684976257450216,1.2664142175143958,333.2938005273194,0.3332938005273194,20,7,261,222
tv_12p5_lev_1p5,0.125,1.5,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.29286187603086855,0.13309194915498085,1.9969256135136138,-0.09307958701112928,2.6121073241779,2022-03-22,2022-06-09,314,101,1141,0.9055555555555556,0.6381817575171979,1.114590322954812,0.0,0.9642857142857143,0.5162238914124596,1.114590322954812,169.92019646519432,0.1699201964651943,18,6,141,118
tv_12p5_lev_1p5,0.125,1.5,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.43704787302398507,0.13551571319979228,2.744579416964773,-0.0914675454900985,1.9676570318115703,2024-07-15,2024-09-10,191,53,695,0.9193121693121693,0.6004364952603641,0.8908016811560491,0.0,1.0,0.4837849633130048,0.8908016811560491,100.63732482533935,0.10063732482533935,8,4,89,73
tv_12p5_lev_1p5,0.125,1.5,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.40011097663820383,0.12275389512617836,2.8045000676792684,-0.06586517214274412,0.40011097663820383,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,0.6008179027215913,0.7349012340034663,0.0,1.0,0.4676034531987993,0.7349012340034663,39.17938197261085,0.03917938197261085,4,2,38,27
tv_12p5_lev_1p75,0.125,1.75,0.2,80,full,2011-12-09,2026-05-08,3496,0.18419104181458001,0.1390035042251197,1.2858109408176395,-0.16830512641203188,9.437137382875626,2016-03-08,2016-12-05,762,740,2726,0.7797482837528604,0.7431028947616776,1.75,0.006864988558352402,0.8446796338672768,0.5020107830737177,1.75,414.8795228520346,0.4148795228520346,30,11,308,267
tv_12p5_lev_1p75,0.125,1.75,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.18701986930372927,0.13526230778262377,1.3354293507188728,-0.16830512641203188,4.553667641492796,2016-03-08,2016-12-05,608,225,2275,0.9027777777777778,0.7054378348788094,1.2664142175143958,0.0,0.8896825396825396,0.5684976257450216,1.2664142175143958,333.2938005273194,0.3332938005273194,20,7,261,222
tv_12p5_lev_1p75,0.125,1.75,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.2928618760308692,0.13309194915498093,1.9969256135136173,-0.09307958701112917,2.6121073241779094,2022-03-22,2022-06-09,314,101,1141,0.9055555555555556,0.6381817575171979,1.114590322954812,0.0,0.9642857142857143,0.5162238914124596,1.114590322954812,169.92019646519432,0.1699201964651943,18,6,141,118
tv_12p5_lev_1p75,0.125,1.75,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.4370478730239855,0.13551571319979228,2.7445794169647764,-0.09146754549009872,1.9676570318115725,2024-07-15,2024-09-10,191,53,695,0.9193121693121693,0.6004364952603641,0.8908016811560491,0.0,1.0,0.4837849633130048,0.8908016811560491,100.63732482533935,0.10063732482533935,8,4,89,73
