window,start,end,years,annual_return,max_drawdown,curve
Full,2006-07-03,2026-06-30,19.9917864476,0.1499997920,-0.3324633961,strategy_return
10Y,2016-06-30,2026-06-30,9.9986310746,0.2193791720,-0.2506277354,strategy_return
5Y,2021-06-30,2026-06-30,4.9993155373,0.1496962858,-0.2506277354,strategy_return
3Y,2023-06-30,2026-06-30,3.0006844627,0.2300578493,-0.1459631095,strategy_return
1Y,2025-06-30,2026-06-30,0.9993155373,0.1976894961,-0.1232154140,strategy_return
Full,2006-07-03,2026-06-30,19.9917864476,0.1416726161,-0.3659231061,buy_hold_return
10Y,2016-06-30,2026-06-30,9.9986310746,0.2107758361,-0.2486087612,buy_hold_return
5Y,2021-06-30,2026-06-30,4.9993155373,0.1357285340,-0.2486087612,buy_hold_return
3Y,2023-06-30,2026-06-30,3.0006844627,0.2174280300,-0.1281515815,buy_hold_return
1Y,2025-06-30,2026-06-30,0.9993155373,0.1975497833,-0.0883550247,buy_hold_return
