date,strategy_return,buy_hold_return,strategy_nav,buy_hold_nav,strategy_scale,strategy_vs_cost,annual_rebalance_cost
2006-07-03,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2006-07-05,-0.0084310396,-0.0084310396,0.9915689604,0.9915689604,1.0000000000,0.0000000000,0.0000000000
2006-07-06,0.0036817436,0.0036817436,0.9952196631,0.9952196631,1.0000000000,0.0000000000,0.0000000000
2006-07-07,-0.0059580263,-0.0059580263,0.9892901182,0.9892901182,1.0000000000,0.0000000000,0.0000000000
2006-07-10,-0.0022546148,-0.0022546148,0.9870596500,0.9870596500,1.0000000000,0.0000000000,0.0000000000
2006-07-11,0.0093204422,0.0093204422,0.9962594825,0.9962594825,1.0000000000,0.0000000000,0.0000000000
2006-07-12,-0.0056401637,-0.0056401637,0.9906404159,0.9906404159,1.0000000000,0.0000000000,0.0000000000
2006-07-13,-0.0090222667,-0.0090222667,0.9817025939,0.9817025939,1.0000000000,0.0000000000,0.0000000000
2006-07-14,-0.0025049386,-0.0025049386,0.9792434891,0.9792434891,1.0000000000,0.0000000000,0.0000000000
2006-07-17,-0.0076962155,-0.0076962155,0.9717070202,0.9717070202,1.0000000000,0.0000000000,0.0000000000
2006-07-18,-0.0006403327,-0.0006403327,0.9710848044,0.9710848044,1.0000000000,0.0000000000,0.0000000000
2006-07-19,0.0138451302,0.0138451302,0.9845295999,0.9845295999,1.0000000000,0.0000000000,0.0000000000
2006-07-20,-0.0104288690,-0.0104288690,0.9742620698,0.9742620698,1.0000000000,0.0000000000,0.0000000000
2006-07-21,-0.0072944770,-0.0072944770,0.9671553374,0.9671553374,1.0000000000,0.0000000000,0.0000000000
2006-07-24,0.0111728254,0.0111728254,0.9779611952,0.9779611952,1.0000000000,0.0000000000,0.0000000000
2006-07-25,0.0033785312,0.0028820337,0.9812652676,0.9807797123,1.2214182904,0.0001328510,0.0000000000
2006-07-26,0.0018966863,0.0015600493,0.9831264200,0.9823097770,1.2214182904,0.0000000000,0.0000000000
2006-07-27,0.0032246574,0.0026472862,0.9862966659,0.9849102321,1.2214182904,0.0000000000,0.0000000000
