start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,cash_days,trade_days,avg_turnover,turnover_total,cost_total,candidate,segment,lookback,r2,switch_buffer,initial_entry_fraction,overheat,target_vol
2011-12-09,2026-09-02,3578,0.2304516411332378,0.24371634664376826,0.9722486786218211,-0.3646693805451159,0.8943543879262158,0.8943543879262158,378,384,0.19312465064281722,691.0,0.691,lookback_025,full,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.34170002754532525,0.24090591081288873,1.3398950386378166,-0.21482886172980187,0.975,0.975,63,293,0.22301587301587303,562.0,0.562,lookback_025,last_10y,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4839680213198021,0.26626305032071723,1.6141132068788797,-0.21482886172980253,0.9706349206349206,0.9706349206349206,37,158,0.24285714285714285,306.0,0.306,lookback_025,last_5y,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6104951753386827,0.28875082988023815,1.7930810447278684,-0.17184869163190497,0.9642857142857143,0.9642857142857143,27,102,0.2619047619047619,198.0,0.198,lookback_025,last_3y,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3335966024152561,0.3138489225670585,1.0743488348190062,-0.17184869163190508,0.9722222222222222,0.9722222222222222,7,45,0.3492063492063492,88.0,0.08800000000000001,lookback_025,last_1y,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2519034766661814,0.24287548204655587,1.046072350017743,-0.45153495402754573,0.8968697596422582,0.8968697596422582,369,363,0.18418110676355506,659.0,0.659,lookback_026,full,26,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.38480578793531683,0.24117905940670406,1.4699217210190159,-0.19456263322555556,0.9761904761904762,0.9761904761904762,60,279,0.2126984126984127,536.0,0.536,lookback_026,last_10y,26,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4844007341255836,0.2652396276890155,1.6204364477592383,-0.19456263322555567,0.973015873015873,0.973015873015873,34,154,0.2365079365079365,298.0,0.298,lookback_026,last_5y,26,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5678728645054274,0.2878162278303284,1.704626178329307,-0.18463373178681997,0.966931216931217,0.966931216931217,25,101,0.25925925925925924,196.0,0.196,lookback_026,last_3y,26,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.210250047398008,0.311299822260363,0.7685627091251096,-0.18463373178681963,0.9761904761904762,0.9761904761904762,6,45,0.3492063492063492,88.0,0.08800000000000001,lookback_026,last_1y,26,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2474051624622151,0.24431232585246326,1.0266047830902971,-0.44030217043547415,0.897987702627166,0.897987702627166,365,351,0.17803242034656233,637.0,0.637,lookback_027,full,27,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.36099316660084924,0.24300995919312535,1.3892166767608816,-0.20179527916626627,0.9777777777777777,0.9777777777777777,56,271,0.20714285714285716,522.0,0.522,lookback_027,last_10y,27,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.46241904773488374,0.26764611109371317,1.5524441831169524,-0.20179527916626605,0.973015873015873,0.973015873015873,34,146,0.22380952380952382,282.0,0.28200000000000003,lookback_027,last_5y,27,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5405002467249818,0.2915207108398065,1.6261556188803854,-0.16260888430232534,0.966931216931217,0.966931216931217,25,98,0.25132275132275134,190.0,0.19,lookback_027,last_3y,27,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.32359387051053345,0.3117297107931529,1.0552804532427624,-0.16260888430232512,0.9761904761904762,0.9761904761904762,6,45,0.3492063492063492,88.0,0.088,lookback_027,last_1y,27,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.23901822809832107,0.24672689111466808,0.991711574831108,-0.45055912659854913,0.8965902738960313,0.8965902738960313,370,347,0.1752375628842929,627.0,0.627,lookback_028,full,28,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.33313512506439413,0.2455401383740869,1.2932243775920398,-0.221459581100672,0.9765873015873016,0.9765873015873016,59,267,0.20396825396825397,514.0,0.514,lookback_028,last_10y,28,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.42115109856460364,0.2719210614967618,1.4271090407278315,-0.221459581100672,0.9698412698412698,0.9698412698412698,38,137,0.20952380952380953,264.0,0.264,lookback_028,last_5y,28,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.49625534490956724,0.2925968041525045,1.5215651994308375,-0.1799971851167228,0.9642857142857143,0.9642857142857143,27,88,0.22486772486772486,170.0,0.17,lookback_028,last_3y,28,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.2570879124077796,0.3122027772157206,0.8890118495600718,-0.1799971851167228,0.9761904761904762,0.9761904761904762,6,43,0.3333333333333333,84.0,0.084,lookback_028,last_1y,28,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2821252627981674,0.24763841987587012,1.127069418304745,-0.3808646587583764,0.8940749021799889,0.8940749021799889,379,319,0.160145332588038,573.0,0.5730000000000001,lookback_029,full,29,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.37445791872238243,0.24842796207412604,1.4040433870775482,-0.19766976533098468,0.9765873015873016,0.9765873015873016,59,243,0.18492063492063493,466.0,0.466,lookback_029,last_10y,29,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.44387156577671116,0.27338250289185373,1.4790656940135134,-0.1795789273003835,0.9706349206349206,0.9706349206349206,37,123,0.1873015873015873,236.0,0.23600000000000002,lookback_029,last_5y,29,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5099389704201298,0.29468219467042156,1.5438426115687804,-0.1795789273003835,0.9656084656084656,0.9656084656084656,26,81,0.20634920634920634,156.0,0.156,lookback_029,last_3y,29,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.203260255294065,0.31511357803825324,0.7448589084313677,-0.16806586916171085,0.9761904761904762,0.9761904761904762,6,38,0.29365079365079366,74.0,0.07400000000000001,lookback_029,last_1y,29,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2673087100254148,0.2474543933523441,1.0808187237137068,-0.4867084519883197,0.8968697596422582,0.8968697596422582,369,306,0.15399664617104528,551.0,0.551,lookback_030,full,30,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.35746993499278723,0.2507891760955645,1.3435587657811237,-0.2517951978698192,0.9777777777777777,0.9777777777777777,56,237,0.18015873015873016,454.0,0.454,lookback_030,last_10y,30,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.45391335781231756,0.2758628647217204,1.493396012098304,-0.17648823030138672,0.973015873015873,0.973015873015873,34,117,0.17777777777777778,224.0,0.224,lookback_030,last_5y,30,off,1.0,1.0,off,off
