candidate,r2_threshold,return_wins,dd_wins,passes_predeclared_dd_rule
r2_off,off,0,0,False
r2_0.000,0.0,0,0,False
r2_0.010,0.01,0,2,False
r2_0.025,0.025,3,2,False
r2_0.050,0.05,1,2,False
r2_0.075,0.075,1,2,False
r2_0.100,0.1,3,3,True
r2_0.125,0.125,5,3,True
r2_0.150,0.15,3,2,False
r2_0.175,0.175,4,2,False
r2_0.200,0.2,4,2,False
r2_0.225,0.225,4,2,False
r2_0.250,0.25,4,2,False
r2_0.275,0.275,3,2,False
r2_0.300,0.3,2,2,False
r2_0.325,0.325,2,2,False
r2_0.350,0.35,2,2,False
r2_0.375,0.375,1,1,False
r2_0.400,0.4,1,2,False
r2_0.450,0.45,1,2,False
r2_0.500,0.5,1,2,False
r2_0.600,0.6,1,2,False
r2_0.700,0.7,0,2,False
r2_0.800,0.8,0,2,False
r2_0.900,0.9,0,5,False
