candidate,segment,r2_threshold,switch_buffer,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,held_day_avg_weight,holding_days,holding_day_ratio,avg_turnover,turnover_total,cost_total,trade_days
r2_off,full,off,1.0,2011-12-09,2026-09-02,3578,0.26887919630600443,0.25460504438911274,1.0622269991800415,-0.3979226332491812,0.9821129122414757,1.0,3514,0.9821129122414757,0.19256567915036332,689.0,0.689,349
r2_off,last_10y,off,1.0,2016-04-21,2026-09-02,2520,0.3453316315428874,0.24231764211886048,1.344651479265608,-0.21482886172980264,1.0,1.0,2520,1.0,0.22698412698412698,572.0,0.5720000000000001,286
r2_off,last_5y,off,1.0,2021-06-25,2026-09-02,1260,0.49146386624645033,0.26839790822800824,1.62217662713134,-0.21482886172980264,1.0,1.0,1260,1.0,0.24603174603174602,310.0,0.31000000000000005,155
r2_off,last_3y,off,1.0,2023-07-24,2026-09-02,756,0.6083141897867106,0.29149854821173,1.7742172088624086,-0.17184869163190497,1.0,1.0,756,1.0,0.2671957671957672,202.0,0.202,101
r2_off,last_1y,off,1.0,2025-08-20,2026-09-02,252,0.38262812318433603,0.31939981087959024,1.1742666235037937,-0.17184869163190486,1.0,1.0,252,1.0,0.35714285714285715,90.0,0.09000000000000001,45
r2_0.000,full,0.0,1.0,2011-12-09,2026-09-02,3578,0.26887919630600443,0.25460504438911274,1.0622269991800415,-0.3979226332491812,0.9821129122414757,1.0,3514,0.9821129122414757,0.19256567915036332,689.0,0.689,349
r2_0.000,last_10y,0.0,1.0,2016-04-21,2026-09-02,2520,0.3453316315428874,0.24231764211886048,1.344651479265608,-0.21482886172980264,1.0,1.0,2520,1.0,0.22698412698412698,572.0,0.5720000000000001,286
r2_0.000,last_5y,0.0,1.0,2021-06-25,2026-09-02,1260,0.49146386624645033,0.26839790822800824,1.62217662713134,-0.21482886172980264,1.0,1.0,1260,1.0,0.24603174603174602,310.0,0.31000000000000005,155
r2_0.000,last_3y,0.0,1.0,2023-07-24,2026-09-02,756,0.6083141897867106,0.29149854821173,1.7742172088624086,-0.17184869163190497,1.0,1.0,756,1.0,0.2671957671957672,202.0,0.202,101
r2_0.000,last_1y,0.0,1.0,2025-08-20,2026-09-02,252,0.38262812318433603,0.31939981087959024,1.1742666235037937,-0.17184869163190486,1.0,1.0,252,1.0,0.35714285714285715,90.0,0.09000000000000001,45
r2_0.010,full,0.01,1.0,2011-12-09,2026-09-02,3578,0.24308486100575055,0.2527062741662356,0.987032759121211,-0.40873878883078485,0.9734488541084405,1.0,3483,0.9734488541084405,0.23616545556176635,845.0,0.845,445
r2_0.010,last_10y,0.01,1.0,2016-04-21,2026-09-02,2520,0.34267676776257927,0.24220395844223228,1.3370026967263118,-0.2089235976207987,1.0,1.0,2520,1.0,0.24682539682539684,622.0,0.6220000000000001,311
r2_0.010,last_5y,0.01,1.0,2021-06-25,2026-09-02,1260,0.4693849477219054,0.2685696212717804,1.5656900009278536,-0.20892359762079937,1.0,1.0,1260,1.0,0.26825396825396824,338.0,0.338,169
r2_0.010,last_3y,0.01,1.0,2023-07-24,2026-09-02,756,0.5841166416331869,0.29188804689331294,1.7202043281679484,-0.17184869163190475,1.0,1.0,756,1.0,0.2962962962962963,224.0,0.224,112
r2_0.010,last_1y,0.01,1.0,2025-08-20,2026-09-02,252,0.3573206826784723,0.31914309686411085,1.116993009181983,-0.17184869163190508,1.0,1.0,252,1.0,0.3888888888888889,98.0,0.098,49
r2_0.025,full,0.025,1.0,2011-12-09,2026-09-02,3578,0.24057107474782624,0.2518450149259774,0.9814861584384699,-0.43058838553776124,0.9689770821688094,1.0,3467,0.9689770821688094,0.24231414197875908,867.0,0.867,461
r2_0.025,last_10y,0.025,1.0,2016-04-21,2026-09-02,2520,0.35509674269998337,0.24143661178793277,1.3786390519385667,-0.20207556414899186,0.9996031746031746,1.0,2519,0.9996031746031746,0.25396825396825395,640.0,0.6400000000000001,321
r2_0.025,last_5y,0.025,1.0,2021-06-25,2026-09-02,1260,0.488628968895539,0.26893649943017006,1.6123769379359023,-0.2020755641489913,1.0,1.0,1260,1.0,0.2761904761904762,348.0,0.34800000000000003,174
r2_0.025,last_3y,0.025,1.0,2023-07-24,2026-09-02,756,0.6089326230215308,0.2928456258949678,1.7687139276342492,-0.17184869163190497,1.0,1.0,756,1.0,0.30423280423280424,230.0,0.23,115
r2_0.025,last_1y,0.025,1.0,2025-08-20,2026-09-02,252,0.38908537025978185,0.32108389601408194,1.1842725161536096,-0.1718486916319052,1.0,1.0,252,1.0,0.3968253968253968,100.0,0.1,50
r2_0.050,full,0.05,1.0,2011-12-09,2026-09-02,3578,0.24093912063669176,0.24957658192502738,0.9893355248109901,-0.3506972023788212,0.9597540525433202,1.0,3434,0.9597540525433202,0.2529346003353829,905.0,0.905,482
r2_0.050,last_10y,0.05,1.0,2016-04-21,2026-09-02,2520,0.33124630843675873,0.24277394194517454,1.299204842928658,-0.2319274441655198,0.9996031746031746,1.0,2519,0.9996031746031746,0.26746031746031745,674.0,0.674,338
r2_0.050,last_5y,0.05,1.0,2021-06-25,2026-09-02,1260,0.47260081422191846,0.27062482164879065,1.563955430209325,-0.18661909720009717,1.0,1.0,1260,1.0,0.2920634920634921,368.0,0.368,184
r2_0.050,last_3y,0.05,1.0,2023-07-24,2026-09-02,756,0.5948645421631824,0.29518901683616683,1.7272281145618433,-0.17568768308938987,1.0,1.0,756,1.0,0.32275132275132273,244.0,0.244,122
r2_0.050,last_1y,0.05,1.0,2025-08-20,2026-09-02,252,0.44094899382456787,0.32376611784891196,1.290562843774378,-0.1718486916319053,1.0,1.0,252,1.0,0.42063492063492064,106.0,0.10600000000000001,53
r2_0.075,full,0.075,1.0,2011-12-09,2026-09-02,3578,0.24997514716815705,0.24848185966404987,1.0217899241519617,-0.30705405787806495,0.9527669088876467,1.0,3409,0.9527669088876467,0.25405254332029065,909.0,0.909,486
r2_0.075,last_10y,0.075,1.0,2016-04-21,2026-09-02,2520,0.3191719921350198,0.24207415332437449,1.2645757500994521,-0.2244588435309356,0.9988095238095238,1.0,2517,0.9988095238095238,0.27380952380952384,690.0,0.6900000000000001,346
r2_0.075,last_5y,0.075,1.0,2021-06-25,2026-09-02,1260,0.47009914144229126,0.27007312012647655,1.5602728512048376,-0.20531901436867972,1.0,1.0,1260,1.0,0.2968253968253968,374.0,0.374,187
r2_0.075,last_3y,0.075,1.0,2023-07-24,2026-09-02,756,0.5865785899712661,0.2948198788974441,1.7112956384377218,-0.20531901436868005,1.0,1.0,756,1.0,0.3201058201058201,242.0,0.242,121
r2_0.075,last_1y,0.075,1.0,2025-08-20,2026-09-02,252,0.47150226742028156,0.3209384128225903,1.3644729638272184,-0.17184869163190475,1.0,1.0,252,1.0,0.4126984126984127,104.0,0.10400000000000001,52
r2_0.100,full,0.1,1.0,2011-12-09,2026-09-02,3578,0.2598917393339939,0.2478321428884789,1.0557240968567427,-0.3040237361807847,0.946618222470654,1.0,3387,0.946618222470654,0.25181665735047515,901.0,0.901,484
r2_0.100,last_10y,0.1,1.0,2016-04-21,2026-09-02,2520,0.34461755991591714,0.2419956761258662,1.3439244909560837,-0.18999725377327625,0.998015873015873,1.0,2515,0.998015873015873,0.273015873015873,688.0,0.6880000000000001,346
r2_0.100,last_5y,0.1,1.0,2021-06-25,2026-09-02,1260,0.5018833886312195,0.2700647114640274,1.6395953867493267,-0.18999725377327537,1.0,1.0,1260,1.0,0.29523809523809524,372.0,0.372,186
r2_0.100,last_3y,0.1,1.0,2023-07-24,2026-09-02,756,0.6164259922041941,0.2965294626904403,1.7660724704126125,-0.1814025340142268,1.0,1.0,756,1.0,0.32275132275132273,244.0,0.244,122
r2_0.100,last_1y,0.1,1.0,2025-08-20,2026-09-02,252,0.49901725374465844,0.32196923223265933,1.418756051819534,-0.17184869163190486,1.0,1.0,252,1.0,0.4126984126984127,104.0,0.10400000000000001,52
r2_0.125,full,0.125,1.0,2011-12-09,2026-09-02,3578,0.28488554398886623,0.2426682905759621,1.153878739115116,-0.29209838232262275,0.9407490217998882,1.0,3366,0.9407490217998882,0.24846282839575182,889.0,0.889,480
r2_0.125,last_10y,0.125,1.0,2016-04-21,2026-09-02,2520,0.34922684157712847,0.24071639569537123,1.364039373440117,-0.1978678052741173,0.9972222222222222,1.0,2513,0.9972222222222222,0.2722222222222222,686.0,0.686,346
r2_0.125,last_5y,0.125,1.0,2021-06-25,2026-09-02,1260,0.5020713012795295,0.26927898149561474,1.6440702922010477,-0.19786780527411707,1.0,1.0,1260,1.0,0.29365079365079366,370.0,0.37,185
r2_0.125,last_3y,0.125,1.0,2023-07-24,2026-09-02,756,0.6188836917739673,0.2956194115036645,1.7757721412622884,-0.18804952362185456,1.0,1.0,756,1.0,0.3201058201058201,242.0,0.242,121
r2_0.125,last_1y,0.125,1.0,2025-08-20,2026-09-02,252,0.4964973774723067,0.32275887132987746,1.4108377134579033,-0.17184869163190464,1.0,1.0,252,1.0,0.3968253968253968,100.0,0.1,50
r2_0.150,full,0.15,1.0,2011-12-09,2026-09-02,3578,0.26499361917886066,0.24341426859944384,1.0869672031995605,-0.24602826574307224,0.9332029066517608,1.0,3339,0.9332029066517608,0.25405254332029065,909.0,0.909,490
r2_0.150,last_10y,0.15,1.0,2016-04-21,2026-09-02,2520,0.32052514974515844,0.24288412693423744,1.2654588722360558,-0.228684551962963,0.9964285714285714,1.0,2511,0.9964285714285714,0.28174603174603174,710.0,0.7100000000000001,359
r2_0.150,last_5y,0.15,1.0,2021-06-25,2026-09-02,1260,0.4951390822460773,0.26972841868368513,1.6246020651785278,-0.22868455196296378,1.0,1.0,1260,1.0,0.30158730158730157,380.0,0.38000000000000006,190
r2_0.150,last_3y,0.15,1.0,2023-07-24,2026-09-02,756,0.6256818603938472,0.29608486852481164,1.7876293884150074,-0.2206680016752196,1.0,1.0,756,1.0,0.3201058201058201,242.0,0.24200000000000002,121
r2_0.150,last_1y,0.15,1.0,2025-08-20,2026-09-02,252,0.4964378994703751,0.32284423248534616,1.4104293968147568,-0.1583538710310125,1.0,1.0,252,1.0,0.3968253968253968,100.0,0.1,50
r2_0.175,full,0.175,1.0,2011-12-09,2026-09-02,3578,0.2951755379649823,0.24264369948333012,1.186873316696862,-0.2562459621801966,0.9276131917272219,1.0,3319,0.9276131917272219,0.25069871436556734,897.0,0.897,487
r2_0.175,last_10y,0.175,1.0,2016-04-21,2026-09-02,2520,0.33108307457427477,0.24424811895733034,1.2923940364168631,-0.2562459621801966,0.9952380952380953,1.0,2508,0.9952380952380953,0.28253968253968254,712.0,0.712,362
r2_0.175,last_5y,0.175,1.0,2021-06-25,2026-09-02,1260,0.5133011833316101,0.27054696195824446,1.6651778820517094,-0.25624596218019713,1.0,1.0,1260,1.0,0.3111111111111111,392.0,0.39199999999999996,196
r2_0.175,last_3y,0.175,1.0,2023-07-24,2026-09-02,756,0.6829670054882593,0.29697990013917036,1.8999222031963163,-0.2257630838912793,1.0,1.0,756,1.0,0.328042328042328,248.0,0.24800000000000003,124
r2_0.175,last_1y,0.175,1.0,2025-08-20,2026-09-02,252,0.7243603346396499,0.324505418157701,1.8424389508169812,-0.15835387103101373,1.0,1.0,252,1.0,0.4126984126984127,104.0,0.10400000000000001,52
r2_0.200,full,0.2,1.0,2011-12-09,2026-09-02,3578,0.286678581373631,0.24156752236333198,1.16381560729155,-0.2712896868921042,0.922023476802683,1.0,3299,0.922023476802683,0.25013974287311347,895.0,0.895,492
r2_0.200,last_10y,0.2,1.0,2016-04-21,2026-09-02,2520,0.304862696762243,0.24390806825400768,1.2122481604720228,-0.2712896868921041,0.9920634920634921,1.0,2500,0.9920634920634921,0.2833333333333333,714.0,0.714,368
r2_0.200,last_5y,0.2,1.0,2021-06-25,2026-09-02,1260,0.49669896413359504,0.27044729997952904,1.6248369452603815,-0.2712896868921041,0.9992063492063492,1.0,1259,0.9992063492063492,0.30793650793650795,388.0,0.388,195
