candidate,segment,metric,max_abs_diff
r2_off,full,ann_return,6.938893903907228e-15
r2_off,full,max_dd,6.661338147750939e-16
r2_off,full,ann_vol,4.440892098500626e-16
r2_off,full,sharpe_repo,6.661338147750939e-16
r2_off,last_10y,ann_return,7.993605777301127e-15
r2_off,last_10y,max_dd,1.942890293094024e-15
r2_off,last_10y,ann_vol,4.440892098500626e-16
r2_off,last_10y,sharpe_repo,4.440892098500626e-16
r2_off,last_5y,ann_return,7.16093850883226e-15
r2_off,last_5y,max_dd,2.1649348980190553e-15
r2_off,last_5y,ann_vol,4.996003610813204e-16
r2_off,last_5y,sharpe_repo,4.440892098500626e-16
r2_off,last_3y,ann_return,9.992007221626409e-15
r2_off,last_3y,max_dd,1.4710455076283324e-15
r2_off,last_3y,ann_vol,4.996003610813204e-16
r2_off,last_3y,sharpe_repo,8.881784197001252e-16
r2_off,last_1y,ann_return,8.271161533457416e-15
r2_off,last_1y,max_dd,7.216449660063518e-16
r2_off,last_1y,ann_vol,4.996003610813204e-16
r2_off,last_1y,sharpe_repo,6.661338147750939e-16
r2_0.000,full,ann_return,6.938893903907228e-15
r2_0.000,full,max_dd,6.661338147750939e-16
r2_0.000,full,ann_vol,4.440892098500626e-16
r2_0.000,full,sharpe_repo,6.661338147750939e-16
r2_0.000,last_10y,ann_return,7.993605777301127e-15
r2_0.000,last_10y,max_dd,1.942890293094024e-15
r2_0.000,last_10y,ann_vol,4.440892098500626e-16
r2_0.000,last_10y,sharpe_repo,4.440892098500626e-16
r2_0.000,last_5y,ann_return,7.16093850883226e-15
r2_0.000,last_5y,max_dd,2.1649348980190553e-15
r2_0.000,last_5y,ann_vol,4.996003610813204e-16
r2_0.000,last_5y,sharpe_repo,4.440892098500626e-16
r2_0.000,last_3y,ann_return,9.992007221626409e-15
r2_0.000,last_3y,max_dd,1.4710455076283324e-15
r2_0.000,last_3y,ann_vol,4.996003610813204e-16
r2_0.000,last_3y,sharpe_repo,8.881784197001252e-16
r2_0.000,last_1y,ann_return,8.271161533457416e-15
r2_0.000,last_1y,max_dd,7.216449660063518e-16
r2_0.000,last_1y,ann_vol,4.996003610813204e-16
r2_0.000,last_1y,sharpe_repo,6.661338147750939e-16
r2_0.010,full,ann_return,7.605027718682322e-15
r2_0.010,full,max_dd,7.93809462606987e-15
r2_0.010,full,ann_vol,4.996003610813204e-16
r2_0.010,full,sharpe_repo,6.661338147750939e-16
r2_0.010,last_10y,ann_return,7.827072323607354e-15
r2_0.010,last_10y,max_dd,1.3322676295501878e-15
r2_0.010,last_10y,ann_vol,4.440892098500626e-16
r2_0.010,last_10y,sharpe_repo,4.440892098500626e-16
r2_0.010,last_5y,ann_return,8.659739592076221e-15
r2_0.010,last_5y,max_dd,1.4710455076283324e-15
r2_0.010,last_5y,ann_vol,5.551115123125783e-16
r2_0.010,last_5y,sharpe_repo,4.440892098500626e-16
r2_0.010,last_3y,ann_return,8.215650382226158e-15
r2_0.010,last_3y,max_dd,6.106226635438361e-16
r2_0.010,last_3y,ann_vol,4.996003610813204e-16
r2_0.010,last_3y,sharpe_repo,8.881784197001252e-16
r2_0.010,last_1y,ann_return,5.329070518200751e-15
r2_0.010,last_1y,max_dd,8.049116928532385e-16
r2_0.010,last_1y,ann_vol,5.551115123125783e-16
