candidate,negative_best_days,negative_best_while_off_positive_days,holding_ratio
r2_off,314,0,0.9821129122414757
r2_0.000,314,0,0.9821129122414757
r2_0.010,340,37,0.9734488541084405
r2_0.025,355,59,0.9689770821688094
r2_0.050,382,97,0.9597540525433202
r2_0.075,395,120,0.9527669088876467
r2_0.100,410,143,0.946618222470654
r2_0.125,426,165,0.9407490217998882
r2_0.150,441,193,0.9332029066517608
r2_0.175,449,208,0.9276131917272219
r2_0.200,463,225,0.922023476802683
r2_0.225,478,246,0.9181106763555059
r2_0.250,492,266,0.9119619899385132
r2_0.275,508,286,0.9072107322526551
r2_0.300,517,301,0.8999441028507547
r2_0.325,533,320,0.8943543879262158
r2_0.350,551,341,0.8868082727780883
r2_0.375,567,361,0.8773057574063723
r2_0.400,592,395,0.8675237562884293
r2_0.450,609,421,0.8440469536053661
r2_0.500,613,442,0.8074343208496366
r2_0.600,616,475,0.7174399105645612
r2_0.700,566,467,0.5732252655114589
r2_0.800,364,316,0.3292342090553382
r2_0.900,61,59,0.061207378423700394
