candidate,TARGET_VOL,R2_THRESHOLD,VOL_WINDOW,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,avg_final_exposure,max_final_exposure,turnover_sum,cost_total,overheat_days,overheat_triggers,staged_initials,staged_fills
tv_10,0.1,0.2,80,1.5,full,2011-12-09,2026-05-08,3496,0.14623166593739456,0.11115653429092587,1.2835166595424798,-0.13655602829334834,5.641818079126304,2016-03-08,2016-12-05,2768,740,2726,0.7797482837528604,0.5996484564440022,1.5,0.014302059496567507,0.9302059496567505,0.40149367468614233,1.5,337.80807538044616,0.3378080753804462,30,11,308,267
tv_10,0.1,0.2,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.14839633274162756,0.10720332263197933,1.3445423107687113,-0.13655602829334823,2.989495408877632,2016-03-08,2016-12-05,2319,225,2275,0.9027777777777778,0.5630995879324013,1.0629952136820109,0.0,0.9948412698412699,0.45340726776794993,1.0629952136820109,270.04261056387355,0.2700426105638736,20,7,261,222
tv_10,0.1,0.2,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.2261365436033118,0.10590470243815904,1.9784115128443218,-0.07596945994516402,1.7713678938636077,2022-03-22,2022-06-09,1164,101,1141,0.9055555555555556,0.5077065404224085,0.8940369510623538,0.0,1.0,0.41074594902354744,0.8940369510623538,137.24192443892895,0.13724192443892894,18,6,141,118
tv_10,0.1,0.2,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.3348672003339366,0.10781266912949876,2.733987418719336,-0.0736723616657301,1.3785604089742929,2024-07-15,2024-09-10,706,53,695,0.9193121693121693,0.47665736232878586,0.7692747316076174,0.0,1.0,0.384600352803436,0.7692747316076174,80.87140337706519,0.08087140337706519,8,4,89,73
tv_10,0.1,0.2,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.3128126433631293,0.09813561983595682,2.823747899068653,-0.05250399793148497,0.3128126433631293,2025-10-22,2025-12-16,235,19,229,0.9087301587301587,0.4773599217276789,0.640343797294379,0.0,1.0,0.37419048280618505,0.640343797294379,31.337455609374402,0.031337455609374405,4,2,38,27
tv_12p5,0.125,0.2,80,1.5,full,2011-12-09,2026-05-08,3496,0.1796445128531161,0.13700988069561737,1.274425032199794,-0.16883145672093547,8.894750991990858,2016-03-08,2016-12-05,2759,740,2726,0.7797482837528604,0.7378459373470171,1.5,0.017734553775743706,0.8298054919908466,0.4987168080006445,1.5,419.01009422555774,0.41901009422555774,30,11,308,267
tv_12p5,0.125,0.2,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.18669175721793185,0.1339979629716725,1.3446756985809183,-0.16883145672093547,4.538335459025578,2016-03-08,2016-12-05,2319,225,2275,0.9027777777777778,0.7038744849155015,1.3287440171025136,0.0,0.8793650793650793,0.5667590847099374,1.3287440171025136,337.5532632048419,0.3375532632048419,20,7,261,222
tv_12p5,0.125,0.2,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.28799448814476336,0.13237474546941116,1.9785212442275582,-0.09416147215544735,2.5446227662327483,2022-03-22,2022-06-09,1164,101,1141,0.9055555555555556,0.6346331755280106,1.117546188827942,0.0,0.9666666666666667,0.5134324362794344,1.117546188827942,171.55240554866117,0.1715524055486612,18,6,141,118
tv_12p5,0.125,0.2,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.4321915292127143,0.1347587893553766,2.734097478378581,-0.09141158038991393,1.93767198879996,2024-07-15,2024-09-10,706,53,695,0.9193121693121693,0.5958217029109824,0.9615934145095216,0.0,1.0,0.48075044100429504,0.9615934145095216,101.08925422133149,0.10108925422133147,8,4,89,73
tv_12p5,0.125,0.2,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.40309884897927173,0.12266445869229219,2.8238633356802607,-0.0653157618211796,0.40309884897927173,2025-10-22,2025-12-16,235,19,229,0.9087301587301587,0.5966999021595986,0.8004297466179736,0.0,1.0,0.4677381035077313,0.8004297466179736,39.171819511718,0.039171819511718005,4,2,38,27
