code,name,first,last,rows,missing_in_joined_calendar,max_abs_daily_return,max_abs_daily_return_date,large_move_gt_30pct_count
159915.SZ,CYB100_ETF,2011-12-09,2026-05-08,3495,1,0.1999999999999999,2024-09-30,0
159941.SZ,NASDAQ_ETF,2015-07-13,2026-05-08,2627,869,0.7466442953020134,2022-07-05,1
513030.SH,GERMANY_ETF,2014-09-05,2026-05-08,2831,665,0.1001767825574544,2025-04-07,0
513520.SH,NIKKEI_ETF,2019-06-25,2026-05-08,1665,1831,0.0933137398971344,2025-04-07,0
159985.SZ,SOYMEAL_ETF,2019-12-05,2026-05-08,1554,1942,0.0888717156105101,2022-02-07,0
518880.SH,GOLD_ETF,2013-07-29,2026-05-08,3104,392,0.100009083477155,2026-02-02,0
