candidate,negative_best_days,negative_best_while_off_positive_days,holding_ratio
r2_off,0,0,0.698993851313583
r2_0.000,0,0,0.698993851313583
r2_0.010,0,0,0.698993851313583
r2_0.025,0,0,0.698993851313583
r2_0.050,0,0,0.6984348798211292
r2_0.075,0,0,0.6975964225824483
r2_0.100,0,0,0.6967579653437674
r2_0.125,0,0,0.6950810508664058
r2_0.150,0,0,0.6917272219116825
r2_0.175,0,0,0.6897708216880939
r2_0.200,0,0,0.6880939072107323
r2_0.225,0,0,0.6836221352711012
r2_0.250,0,0,0.6774734488541084
r2_0.275,0,0,0.6713247624371157
r2_0.300,0,0,0.6671324762437115
r2_0.325,0,0,0.6629401900503075
r2_0.350,0,0,0.6562325321408609
r2_0.375,0,0,0.6495248742314143
r2_0.400,0,0,0.6391839016210173
r2_0.450,0,0,0.6207378423700392
r2_0.500,0,0,0.5933482392397987
r2_0.600,0,0,0.5164896590273896
r2_0.700,0,0,0.39798770262716604
r2_0.800,0,0,0.2193963107881498
r2_0.900,0,0,0.04220234768026831
