candidate,segment,metric,max_abs_diff
r2_off,full,ann_return,5.384581669432009e-15
r2_off,full,max_dd,3.885780586188048e-16
r2_off,full,ann_vol,3.608224830031759e-16
r2_off,full,sharpe_repo,8.881784197001252e-16
r2_off,last_10y,ann_return,5.828670879282072e-15
r2_off,last_10y,max_dd,3.3861802251067274e-15
r2_off,last_10y,ann_vol,4.718447854656915e-16
r2_off,last_10y,sharpe_repo,1.1102230246251565e-15
r2_off,last_5y,ann_return,6.716849298982197e-15
r2_off,last_5y,max_dd,1.1379786002407855e-15
r2_off,last_5y,ann_vol,4.440892098500626e-16
r2_off,last_5y,sharpe_repo,2.220446049250313e-16
r2_off,last_3y,ann_return,6.661338147750939e-15
r2_off,last_3y,max_dd,1.0269562977782698e-15
r2_off,last_3y,ann_vol,3.885780586188048e-16
r2_off,last_3y,sharpe_repo,2.220446049250313e-16
r2_off,last_1y,ann_return,2.6645352591003757e-15
r2_off,last_1y,max_dd,7.216449660063518e-16
r2_off,last_1y,ann_vol,5.551115123125783e-16
r2_off,last_1y,sharpe_repo,8.881784197001252e-16
r2_0.000,full,ann_return,5.384581669432009e-15
r2_0.000,full,max_dd,3.885780586188048e-16
r2_0.000,full,ann_vol,3.608224830031759e-16
r2_0.000,full,sharpe_repo,8.881784197001252e-16
r2_0.000,last_10y,ann_return,5.828670879282072e-15
r2_0.000,last_10y,max_dd,3.3861802251067274e-15
r2_0.000,last_10y,ann_vol,4.718447854656915e-16
r2_0.000,last_10y,sharpe_repo,1.1102230246251565e-15
r2_0.000,last_5y,ann_return,6.716849298982197e-15
r2_0.000,last_5y,max_dd,1.1379786002407855e-15
r2_0.000,last_5y,ann_vol,4.440892098500626e-16
r2_0.000,last_5y,sharpe_repo,2.220446049250313e-16
r2_0.000,last_3y,ann_return,6.661338147750939e-15
r2_0.000,last_3y,max_dd,1.0269562977782698e-15
r2_0.000,last_3y,ann_vol,3.885780586188048e-16
r2_0.000,last_3y,sharpe_repo,2.220446049250313e-16
r2_0.000,last_1y,ann_return,2.6645352591003757e-15
r2_0.000,last_1y,max_dd,7.216449660063518e-16
r2_0.000,last_1y,ann_vol,5.551115123125783e-16
r2_0.000,last_1y,sharpe_repo,8.881784197001252e-16
r2_0.010,full,ann_return,5.384581669432009e-15
r2_0.010,full,max_dd,3.885780586188048e-16
r2_0.010,full,ann_vol,3.608224830031759e-16
r2_0.010,full,sharpe_repo,8.881784197001252e-16
r2_0.010,last_10y,ann_return,5.828670879282072e-15
r2_0.010,last_10y,max_dd,3.3861802251067274e-15
r2_0.010,last_10y,ann_vol,4.718447854656915e-16
r2_0.010,last_10y,sharpe_repo,1.1102230246251565e-15
r2_0.010,last_5y,ann_return,6.716849298982197e-15
r2_0.010,last_5y,max_dd,1.1379786002407855e-15
r2_0.010,last_5y,ann_vol,4.440892098500626e-16
r2_0.010,last_5y,sharpe_repo,2.220446049250313e-16
r2_0.010,last_3y,ann_return,6.661338147750939e-15
r2_0.010,last_3y,max_dd,1.0269562977782698e-15
r2_0.010,last_3y,ann_vol,3.885780586188048e-16
r2_0.010,last_3y,sharpe_repo,2.220446049250313e-16
r2_0.010,last_1y,ann_return,2.6645352591003757e-15
r2_0.010,last_1y,max_dd,7.216449660063518e-16
r2_0.010,last_1y,ann_vol,5.551115123125783e-16
r2_0.010,last_1y,sharpe_repo,8.881784197001252e-16
r2_0.025,full,ann_return,5.384581669432009e-15
r2_0.025,full,max_dd,3.885780586188048e-16
r2_0.025,full,ann_vol,3.608224830031759e-16
r2_0.025,full,sharpe_repo,8.881784197001252e-16
r2_0.025,last_10y,ann_return,5.828670879282072e-15
r2_0.025,last_10y,max_dd,3.3861802251067274e-15
r2_0.025,last_10y,ann_vol,4.718447854656915e-16
r2_0.025,last_10y,sharpe_repo,1.1102230246251565e-15
r2_0.025,last_5y,ann_return,6.716849298982197e-15
r2_0.025,last_5y,max_dd,1.1379786002407855e-15
r2_0.025,last_5y,ann_vol,4.440892098500626e-16
r2_0.025,last_5y,sharpe_repo,2.220446049250313e-16
r2_0.025,last_3y,ann_return,6.661338147750939e-15
r2_0.025,last_3y,max_dd,1.0269562977782698e-15
r2_0.025,last_3y,ann_vol,3.885780586188048e-16
r2_0.025,last_3y,sharpe_repo,2.220446049250313e-16
r2_0.025,last_1y,ann_return,2.6645352591003757e-15
r2_0.025,last_1y,max_dd,7.216449660063518e-16
r2_0.025,last_1y,ann_vol,5.551115123125783e-16
r2_0.025,last_1y,sharpe_repo,8.881784197001252e-16
r2_0.050,full,ann_return,5.10702591327572e-15
r2_0.050,full,max_dd,4.440892098500626e-16
