candidate,lookback,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y,full_ann_delta_vs_lb25_pp,full_mdd_improvement_vs_lb25_pp
lb_10,10,-0.07901498903093251,-0.6028844598509726,,,,insufficient rows: 2432 < 2520 trading days,-0.10167200813990862,-0.5183584480761809,,-0.1739139013715214,-0.4635990301450863,,-0.31871952727983643,-0.34764202989348014,,-16.562090636752814,-13.853847931287522
lb_15,15,-0.11670556184273362,-0.7610271947149765,,,,insufficient rows: 2432 < 2520 trading days,-0.17675490900976332,-0.6481700111859099,,-0.17716168684282407,-0.5187696886960329,,-0.290258980889019,-0.33776925267400726,,-20.331147917932924,-29.66812141768791
lb_20,20,-0.009209113941231473,-0.3901300274227232,,,,insufficient rows: 2432 < 2520 trading days,-0.039849213429729025,-0.37335775499866597,,-0.048972442521855064,-0.3733577549986662,,-0.1184862077494897,-0.24983271815827113,,-9.581503127782709,7.421595311537422
lb_22,22,0.036266838517091005,-0.3775535538023087,,,,insufficient rows: 2432 < 2520 trading days,-0.02338732197599125,-0.37755355380230826,,-0.04109090462022291,-0.3775535538023075,,-0.13356615460852805,-0.23012720783007057,,-5.033907881950461,8.67924267357887
lb_24,24,0.05933541173560597,-0.4472790869951552,,,,insufficient rows: 2432 < 2520 trading days,0.016814320809353633,-0.4472790869951546,,-0.07157673774301321,-0.4472790869951542,,-0.21835756918725446,-0.2706115211816079,,-2.7270505600989647,1.7066893542942219
lb_25,25,0.08660591733659562,-0.4643459805380974,,,,insufficient rows: 2432 < 2520 trading days,0.00990998861920711,-0.4643459805380957,,-0.08835448399795454,-0.4643459805380963,,-0.2916521653157299,-0.3474520034693904,,0.0,0.0
lb_26,26,0.08378490752091938,-0.4027748204409062,,,,insufficient rows: 2432 < 2520 trading days,0.017848956173393438,-0.40277482044090474,,-0.06953956602959521,-0.4027748204409054,,-0.30571246364618887,-0.35549903879623446,,-0.2821009815676234,6.157116009719122
lb_28,28,0.0985740414214038,-0.36308930098165226,,,,insufficient rows: 2432 < 2520 trading days,0.014980273178026415,-0.3630893009816514,,-0.04011199777695473,-0.36308930098165226,,-0.26193441567634224,-0.33223516819645615,,1.1968124084808185,10.125667955644513
lb_30,30,0.08807548526354214,-0.3849712672597314,,,,insufficient rows: 2432 < 2520 trading days,0.0500612948872563,-0.38497126725973185,,-0.030469766019691646,-0.3849712672597313,,-0.22966037480747536,-0.30399188828645385,,0.14695679269465245,7.937471327836598
lb_32,32,0.11224355201393954,-0.4203668597892455,,,,insufficient rows: 2432 < 2520 trading days,0.03510003428596398,-0.42036685978924704,,-0.05004415527843986,-0.4203668597892468,,-0.16106436635161736,-0.2449252096559298,,2.5637634677343923,4.397912074885191
lb_34,34,0.07659540643910945,-0.34831953374735214,,,,insufficient rows: 2432 < 2520 trading days,0.009505762684871577,-0.3483195337473548,,-0.02128685382521378,-0.34831953374735336,,-0.1641946895089731,-0.2735271946936688,,-1.001051089748617,11.602644679074526
lb_35,35,0.03806919670891018,-0.3597272177203803,,,,insufficient rows: 2432 < 2520 trading days,-0.042444544907591863,-0.35942481582471386,,-0.09054050234883348,-0.35942481582471253,,-0.2121975438257241,-0.2898685078411849,,-4.853672062768544,10.461876281771708
lb_36,36,0.04684006942996377,-0.43354576829758673,,,,insufficient rows: 2432 < 2520 trading days,-0.017927944853266875,-0.4335457682975882,,-0.11649579044974112,-0.43354576829758673,,-0.22398663459040613,-0.3075564661807134,,-3.9765847906631846,3.080021224051066
lb_38,38,0.05554835221247734,-0.38864418647160437,,,,insufficient rows: 2432 < 2520 trading days,0.006609943297736232,-0.3886441864716047,,-0.10244560130585789,-0.3886441864716057,,-0.23614075423451797,-0.3095604812481334,,-3.105756512411828,7.570179406649302
lb_40,40,0.013464503305443687,-0.4583883911057396,,,,insufficient rows: 2432 < 2520 trading days,-0.04576407698855911,-0.45838839110574037,,-0.13013587950603567,-0.45838839110574015,,-0.25007530571582415,-0.3080005375656756,,-7.314141403115193,0.5957589432357802
lb_42,42,0.0383861840440487,-0.43597756420084055,,,,insufficient rows: 2432 < 2520 trading days,-0.010305790451272445,-0.43597756420083944,,-0.12161050757817904,-0.4359775642008392,,-0.2430724390575537,-0.2988335152116701,,-4.821973329254692,2.836841633725684
lb_45,45,0.024790589926033002,-0.4296968544414148,,,,insufficient rows: 2432 < 2520 trading days,-0.018606503689564735,-0.40765631132509617,,-0.09357902208322888,-0.40765631132509694,,-0.29480464539925366,-0.3318494858513168,,-6.1815327410562615,3.464912609668258
lb_50,50,-0.007985591131106307,-0.554788635869251,,,,insufficient rows: 2432 < 2520 trading days,-0.06536912509723747,-0.48265472135070964,,-0.1558545201042021,-0.48265472135070975,,-0.34773063309886687,-0.3667336324282633,,-9.459150846770193,-9.04426553311536
lb_55,55,0.008274210682145622,-0.5345306712295188,,,,insufficient rows: 2432 < 2520 trading days,-0.021315428386331825,-0.3840233859214198,,-0.10816034817978581,-0.38402338592141916,,-0.2546790995367325,-0.28257548438989255,,-7.8331706654449995,-7.018469069142141
lb_60,60,-0.0032290680088147283,-0.544481109932109,,,,insufficient rows: 2432 < 2520 trading days,-0.006295918602602257,-0.41217149458414026,,-0.08285160495050614,-0.41217149458413993,,-0.32508911852720934,-0.3274490548101202,,-8.983498534541035,-8.013512939401156
lb_65,65,0.008958080634724919,-0.5197548862191448,,,,insufficient rows: 2432 < 2520 trading days,-0.007223258163282731,-0.44846044177483146,,-0.07135388677668042,-0.44846044177483124,,-0.32570808261854367,-0.3280658545922739,,-7.76478367018707,-5.540890568104739
lb_70,70,-0.011609572871283502,-0.5677946224780515,,,,insufficient rows: 2432 < 2520 trading days,-0.00396313174377505,-0.4637863998754169,,-0.0708320318583392,-0.46378639987541714,,-0.3652619898996168,-0.36748145516725295,,-9.821549020787913,-10.344864193995406
lb_75,75,0.01044970025461267,-0.4846486411408998,,,,insufficient rows: 2432 < 2520 trading days,0.049580753180385795,-0.43325087126375517,,-0.06561362390271985,-0.43325087126375583,,-0.32209924845151094,-0.32468674502169115,,-7.615621708198295,-2.030266060280239
lb_80,80,0.05736703602754689,-0.3806983073258263,,,,insufficient rows: 2432 < 2520 trading days,0.09072472425849365,-0.3806983073258271,,-0.0005131475082488235,-0.38069830732582655,,-0.2515738872023817,-0.2761369439301372,,-2.9238881309048725,8.364767321227106
lb_85,85,0.04437434964903186,-0.4937168211515184,,,,insufficient rows: 2432 < 2520 trading days,0.05388156827999735,-0.4937168211515188,,-0.07267633283439667,-0.49371682115151827,,-0.23515819151711015,-0.27468704332975336,,-4.223156768756375,-2.937084061342099
lb_90,90,0.046961045519529065,-0.4611083883645559,,,,insufficient rows: 2432 < 2520 trading days,0.0482045836372067,-0.4611083883645558,,-0.09265495281142067,-0.4611083883645555,,-0.20361508596344857,-0.27468704332975347,,-3.964487181706655,0.32375921735414703
