candidate,lookback,segment,window,start,end,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,reason
lb_34,34,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_34,34,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.009505762684871577,0.21768014467113525,-0.3483195337473548,0.15315181967420263,100.0,110.0,0.18400000000000002,184.0,0.9206349206349206,
lb_34,34,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.02128685382521378,0.20401594318818322,-0.34831953374735336,-0.002446181112145457,50.0,72.0,0.11800000000000001,118.0,0.9338624338624338,
lb_34,34,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.1641946895089731,0.18565008488741636,-0.2735271946936688,-0.8715768905909612,15.0,22.0,0.038,38.0,0.9404761904761905,
lb_35,35,full,Full,2007-01-04,2016-12-30,2432.0,0.03806919670891018,0.22792576011445928,-0.3597272177203803,0.278441552685841,211.0,181.0,0.315,315.0,0.9132401315789473,
lb_35,35,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_35,35,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.042444544907591863,0.21748443906606038,-0.35942481582471386,-0.0897520306176997,91.0,106.0,0.182,182.0,0.9277777777777778,
lb_35,35,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.09054050234883348,0.20229773113618707,-0.35942481582471253,-0.3667752385957485,44.0,68.0,0.116,116.0,0.9417989417989417,
lb_35,35,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.2121975438257241,0.18060454286010935,-0.2898685078411849,-1.2281243618699558,15.0,23.0,0.04,40.0,0.9404761904761905,
lb_36,36,full,Full,2007-01-04,2016-12-30,2432.0,0.04684006942996377,0.22950152330313106,-0.43354576829758673,0.31477271995931827,214.0,163.0,0.285,285.0,0.9120065789473685,
lb_36,36,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_36,36,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.017927944853266875,0.2204427938958813,-0.4335457682975882,0.02906900849319244,94.0,92.0,0.16,160.0,0.9253968253968254,
lb_36,36,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.11649579044974112,0.2018413067568965,-0.43354576829758673,-0.5113179547922979,43.0,60.0,0.10400000000000001,104.0,0.9431216931216931,
lb_36,36,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.22398663459040613,0.18218801019275999,-0.3075564661807134,-1.2985333917713677,17.0,23.0,0.04,40.0,0.9325396825396826,
lb_38,38,full,Full,2007-01-04,2016-12-30,2432.0,0.05554835221247734,0.22918919043478156,-0.38864418647160437,0.35102777246106937,210.0,157.0,0.273,273.0,0.9136513157894737,
lb_38,38,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_38,38,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.006609943297736232,0.2205085466201501,-0.3886441864716047,0.14097408286002314,91.0,88.0,0.15200000000000002,152.0,0.9277777777777778,
lb_38,38,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.10244560130585789,0.19833471196148691,-0.3886441864716057,-0.44446103195213676,42.0,57.0,0.098,98.0,0.9444444444444444,
lb_38,38,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.23614075423451797,0.17853128950673025,-0.3095604812481334,-1.4171644004353001,16.0,22.0,0.038,38.0,0.9365079365079365,
lb_40,40,full,Full,2007-01-04,2016-12-30,2432.0,0.013464503305443687,0.2330677430901827,-0.4583883911057396,0.17459889772719894,207.0,157.0,0.269,269.0,0.9148848684210527,
lb_40,40,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_40,40,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.04576407698855911,0.22860466233455104,-0.45838839110574037,-0.08948581455090902,89.0,87.0,0.14800000000000002,148.0,0.9293650793650794,
lb_40,40,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.13013587950603567,0.21205939585158978,-0.45838839110574015,-0.5496096827881278,43.0,55.0,0.092,92.0,0.9431216931216931,
lb_40,40,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.25007530571582415,0.1909031884828182,-0.3080005375656756,-1.4094123699254981,16.0,20.0,0.034,34.0,0.9365079365079365,
lb_42,42,full,Full,2007-01-04,2016-12-30,2432.0,0.0383861840440487,0.23281368402690322,-0.43597756420084055,0.27887058275860027,201.0,148.0,0.255,255.0,0.9173519736842105,
lb_42,42,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_42,42,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.010305790451272445,0.2287574470415406,-0.43597756420083944,0.07016143030624818,84.0,82.0,0.14200000000000002,142.0,0.9333333333333333,
lb_42,42,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.12161050757817904,0.2117817506160766,-0.4359775642008392,-0.5045628228899771,45.0,52.0,0.088,88.0,0.9404761904761905,
lb_42,42,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.2430724390575537,0.189927010442709,-0.2988335152116701,-1.3686500069715268,16.0,20.0,0.034,34.0,0.9365079365079365,
lb_45,45,full,Full,2007-01-04,2016-12-30,2432.0,0.024790589926033002,0.23328634746102697,-0.4296968544414148,0.222203290109666,198.0,133.0,0.23500000000000001,235.0,0.9185855263157895,
lb_45,45,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_45,45,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.018606503689564735,0.23135714521769024,-0.40765631132509617,0.0354136946408154,83.0,78.0,0.138,138.0,0.9341269841269841,
lb_45,45,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.09357902208322888,0.20963521125069115,-0.40765631132509694,-0.36241586084209504,43.0,48.0,0.084,84.0,0.9431216931216931,
lb_45,45,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.29480464539925366,0.1908888091752857,-0.3318494858513168,-1.731277936451283,13.0,18.0,0.032,32.0,0.9484126984126984,
lb_50,50,full,Full,2007-01-04,2016-12-30,2432.0,-0.007985591131106307,0.23377017120776636,-0.554788635869251,0.0832501320824512,206.0,127.0,0.221,221.0,0.915296052631579,
lb_50,50,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_50,50,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.06536912509723747,0.23647414997932198,-0.48265472135070964,-0.16672261182081763,89.0,77.0,0.134,134.0,0.9293650793650794,
lb_50,50,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.1558545201042021,0.21360381071166068,-0.48265472135070975,-0.6848467647367887,46.0,55.0,0.096,96.0,0.9391534391534392,
lb_50,50,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.34773063309886687,0.18789696702714478,-0.3667336324282633,-2.176404014659108,16.0,24.0,0.042,42.0,0.9365079365079365,
lb_55,55,full,Full,2007-01-04,2016-12-30,2432.0,0.008274210682145622,0.22948757683351956,-0.5345306712295188,0.15127757278318385,212.0,109.0,0.189,189.0,0.912828947368421,
lb_55,55,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_55,55,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.021315428386331825,0.2309938138054162,-0.3840233859214198,0.023003313152384932,89.0,69.0,0.12000000000000001,120.0,0.9293650793650794,
lb_55,55,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.10816034817978581,0.2136440733301386,-0.38402338592141916,-0.4277188013620183,45.0,49.0,0.08600000000000001,86.0,0.9404761904761905,
lb_55,55,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.2546790995367325,0.1951415046824321,-0.28257548438989255,-1.406240121876421,16.0,20.0,0.034,34.0,0.9365079365079365,
lb_60,60,full,Full,2007-01-04,2016-12-30,2432.0,-0.0032290680088147283,0.22388568712024615,-0.544481109932109,0.09808278951485246,226.0,109.0,0.187,187.0,0.9070723684210527,
lb_60,60,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_60,60,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.006295918602602257,0.22594393070636942,-0.41217149458414026,0.08577752111319711,92.0,68.0,0.118,118.0,0.926984126984127,
lb_60,60,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.08285160495050614,0.21065217763887195,-0.41217149458413993,-0.3040666714341926,46.0,48.0,0.084,84.0,0.9391534391534392,
lb_60,60,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.32508911852720934,0.2100656226381871,-0.3274490548101202,-1.762659793794686,14.0,21.0,0.036000000000000004,36.0,0.9444444444444444,
lb_65,65,full,Full,2007-01-04,2016-12-30,2432.0,0.008958080634724919,0.2224384990306829,-0.5197548862191448,0.15180123909126716,236.0,99.0,0.173,173.0,0.9029605263157895,
lb_65,65,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_65,65,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.007223258163282731,0.22574917344291426,-0.44846044177483146,0.08145210967600514,92.0,60.0,0.10400000000000001,104.0,0.926984126984127,
lb_65,65,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.07135388677668042,0.21656616945670623,-0.44846044177483124,-0.2325030988926629,45.0,42.0,0.07400000000000001,74.0,0.9404761904761905,
lb_65,65,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.32570808261854367,0.2094761860941371,-0.3280658545922739,-1.7726286990192863,12.0,16.0,0.028000000000000004,28.0,0.9523809523809523,
lb_70,70,full,Full,2007-01-04,2016-12-30,2432.0,-0.011609572871283502,0.22403851872713942,-0.5677946224780515,0.060403017596285524,230.0,87.0,0.15500000000000003,155.0,0.9054276315789473,
lb_70,70,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_70,70,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.00396313174377505,0.2295981314972251,-0.4637863998754169,0.09818603800864768,83.0,51.0,0.088,88.0,0.9341269841269841,
lb_70,70,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.0708320318583392,0.22003223902719762,-0.46378639987541714,-0.2228768156616564,44.0,36.0,0.062000000000000006,62.0,0.9417989417989417,
lb_70,70,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.3652619898996168,0.219879838049253,-0.36748145516725295,-1.9526684549464757,12.0,16.0,0.028000000000000004,28.0,0.9523809523809523,
lb_75,75,full,Full,2007-01-04,2016-12-30,2432.0,0.01044970025461267,0.22095362209724037,-0.4846486411408998,0.15805474218360835,240.0,84.0,0.153,153.0,0.9013157894736842,
lb_75,75,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_75,75,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.049580753180385795,0.2261589667402334,-0.43325087126375517,0.3277861474174936,80.0,50.0,0.088,88.0,0.9365079365079365,
lb_75,75,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.06561362390271985,0.2201609236986303,-0.43325087126375583,-0.19700383061491397,42.0,36.0,0.064,64.0,0.9444444444444444,
lb_75,75,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.32209924845151094,0.2181396414269781,-0.32468674502169115,-1.66883209152999,11.0,14.0,0.026000000000000002,26.0,0.9563492063492064,
lb_80,80,full,Full,2007-01-04,2016-12-30,2432.0,0.05736703602754689,0.22052011806280544,-0.3806983073258263,0.3637345737289622,241.0,79.0,0.145,145.0,0.9009046052631579,
lb_80,80,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_80,80,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.09072472425849365,0.22682691268686764,-0.3806983073258271,0.49697792546317754,76.0,47.0,0.084,84.0,0.9396825396825397,
lb_80,80,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.0005131475082488235,0.22078296281396972,-0.38069830732582655,0.10906475292544711,40.0,34.0,0.064,64.0,0.9470899470899471,
lb_80,80,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.2515738872023817,0.21686385625147686,-0.2761369439301372,-1.2243774998363464,12.0,13.0,0.024,24.0,0.9523809523809523,
lb_85,85,full,Full,2007-01-04,2016-12-30,2432.0,0.04437434964903186,0.22306987049289195,-0.4937168211515184,0.3067131784579811,243.0,69.0,0.125,125.0,0.9000822368421053,
lb_85,85,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_85,85,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.05388156827999735,0.2307305970611068,-0.4937168211515188,0.3435634814871737,72.0,41.0,0.072,72.0,0.9428571428571428,
lb_85,85,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.07267633283439667,0.2225942125696334,-0.49371682115151827,-0.22643537431108982,41.0,28.0,0.052000000000000005,52.0,0.9457671957671958,
lb_85,85,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.23515819151711015,0.22544381655413878,-0.27468704332975336,-1.0731836682548002,12.0,9.0,0.016,16.0,0.9523809523809523,
lb_90,90,full,Full,2007-01-04,2016-12-30,2432.0,0.046961045519529065,0.22645260560828717,-0.4611083883645559,0.3163995411906029,243.0,67.0,0.12100000000000001,121.0,0.9000822368421053,
lb_90,90,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_90,90,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.0482045836372067,0.23585096325076185,-0.4611083883645558,0.318228837625713,66.0,41.0,0.072,72.0,0.9476190476190476,
lb_90,90,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.09265495281142067,0.22955302448977263,-0.4611083883645555,-0.30758912552507867,43.0,27.0,0.05,50.0,0.9431216931216931,
lb_90,90,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.20361508596344857,0.22595028479275286,-0.27468704332975347,-0.8916380097245363,13.0,8.0,0.014,14.0,0.9484126984126984,
