candidate,lookback,segment,window,start,end,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,reason
lb_10,10,full,Full,2007-01-04,2016-12-30,2432.0,-0.07901498903093251,0.21264258871515154,-0.6028844598509726,-0.28002011612756134,327.0,895.0,1.597,1597.0,0.8655427631578947,
lb_10,10,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_10,10,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.10167200813990862,0.2016665049251596,-0.5183584480761809,-0.4301823124354184,105.0,473.0,0.8720000000000001,872.0,0.9166666666666666,
lb_10,10,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.1739139013715214,0.20502815178188655,-0.4635990301450863,-0.8281889291257453,46.0,263.0,0.488,488.0,0.9391534391534392,
lb_10,10,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.31871952727983643,0.178130865137419,-0.34764202989348014,-2.0628334225346374,21.0,86.0,0.15200000000000002,152.0,0.9166666666666666,
lb_15,15,full,Full,2007-01-04,2016-12-30,2432.0,-0.11670556184273362,0.2239055382998853,-0.7610271947149765,-0.44068142445518976,258.0,547.0,0.9690000000000001,969.0,0.8939144736842105,
lb_15,15,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_15,15,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.17675490900976332,0.21045712582979215,-0.6481700111859099,-0.8176074933244423,80.0,290.0,0.528,528.0,0.9365079365079365,
lb_15,15,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.17716168684282407,0.21184073610060494,-0.5187696886960329,-0.8127773723657296,36.0,158.0,0.28800000000000003,288.0,0.9523809523809523,
lb_15,15,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.290258980889019,0.1896949587063442,-0.33776925267400726,-1.708879080075397,12.0,50.0,0.088,88.0,0.9523809523809523,
lb_20,20,full,Full,2007-01-04,2016-12-30,2432.0,-0.009209113941231473,0.21329843968369994,-0.3901300274227232,0.06354012735604522,250.0,400.0,0.6990000000000001,699.0,0.897203947368421,
lb_20,20,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_20,20,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.039849213429729025,0.20899727948089356,-0.37335775499866597,-0.08956876731214516,78.0,219.0,0.392,392.0,0.9380952380952381,
lb_20,20,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.048972442521855064,0.21407292461313665,-0.3733577549986662,-0.12695194824427344,37.0,123.0,0.22,220.0,0.951058201058201,
lb_20,20,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.1184862077494897,0.16854703954217415,-0.24983271815827113,-0.6633230176614204,11.0,42.0,0.07600000000000001,76.0,0.9563492063492064,
lb_22,22,full,Full,2007-01-04,2016-12-30,2432.0,0.036266838517091005,0.21692496756176077,-0.3775535538023087,0.2729991055963798,242.0,361.0,0.623,623.0,0.9004934210526315,
lb_22,22,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_22,22,last_5y,5Y,2011-10-28,2016-12-30,1260.0,-0.02338732197599125,0.21552071166741268,-0.37755355380230826,-0.0014299248573389758,84.0,206.0,0.362,362.0,0.9333333333333333,
lb_22,22,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.04109090462022291,0.2213537180861231,-0.3775535538023075,-0.07806446849255755,41.0,117.0,0.20400000000000001,204.0,0.9457671957671958,
lb_22,22,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.13356615460852805,0.19219322229281705,-0.23012720783007057,-0.6482701617763382,11.0,34.0,0.062,62.0,0.9563492063492064,
lb_24,24,full,Full,2007-01-04,2016-12-30,2432.0,0.05933541173560597,0.2241573343364167,-0.4472790869951552,0.36955107106222945,230.0,310.0,0.537,537.0,0.9054276315789473,
lb_24,24,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_24,24,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.016814320809353633,0.22277000571019484,-0.4472790869951546,0.18671166591072663,96.0,170.0,0.29400000000000004,294.0,0.9238095238095239,
lb_24,24,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.07157673774301321,0.22940983196761933,-0.4472790869951542,-0.20813146139153588,54.0,100.0,0.16999999999999998,170.0,0.9285714285714286,
lb_24,24,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.21835756918725446,0.19359475853573016,-0.2706115211816079,-1.1737717428815557,12.0,29.0,0.05,50.0,0.9523809523809523,
lb_25,25,full,Full,2007-01-04,2016-12-30,2432.0,0.08660591733659562,0.22624487738408933,-0.4643459805380974,0.480623370416575,223.0,292.0,0.501,501.0,0.9083059210526315,
lb_25,25,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_25,25,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.00990998861920711,0.2264100135555445,-0.4643459805380957,0.15729229434228614,90.0,159.0,0.272,272.0,0.9285714285714286,
lb_25,25,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.08835448399795454,0.23257353200446998,-0.4643459805380963,-0.2804654455024058,54.0,95.0,0.16,160.0,0.9285714285714286,
lb_25,25,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.2916521653157299,0.2031443080478975,-0.3474520034693904,-1.5930636703271124,11.0,30.0,0.052000000000000005,52.0,0.9563492063492064,
lb_26,26,full,Full,2007-01-04,2016-12-30,2432.0,0.08378490752091938,0.22717340786137188,-0.4027748204409062,0.4680299736122452,220.0,287.0,0.499,499.0,0.9095394736842105,
lb_26,26,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_26,26,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.017848956173393438,0.22402918233487795,-0.40277482044090474,0.1914358059477529,91.0,154.0,0.266,266.0,0.9277777777777778,
lb_26,26,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.06953956602959521,0.2305771465304395,-0.4027748204409054,-0.19649880781050963,51.0,94.0,0.158,158.0,0.9325396825396826,
lb_26,26,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.30571246364618887,0.202255127248853,-0.35549903879623446,-1.6999399340711778,11.0,28.0,0.048,48.0,0.9563492063492064,
lb_28,28,full,Full,2007-01-04,2016-12-30,2432.0,0.0985740414214038,0.2248926025881913,-0.36308930098165226,0.530798523510829,220.0,262.0,0.455,455.0,0.9095394736842105,
lb_28,28,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28,28,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.014980273178026415,0.22093682576942955,-0.3630893009816514,0.17832310222243544,91.0,143.0,0.248,248.0,0.9277777777777778,
lb_28,28,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.04011199777695473,0.2218178475064266,-0.36308930098165226,-0.07277151933763154,51.0,88.0,0.15000000000000002,150.0,0.9325396825396826,
lb_28,28,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.26193441567634224,0.20747557623505145,-0.33223516819645615,-1.3578853263439066,12.0,28.0,0.048,48.0,0.9523809523809523,
lb_30,30,full,Full,2007-01-04,2016-12-30,2432.0,0.08807548526354214,0.22211243275403678,-0.3849712672597314,0.4914682567951416,224.0,238.0,0.405,405.0,0.9078947368421053,
lb_30,30,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_30,30,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.0500612948872563,0.21728970883719406,-0.38497126725973185,0.3340197027761283,95.0,132.0,0.22399999999999998,224.0,0.9246031746031746,
lb_30,30,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.030469766019691646,0.21592780142681536,-0.3849712672597313,-0.03447267993879147,52.0,81.0,0.136,136.0,0.9312169312169312,
lb_30,30,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.22966037480747536,0.20398306086334933,-0.30399188828645385,-1.175048683982133,13.0,28.0,0.048,48.0,0.9484126984126984,
lb_32,32,full,Full,2007-01-04,2016-12-30,2432.0,0.11224355201393954,0.22600317000300138,-0.4203668597892455,0.5841740398977302,226.0,205.0,0.35300000000000004,353.0,0.9070723684210527,
lb_32,32,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32,32,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.03510003428596398,0.22004345382891677,-0.42036685978924704,0.2674842093129272,100.0,113.0,0.192,192.0,0.9206349206349206,
lb_32,32,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.05004415527843986,0.21324397934726833,-0.4203668597892468,-0.1331908253428885,54.0,74.0,0.12400000000000001,124.0,0.9285714285714286,
lb_32,32,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.16106436635161736,0.1923537813106418,-0.2449252096559298,-0.8153654941069503,14.0,25.0,0.042,42.0,0.9444444444444444,
lb_34,34,full,Full,2007-01-04,2016-12-30,2432.0,0.07659540643910945,0.2263435768663445,-0.34831953374735214,0.4397573864244427,220.0,191.0,0.329,329.0,0.9095394736842105,
