lookback,candidate,width_metric,ann_return_full,left_neighbor,left_ann_return_full,left_retention_ratio,right_neighbor,right_ann_return_full,right_retention_ratio,width_supported_80pct,edge_of_grid
10,lb_10,ann_return_full,-0.07901498903093251,,,,15.0,-0.11670556184273362,,False,True
15,lb_15,ann_return_full,-0.11670556184273362,10.0,-0.07901498903093251,,20.0,-0.009209113941231473,,False,False
20,lb_20,ann_return_full,-0.009209113941231473,15.0,-0.11670556184273362,,22.0,0.036266838517091005,,False,False
22,lb_22,ann_return_full,0.036266838517091005,20.0,-0.009209113941231473,-0.25392657087801057,24.0,0.05933541173560597,1.636078968053522,False,False
24,lb_24,ann_return_full,0.05933541173560597,22.0,0.036266838517091005,0.6112174409220121,25.0,0.08660591733659562,1.4595991635232082,False,False
25,lb_25,ann_return_full,0.08660591733659562,24.0,0.05933541173560597,0.6851196033753412,26.0,0.08378490752091938,0.9674270546120731,False,False
26,lb_26,ann_return_full,0.08378490752091938,25.0,0.08660591733659562,1.0336696655656257,28.0,0.0985740414214038,1.1765131016799402,True,False
28,lb_28,ann_return_full,0.0985740414214038,26.0,0.08378490752091938,0.8499692851461684,30.0,0.08807548526354214,0.8934957316705687,True,False
30,lb_30,ann_return_full,0.08807548526354214,28.0,0.0985740414214038,1.119199526706524,32.0,0.11224355201393954,1.2744017438914015,True,False
32,lb_32,ann_return_full,0.11224355201393954,30.0,0.08807548526354214,0.7846819143125837,34.0,0.07659540643910945,0.6824036219879879,False,False
34,lb_34,ann_return_full,0.07659540643910945,32.0,0.11224355201393954,1.4654084002174343,35.0,0.03806919670891018,0.49701670738145115,False,False
35,lb_35,ann_return_full,0.03806919670891018,34.0,0.07659540643910945,2.012004798125465,36.0,0.04684006942996377,1.2303929023803317,True,False
36,lb_36,ann_return_full,0.04684006942996377,35.0,0.03806919670891018,0.8127485115245617,38.0,0.05554835221247734,1.185915240700793,True,False
38,lb_38,ann_return_full,0.05554835221247734,36.0,0.04684006942996377,0.8432305831646704,40.0,0.013464503305443687,0.24239248815051753,False,False
40,lb_40,ann_return_full,0.013464503305443687,38.0,0.05554835221247734,4.125540389597527,42.0,0.0383861840440487,2.8509171985964903,True,False
42,lb_42,ann_return_full,0.0383861840440487,40.0,0.013464503305443687,0.35076430858542684,45.0,0.024790589926033002,0.6458206394671959,False,False
45,lb_45,ann_return_full,0.024790589926033002,42.0,0.0383861840440487,1.548417530949465,50.0,-0.007985591131106307,-0.32212186781083846,False,False
50,lb_50,ann_return_full,-0.007985591131106307,45.0,0.024790589926033002,,55.0,0.008274210682145622,,False,False
55,lb_55,ann_return_full,0.008274210682145622,50.0,-0.007985591131106307,-0.9651181771740345,60.0,-0.0032290680088147283,-0.39025692393626416,False,False
60,lb_60,ann_return_full,-0.0032290680088147283,55.0,0.008274210682145622,,65.0,0.008958080634724919,,False,False
65,lb_65,ann_return_full,0.008958080634724919,60.0,-0.0032290680088147283,-0.3604642713638495,70.0,-0.011609572871283502,-1.2959888780505495,False,False
70,lb_70,ann_return_full,-0.011609572871283502,65.0,0.008958080634724919,,75.0,0.01044970025461267,,False,False
75,lb_75,ann_return_full,0.01044970025461267,70.0,-0.011609572871283502,-1.1109957786740194,80.0,0.05736703602754689,5.4898259882836475,False,False
80,lb_80,ann_return_full,0.05736703602754689,75.0,0.01044970025461267,0.1821551360888658,85.0,0.04437434964903186,0.7735165126488998,False,False
85,lb_85,ann_return_full,0.04437434964903186,80.0,0.05736703602754689,1.2927972236500935,90.0,0.046961045519529065,1.0582925922510649,True,False
90,lb_90,ann_return_full,0.046961045519529065,85.0,0.04437434964903186,0.9449182648750546,,,,False,True
