candidate,segment,start,end,rows,ann_return,ann_vol,max_dd,sharpe_repo,total,trades,cost_sum,turnover_sum,cash_days,half_position_days,overheat_days,avg_final_exposure,max_final_exposure,scan_family,cap_159915.SZ,cap_159941.SZ,cap_513030.SH,cap_513520.SH,cap_159985.SZ,cap_518880.SH
baseline_all_cap_5,full,2011-12-09,2026-05-15,3501,0.3403007411137349,0.2431575568051414,-0.2813236162531625,1.3261168063078992,57.50632171310665,1991,0.7476849803630458,747.6849803630457,740,584,30,0.8926791720421778,1.5,baseline,5.0,5.0,5.0,5.0,5.0,5.0
baseline_all_cap_5,from_2020,2020-01-02,2026-05-15,1540,0.5932200361031534,0.26192745528956507,-0.18054057908721044,1.9095598116288215,16.223826447401574,1274,0.40952671239429345,409.52671239429344,113,346,18,0.9532809632773771,1.5,baseline,5.0,5.0,5.0,5.0,5.0,5.0
baseline_all_cap_5,last_10y,2016-05-16,2026-05-15,2427,0.3926159061906629,0.24769951928438352,-0.18054057908721055,1.4610274991917909,23.279117405573842,1582,0.5963003938091085,596.3003938091084,224,478,20,1.0299350032703798,1.5,baseline,5.0,5.0,5.0,5.0,5.0,5.0
baseline_all_cap_5,last_5y,2021-05-17,2026-05-15,1211,0.6615785770724687,0.2561475759488577,-0.18054057908721055,2.1102687392951776,10.47427779269982,960,0.3205100108849252,320.5100108849252,96,245,18,0.9876341916167911,1.5,baseline,5.0,5.0,5.0,5.0,5.0,5.0
baseline_all_cap_5,last_3y,2023-05-15,2026-05-15,727,1.0056575562621899,0.2673731639518687,-0.16550599700214552,2.7374492597054023,6.447093960006493,614,0.18925830495525067,189.2583049552507,53,164,8,0.9270633264631413,1.5,baseline,5.0,5.0,5.0,5.0,5.0,5.0
baseline_all_cap_5,last_1y,2025-05-15,2026-05-15,243,0.9637777319201237,0.25052223051899525,-0.12751321964343498,2.8212676317378276,0.9170116308325889,214,0.071618542769007,71.61854276900701,18,64,4,0.9478664529447356,1.5,baseline,5.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_3,full,2011-12-09,2026-05-15,3501,0.29748751908361926,0.23729675894738378,-0.3221528814752642,1.2161735649572505,36.26717272606056,1851,0.8081134904170726,808.1134904170726,798,595,12,0.9116962362258181,1.5,single_159915.SZ,3.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_3,from_2020,2020-01-02,2026-05-15,1540,0.5954210771180362,0.26072739598886413,-0.19255554544930165,1.9223519189178062,16.36975345407871,1222,0.4588604093635067,458.8604093635067,123,350,12,0.9942552243721486,1.5,single_159915.SZ,3.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_3,last_10y,2016-05-16,2026-05-15,2427,0.39536710416092835,0.24672866577276648,-0.19255554544930154,1.4737452615388398,23.74502308958326,1540,0.6489355119334226,648.9355119334225,237,485,12,1.0546865944670871,1.5,single_159915.SZ,3.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_3,last_5y,2021-05-17,2026-05-15,1211,0.6424325566655851,0.2575697210434074,-0.19255554544930154,2.055180581940391,9.852689295417864,909,0.3504642161269912,350.4642161269912,106,249,12,1.0282462656876379,1.5,single_159915.SZ,3.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_3,last_3y,2023-05-15,2026-05-15,727,0.9743962874822933,0.2676089499630778,-0.1644589995445136,2.6767981641633742,6.117124820649589,589,0.20605018983076662,206.0501898307666,53,162,2,0.9931159953247266,1.5,single_159915.SZ,3.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_3,last_1y,2025-05-15,2026-05-15,243,0.9802367097621796,0.2586101751593632,-0.13474097465368384,2.772857214471985,0.9325025145369845,187,0.072774410742274,72.774410742274,18,60,0,0.9953863599783093,1.5,single_159915.SZ,3.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_4,full,2011-12-09,2026-05-15,3501,0.3097332028749722,0.24073167694845327,-0.29195890694969295,1.2411779181393974,41.46238850553019,1951,0.7654449925441474,765.4449925441473,767,588,23,0.8993164476440267,1.5,single_159915.SZ,4.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_4,from_2020,2020-01-02,2026-05-15,1540,0.5467558387859046,0.2631792516476498,-0.18054057908720977,1.7890633456621405,13.373993603313599,1263,0.42138261983248304,421.3826198324831,118,344,17,0.9685412866621512,1.5,single_159915.SZ,4.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_4,last_10y,2016-05-16,2026-05-15,2427,0.36277488646267586,0.2486944936682538,-0.18054057908720977,1.3689708985221654,18.707535376730863,1573,0.608332405872438,608.3324058724379,229,476,17,1.0408505949009257,1.5,single_159915.SZ,4.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_4,last_5y,2021-05-17,2026-05-15,1211,0.6285791422464966,0.25763014695548575,-0.18054057908720988,2.021551848512794,9.419797621505715,950,0.32709592405987364,327.0959240598737,101,247,17,0.9990404002434102,1.5,single_159915.SZ,4.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_4,last_3y,2023-05-15,2026-05-15,727,0.9462770768894799,0.2688734707984617,-0.1655059970021452,2.611553683195188,5.828613199973254,614,0.19484951893631547,194.84951893631543,53,165,7,0.947670166961373,1.5,single_159915.SZ,4.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_4,last_1y,2025-05-15,2026-05-15,243,0.8179316239824896,0.2555335653420362,-0.13907975413976126,2.4679791981494454,0.7795365725187353,214,0.07265933535487609,72.65933535487609,18,60,3,0.9997877176784219,1.5,single_159915.SZ,4.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_5,full,2011-12-09,2026-05-15,3501,0.3403007411137349,0.2431575568051414,-0.2813236162531625,1.3261168063078992,57.50632171310665,1991,0.7476849803630458,747.6849803630457,740,584,30,0.8926791720421778,1.5,single_159915.SZ,5.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_5,from_2020,2020-01-02,2026-05-15,1540,0.5932200361031534,0.26192745528956507,-0.18054057908721044,1.9095598116288215,16.223826447401574,1274,0.40952671239429345,409.52671239429344,113,346,18,0.9532809632773771,1.5,single_159915.SZ,5.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_5,last_10y,2016-05-16,2026-05-15,2427,0.3926159061906629,0.24769951928438352,-0.18054057908721055,1.4610274991917909,23.279117405573842,1582,0.5963003938091085,596.3003938091084,224,478,20,1.0299350032703798,1.5,single_159915.SZ,5.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_5,last_5y,2021-05-17,2026-05-15,1211,0.6615785770724687,0.2561475759488577,-0.18054057908721055,2.1102687392951776,10.47427779269982,960,0.3205100108849252,320.5100108849252,96,245,18,0.9876341916167911,1.5,single_159915.SZ,5.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_5,last_3y,2023-05-15,2026-05-15,727,1.0056575562621899,0.2673731639518687,-0.16550599700214552,2.7374492597054023,6.447093960006493,614,0.18925830495525067,189.2583049552507,53,164,8,0.9270633264631413,1.5,single_159915.SZ,5.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_5,last_1y,2025-05-15,2026-05-15,243,0.9637777319201237,0.25052223051899525,-0.12751321964343498,2.8212676317378276,0.9170116308325889,214,0.071618542769007,71.61854276900701,18,64,4,0.9478664529447356,1.5,single_159915.SZ,5.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_6,full,2011-12-09,2026-05-15,3501,0.3476663587958291,0.24415720517849354,-0.27342351928152986,1.3441767208328075,62.134914459705634,2013,0.7389697187644295,738.9697187644294,729,577,34,0.8905070605926781,1.5,single_159915.SZ,6.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_6,from_2020,2020-01-02,2026-05-15,1540,0.5977616314644292,0.2617620339275329,-0.18054057908721044,1.9214904680458886,16.52606306379922,1274,0.40818543913263816,408.1854391326382,111,339,21,0.9515006038078774,1.5,single_159915.SZ,6.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_6,last_10y,2016-05-16,2026-05-15,2427,0.3963233258591883,0.24834379594136843,-0.1821640444508078,1.468578554605503,23.908822336846676,1598,0.588989570578967,588.9895705789669,222,468,23,1.0287732267919765,1.5,single_159915.SZ,6.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_6,last_5y,2021-05-17,2026-05-15,1211,0.6705230701504654,0.2560357049953074,-0.18054057908721044,2.132115353566493,10.774160786551404,960,0.31881242247649116,318.8124224764912,94,241,21,0.9840610320022919,1.5,single_159915.SZ,6.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_6,last_3y,2023-05-15,2026-05-15,727,0.9995851441189896,0.267499577523129,-0.1655059970021453,2.724948276137833,6.382232716851134,612,0.18787006954119184,187.87006954119187,53,159,11,0.921071714243892,1.5,single_159915.SZ,6.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_6,last_1y,2025-05-15,2026-05-15,243,0.946043401987487,0.25092165231589625,-0.12250202215852124,2.781031675982069,0.9003152176831375,212,0.07023030735494822,70.23030735494822,18,59,7,0.9299409299678053,1.5,single_159915.SZ,6.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_7,full,2011-12-09,2026-05-15,3501,0.3685568522450835,0.24474704213111806,-0.24946557545371872,1.4043454789384082,77.17721918885302,2029,0.7175680126862383,717.5680126862381,709,560,45,0.8902556467000834,1.5,single_159915.SZ,7.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_7,from_2020,2020-01-02,2026-05-15,1540,0.6237027244554778,0.2611943751991351,-0.18054057908721022,1.986845552275112,18.338764717292275,1273,0.4004622019897196,400.46220198971963,108,335,26,0.9480684159494069,1.5,single_159915.SZ,7.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_7,last_10y,2016-05-16,2026-05-15,2427,0.41156189388563025,0.2471494590894626,-0.18216404445080747,1.5184066981951625,26.653675122529446,1597,0.5800201242210649,580.020124221065,219,464,29,1.0240426765740185,1.5,single_159915.SZ,7.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_7,last_5y,2021-05-17,2026-05-15,1211,0.6860925382986067,0.2558024863198098,-0.18054057908721022,2.170166355864774,11.31093967499096,959,0.31875492582434106,318.75492582434106,91,244,25,0.9816876046970505,1.5,single_159915.SZ,7.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_7,last_3y,2023-05-15,2026-05-15,727,1.0224527983444092,0.26726837992698244,-0.1655059970021453,2.7697344180594725,6.628425197844408,608,0.18814134317866366,188.14134317866365,53,162,15,0.9142911499291352,1.5,single_159915.SZ,7.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_7,last_1y,2025-05-15,2026-05-15,243,1.0133874391220483,0.2501941555937642,-0.12369713665766424,2.924718537868782,0.9636894482249037,208,0.07050158099242004,70.50158099242003,18,62,11,0.9096550441372362,1.5,single_159915.SZ,7.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_8,full,2011-12-09,2026-05-15,3501,0.381319364930947,0.24624378545462006,-0.24946557545371828,1.4348878962010136,87.93769986647138,2107,0.7067837697485528,706.7837697485527,692,557,56,0.8844327828263359,1.5,single_159915.SZ,8.0,5.0,5.0,5.0,5.0,5.0
single_159915_SZ_cap_8,from_2020,2020-01-02,2026-05-15,1540,0.6124263085219501,0.2604235266073651,-0.18054057908721088,1.9651498728064318,17.532438718633756,1270,0.3935518668108342,393.5518668108341,106,330,32,0.9409918659286204,1.5,single_159915.SZ,8.0,5.0,5.0,5.0,5.0,5.0
