candidate,segment,start,end,rows,ann_return,ann_vol,max_dd,sharpe_repo,total,trades,cost_sum,turnover_sum,cash_days,half_position_days,overheat_days,avg_final_exposure,max_final_exposure,scan_family,cap_159915.SZ,cap_159941.SZ,cap_513030.SH,cap_513520.SH,cap_159985.SZ,cap_518880.SH
focus_inf_15_soy_5,full,2011-12-09,2026-05-15,3501,0.38830619038927905,0.2409893716507425,-0.24946557545371817,1.4819427641922156,94.39538484665928,2069,0.6228528130805745,622.8528130805745,661,482,151,0.8456868623059045,1.5,supplemental_3d,inf,5.0,15,5.0,5,5.0
focus_inf_15_soy_5,from_2020,2020-01-02,2026-05-15,1540,0.6176413885199641,0.2511286660743942,-0.18054057908721055,2.0411710941225003,17.90177719731095,1248,0.35004983384713595,350.0498338471359,105,289,68,0.9000601649631502,1.5,supplemental_3d,inf,5.0,15,5.0,5,5.0
focus_inf_15_soy_5,last_10y,2016-05-16,2026-05-15,2427,0.4290589998311365,0.24101247071615223,-0.1821640444508077,1.6018346110505346,30.13728210264265,1630,0.5169063137343037,516.9063137343038,213,411,83,0.9757442418393606,1.5,supplemental_3d,inf,5.0,15,5.0,5,5.0
focus_inf_15_soy_5,last_5y,2021-05-17,2026-05-15,1211,0.6495548470804733,0.25006189251873967,-0.18054057908721055,2.1264036080426494,10.08072157004471,942,0.2767876243714161,276.7876243714161,88,212,56,0.9260810242674031,1.5,supplemental_3d,inf,5.0,15,5.0,5,5.0
focus_inf_15_soy_5,last_3y,2023-05-15,2026-05-15,727,0.9524824255664452,0.2583329061677102,-0.16550599700214508,2.7197646130447755,5.891611984015268,591,0.15865601007808186,158.65601007808186,52,144,46,0.8171207858299077,1.5,supplemental_3d,inf,5.0,15,5.0,5,5.0
focus_inf_15_soy_5,last_1y,2025-05-15,2026-05-15,243,0.9574486391268071,0.23594589424498585,-0.09548596305335022,2.9667906689815537,0.9110535740987702,207,0.05491804652648495,54.91804652648496,17,50,24,0.7678138893828699,1.4379937903918514,supplemental_3d,inf,5.0,15,5.0,5,5.0
focus_inf_15_soy_6,full,2011-12-09,2026-05-15,3501,0.38412877246325183,0.241018214527277,-0.24946557545371817,1.4692866931286703,90.4839481769901,2070,0.621278785293429,621.2787852934289,660,477,151,0.8476346516583071,1.5,supplemental_3d,inf,5.0,15,5.0,6,5.0
focus_inf_15_soy_6,from_2020,2020-01-02,2026-05-15,1540,0.6065969481063955,0.25120817040718224,-0.180540579087211,2.013306993096777,17.12675957386595,1249,0.34847580605999035,348.47580605999036,104,284,68,0.9044882237441642,1.5,supplemental_3d,inf,5.0,15,5.0,6,5.0
focus_inf_15_soy_6,last_10y,2016-05-16,2026-05-15,2427,0.42286022645317334,0.24105609075676016,-0.1821640444508077,1.5835467496449365,28.860579805085166,1631,0.5153322859471582,515.3322859471582,212,406,83,0.9785539701140871,1.5,supplemental_3d,inf,5.0,15,5.0,6,5.0
focus_inf_15_soy_6,last_5y,2021-05-17,2026-05-15,1211,0.6579376994157533,0.2501556298526314,-0.18054057908721088,2.146004008767431,10.353956260218359,943,0.2732104688479373,273.2104688479373,87,207,56,0.9291000215256762,1.5,supplemental_3d,inf,5.0,15,5.0,6,5.0
