result_status,result_note,version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure
unclassified,,selected_research,cap_5,Full,2011-12-09,2026-09-02,3578,40.60566785203356,0.30028206143548664,-0.22006724591954274,1.3283759486146958,0.21500325265093667,1153,0,0,0,0,0,0,0,388,0.591,591.0,0.6774734488541084,0.6774734488541084,1.0
unclassified,,selected_research,cap_5,10Y,2016-04-21,2026-09-02,2520,17.626900196151666,0.33972005546018047,-0.1741502646232026,1.4251329687053522,0.22248270857605135,552,0,0,0,0,0,0,0,315,0.499,499.0,0.7805555555555556,0.7805555555555556,1.0
unclassified,,selected_research,cap_5,5Y,2021-06-25,2026-09-02,1260,7.37867741889667,0.5298015409997416,-0.1707205051303593,1.8107096343355567,0.25217069225571953,219,0,0,0,0,0,0,0,162,0.266,266.0,0.8261904761904761,0.8261904761904761,1.0
unclassified,,selected_research,cap_5,3Y,2023-07-24,2026-09-02,756,3.6998172379435497,0.6750469713351757,-0.15044599600423436,1.9777142028637962,0.2805051035196475,107,0,0,0,0,0,0,0,108,0.18000000000000002,180.0,0.8584656084656085,0.8584656084656085,1.0
unclassified,,selected_research,cap_5,1Y,2025-08-20,2026-09-02,252,0.5985510840115826,0.5985510840115826,-0.1377428361092673,1.7132072473414215,0.30028046033984523,48,0,0,0,0,0,0,0,47,0.07600000000000001,76.0,0.8095238095238095,0.8095238095238095,1.0
unclassified,,selected_research,cap_5p5,Full,2011-12-09,2026-09-02,3578,43.18251688347543,0.30579698250879606,-0.22006724591954296,1.3405084083887353,0.21645402832078992,1145,0,0,0,0,0,0,0,375,0.569,569.0,0.6797093348239239,0.6797093348239239,1.0
unclassified,,selected_research,cap_5p5,10Y,2016-04-21,2026-09-02,2520,19.656798524157963,0.3536497312133964,-0.16309804295217523,1.4633116546373284,0.22398610830496826,547,0,0,0,0,0,0,0,304,0.47900000000000004,479.0,0.7825396825396825,0.7825396825396825,1.0
unclassified,,selected_research,cap_5p5,5Y,2021-06-25,2026-09-02,1260,7.861471205536532,0.5470386578978854,-0.15962238350856595,1.844478216251348,0.2538776941116274,214,0,0,0,0,0,0,0,152,0.24800000000000003,248.0,0.8301587301587302,0.8301587301587302,1.0
unclassified,,selected_research,cap_5p5,3Y,2023-07-24,2026-09-02,756,3.837503138589475,0.69124718443817,-0.1433795586170049,1.995016559501891,0.28331073572793714,103,0,0,0,0,0,0,0,103,0.17200000000000001,172.0,0.8637566137566137,0.8637566137566137,1.0
unclassified,,selected_research,cap_5p5,1Y,2025-08-20,2026-09-02,252,0.6938076376977635,0.6938076376977635,-0.13425567972398955,1.90453363259385,0.3005991226640197,45,0,0,0,0,0,0,0,45,0.07200000000000001,72.0,0.8214285714285714,0.8214285714285714,1.0
