window,baseline_ann,baseline_mdd,selected_ann,selected_mdd,ann_delta_pp,mdd_improvement_pp
Full,0.30028206143548664,-0.22006724591954274,0.30579698250879606,-0.22006724591954296,0.551492107330942,-2.220446049250313e-14
10Y,0.33972005546018047,-0.1741502646232026,0.3536497312133964,-0.16309804295217523,1.3929675753215909,1.1052221671027374
5Y,0.5298015409997416,-0.1707205051303593,0.5470386578978854,-0.15962238350856595,1.7237116898143778,1.1098121621793355
3Y,0.6750469713351757,-0.15044599600423436,0.69124718443817,-0.1433795586170049,1.6200213102994354,0.7066437387229452
1Y,0.5985510840115826,-0.1377428361092673,0.6938076376977635,-0.13425567972398955,9.525655368618091,0.34871563852777454
