"alias","source","archived_to"
"cn_switch_coarse","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\quant_param_scan_runs\20260516_subd_cn_gold_nasdaq_v11_defaults_nohalf_nooverheat_rawscore_cn_159941_518880_switch_buffer_coarse","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\docs\gn_20260516\artifacts\scans\cn_switch_coarse"
"us_r2_tv","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\quant_param_scan_runs\20260516_subd_us_nasdaq_gold_raw_momentum_r2_us_qqq_gld_r2_threshold_target_vol","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\docs\gn_20260516\artifacts\scans\us_r2_tv"
"us_switch_frictionless_raw","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\quant_param_scan_runs\20260516_subd_us_nasdaq_gold_raw_momentum_r2_0p30_tv25_vw20_us_qqq_gld_switch_buffer","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\docs\gn_20260516\artifacts\scans\us_switch_frictionless_raw"
"us_r2_raw","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\quant_param_scan_runs\20260516_subd_us_nasdaq_gold_raw_momentum_us_qqq_gld_r2_threshold","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\docs\gn_20260516\artifacts\scans\us_r2_raw"
"us_r2_03_tv_grid","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\quant_param_scan_runs\20260516_subd_us_nasdaq_gold_raw_momentum_r2_0p30_us_qqq_gld_target_vol_window","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\docs\gn_20260516\artifacts\scans\us_r2_03_tv_grid"
"us_switch_cost_score0to5","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\quant_param_scan_runs\20260516_subd_us_nasdaq_gold_raw_momentum_r2_0p30_tv25_vw20_cost001_score0to5_us_qqq_gld_switch_buffer","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\docs\gn_20260516\artifacts\scans\us_switch_cost_score0to5"
"us_switch_cost_raw","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\quant_param_scan_runs\20260516_subd_us_nasdaq_gold_raw_momentum_r2_0p30_tv25_vw20_cost001_raw_score_us_qqq_gld_switch_buffer","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\docs\gn_20260516\artifacts\scans\us_switch_cost_raw"
"us_r2_02_tv_grid","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\quant_param_scan_runs\20260516_subd_us_nasdaq_gold_raw_momentum_r2_0p20_us_qqq_gld_target_vol_window","C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\美股A股混合池子动量策略\docs\gn_20260516\artifacts\scans\us_r2_02_tv_grid"
