candidate,date,switch_buffer,position_before,position,best_candidate,best_score,current_score,buffer_blocked
switch_1.00,2015-07-13,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-14,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-15,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-16,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-17,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-20,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-21,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-22,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-23,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-24,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-27,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-28,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-29,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-30,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-07-31,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-03,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-04,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-05,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-06,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-07,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-10,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-11,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-12,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-13,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-14,1.0,CASH,CASH,CASH,,,False
switch_1.00,2015-08-17,1.0,CASH,518880.SH,518880.SH,0.6780488457770126,,False
switch_1.00,2015-08-18,1.0,518880.SH,518880.SH,518880.SH,0.9288973654211219,0.9288973654211219,False
switch_1.00,2015-08-19,1.0,518880.SH,518880.SH,518880.SH,1.1749819213416375,1.1749819213416375,False
switch_1.00,2015-08-20,1.0,518880.SH,518880.SH,518880.SH,1.5277563446888176,1.5277563446888176,False
switch_1.00,2015-08-21,1.0,518880.SH,518880.SH,518880.SH,2.0406058639575684,2.0406058639575684,False
switch_1.00,2015-08-24,1.0,518880.SH,518880.SH,518880.SH,2.397239786715635,2.397239786715635,False
switch_1.00,2015-08-25,1.0,518880.SH,518880.SH,518880.SH,2.5485981661621957,2.5485981661621957,False
switch_1.00,2015-08-26,1.0,518880.SH,518880.SH,518880.SH,2.4590743162655846,2.4590743162655846,False
switch_1.00,2015-08-27,1.0,518880.SH,518880.SH,518880.SH,2.1370339369846376,2.1370339369846376,False
switch_1.00,2015-08-28,1.0,518880.SH,518880.SH,518880.SH,1.8673153266164806,1.8673153266164806,False
switch_1.00,2015-08-31,1.0,518880.SH,518880.SH,518880.SH,1.624660107005397,1.624660107005397,False
switch_1.00,2015-09-01,1.0,518880.SH,518880.SH,518880.SH,1.4369572704033708,1.4369572704033708,False
switch_1.00,2015-09-02,1.0,518880.SH,518880.SH,518880.SH,1.2242466757927137,1.2242466757927137,False
switch_1.00,2015-09-07,1.0,518880.SH,518880.SH,518880.SH,0.8763350431170389,0.8763350431170389,False
switch_1.00,2015-09-08,1.0,518880.SH,518880.SH,518880.SH,0.5669784197339043,0.5669784197339043,False
switch_1.00,2015-09-09,1.0,518880.SH,159941.SZ,159941.SZ,-0.7200378540071846,,False
