candidate,SWITCH_BUFFER,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,segment,start,end,rows,ann_return,max_dd,sharpe_repo,ann_vol,total_return,asset_switches,cash_days,holding_day_ratio,trades,turnover_sum,cost_total,avg_weight,max_weight,buffer_blocked_days,maxdd_start,maxdd_trough
switch_1.00,1.0,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.2721726028883136,-0.2626974934570795,1.1303701765068737,0.23823275861211507,11.357348396453943,122,240,0.9088145896656535,1234.0,496.93807045643894,0.4969380704564389,1.2043454934700124,1.5,0,2022-09-13,2022-12-29
switch_1.00,1.0,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.29021784451914834,-0.2626974934570794,1.1752542440347906,0.24187858775159418,11.782930910377555,119,204,0.919047619047619,1220.0,476.4380704564388,0.47643807045643893,1.2221576741321716,1.5,0,2022-09-13,2022-12-29
switch_1.00,1.0,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.34156749794252383,-0.2626974934570794,1.290589983585899,0.25260497065102205,3.3457290033357188,69,93,0.9261904761904762,789.0,264.76476046477626,0.26476476046477626,1.2148260486717373,1.5,0,2022-09-13,2022-12-29
switch_1.00,1.0,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.5330625751151967,-0.20533817822399747,1.776070281183709,0.259873178243446,2.6031276262779897,34,42,0.9444444444444444,473.0,121.69175770765987,0.12169175770765989,1.1987883991193056,1.5,0,2024-07-11,2024-08-05
switch_1.00,1.0,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.6239735746933899,-0.19420906565125584,1.9581019827735806,0.26600569067394764,0.6239735746933899,9,15,0.9404761904761905,212.0,25.316272314647065,0.025316272314647066,1.0132547472479283,1.5,0,2025-10-17,2025-11-21
switch_1.05,1.05,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.2650944006349898,-0.26269749345708004,1.1066962060457013,0.2382964471797491,10.65781893618771,122,240,0.9088145896656535,1243.0,496.71500542619265,0.49671500542619257,1.203174635616546,1.5,5,2022-09-13,2022-12-29
switch_1.05,1.05,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.28272112051642306,-0.26269749345708004,1.1508866690029087,0.2419455213250184,11.059309913908525,119,204,0.919047619047619,1229.0,476.2150054261926,0.47621500542619255,1.2209347781518844,1.5,5,2022-09-13,2022-12-29
switch_1.05,1.05,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.3233737109798802,-0.26269749345708004,1.2363129546022311,0.25264541132912466,3.0589389139227956,69,93,0.9261904761904762,798.0,264.5279101997202,0.2645279101997202,1.2122741181774823,1.5,2,2022-09-13,2022-12-29
switch_1.05,1.05,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.4985681801926991,-0.20533817822399802,1.6877381453510893,0.2599842161523872,2.365344438851157,34,42,0.9444444444444444,482.0,121.45490744260384,0.12145490744260386,1.19453518162888,1.5,2,2024-07-11,2024-08-05
switch_1.05,1.05,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.5798218944478795,-0.19420906565125617,1.8546924428959335,0.2659370816399632,0.5798218944478795,9,15,0.9404761904761905,212.0,25.265406659663928,0.025265406659663925,1.0114295272534921,1.5,1,2025-10-17,2025-11-21
switch_1.10,1.1,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.26047367102734187,-0.2626974934570796,1.0914602058880387,0.2382607159033715,10.220687422526096,122,240,0.9088145896656535,1233.0,496.80005801126555,0.4968000580112656,1.2037383573127125,1.5,15,2022-09-13,2022-12-29
switch_1.10,1.1,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.28064584940650095,-0.2626974934570797,1.1442534492447922,0.24192963253124264,10.86562073834158,119,204,0.919047619047619,1219.0,476.3000580112655,0.4763000580112655,1.2215235541456584,1.5,14,2022-09-13,2022-12-29
switch_1.10,1.1,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.33497532113043027,-0.2626974934570796,1.2714328275929854,0.25251378569466165,3.240003217905741,69,93,0.9261904761904762,788.0,264.58825832222664,0.26458825832222665,1.2128341518840693,1.5,6,2022-09-13,2022-12-29
switch_1.10,1.1,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.5127815376763187,-0.19474584897334202,1.7237128030543956,0.26005534631208616,2.462012622079803,34,42,0.9444444444444444,473.0,121.5325561046713,0.1215325561046713,1.1949901603945594,1.5,5,2024-07-11,2024-08-05
switch_1.10,1.1,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.5798218944478801,-0.19420906565125584,1.8546924428959313,0.2659370816399628,0.5798218944478801,9,15,0.9404761904761905,212.0,25.265406659663913,0.025265406659663914,1.011429527253492,1.5,1,2025-10-17,2025-11-21
switch_1.20,1.2,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.2616154763198062,-0.2626974934570794,1.0953794739874536,0.23822834448641467,10.327303230291111,120,240,0.9088145896656535,1232.0,493.3614179024857,0.4933614179024857,1.2038458118473185,1.5,22,2022-09-13,2022-12-29
switch_1.20,1.2,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.28185751117108815,-0.26269749345707927,1.148291016940699,0.24189607655561854,10.978364520608604,117,204,0.919047619047619,1218.0,472.8614179024857,0.4728614179024857,1.221635784437358,1.5,21,2022-09-13,2022-12-29
switch_1.20,1.2,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.3424606103198309,-0.2626974934570794,1.2938924930205515,0.2524433132532163,3.3602135352340206,67,93,0.9261904761904762,787.0,261.1392469265181,0.26113924692651813,1.2130043649868014,1.5,9,2022-09-13,2022-12-29
switch_1.20,1.2,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.5269407122851237,-0.19474584897334168,1.7603499432761456,0.259924856923041,2.5601354704497963,32,42,0.9444444444444444,472.0,118.07831159478548,0.11807831159478549,1.1952849257561706,1.5,8,2024-07-11,2024-08-05
switch_1.20,1.2,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.5798218944478779,-0.19420906565125562,1.8546924428959266,0.2659370816399628,0.5798218944478779,9,15,0.9404761904761905,212.0,25.26540665966389,0.02526540665966389,1.0114295272534906,1.5,1,2025-10-17,2025-11-21
switch_1.30,1.3,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.25781294551059886,-0.2519990172251896,1.0811726936431079,0.2386568660387653,9.975755061762701,120,240,0.9088145896656535,1262.0,493.3688230845927,0.49336882308459273,1.2030572637310644,1.5,34,2022-09-13,2022-12-29
switch_1.30,1.3,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.277822528135526,-0.2519990172251896,1.1336086923193804,0.24233768906890402,10.606610359571862,117,204,0.919047619047619,1248.0,472.8688230845927,0.4728688230845927,1.2208121897381594,1.5,33,2022-09-13,2022-12-29
switch_1.30,1.3,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.3351562548331568,-0.2519990172251896,1.2719525413274488,0.25251887217069385,3.242877306472195,67,93,0.9261904761904762,795.0,261.39975119656543,0.2613997511965654,1.2131963734079967,1.5,11,2022-09-13,2022-12-29
switch_1.30,1.3,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.5060394754279001,-0.19474584897334235,1.705921476227984,0.26016157442821286,2.4159308181152825,32,42,0.9444444444444444,485.0,118.2878454320776,0.11828784543207761,1.1951593121897959,1.5,9,2024-07-11,2024-08-05
switch_1.30,1.3,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.5798218944478786,-0.19420906565125529,1.8546924428959317,0.265937081639963,0.5798218944478786,9,15,0.9404761904761905,212.0,25.265406659663903,0.025265406659663904,1.011429527253491,1.5,1,2025-10-17,2025-11-21
switch_1.50,1.5,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.24368863103248395,-0.25306182446674796,1.034436524418676,0.23846928414659746,8.75462809660186,120,240,0.9088145896656535,1265.0,493.39859080180554,0.4933985908018056,1.2028857850224406,1.5,49,2022-09-13,2022-12-29
switch_1.50,1.5,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.26283954032653356,-0.25306182446674796,1.0855504752755651,0.24214793715654115,9.315296476888316,117,204,0.919047619047619,1251.0,472.89859080180554,0.47289859080180563,1.2206330897535964,1.5,48,2022-09-13,2022-12-29
