candidate,SWITCH_BUFFER,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,trades_full,trades_last_10y,trades_last_1y,trades_last_3y,trades_last_5y,asset_switches_full,asset_switches_last_10y,asset_switches_last_1y,asset_switches_last_3y,asset_switches_last_5y,buffer_blocked_days_full,buffer_blocked_days_last_10y,buffer_blocked_days_last_1y,buffer_blocked_days_last_3y,buffer_blocked_days_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,decision_hint,stability_label
switch_1.00,1.0,0.2,0.25,80,1.5,0.2721726028883136,0.29021784451914834,0.6239735746933899,0.5330625751151967,0.34156749794252383,-0.2626974934570795,-0.2626974934570794,-0.19420906565125584,-0.20533817822399747,-0.2626974934570794,1.1303701765068737,1.1752542440347906,1.9581019827735806,1.776070281183709,1.290589983585899,0.23823275861211507,0.24187858775159418,0.26600569067394764,0.259873178243446,0.25260497065102205,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.2043454934700124,1.2221576741321716,1.0132547472479283,1.1987883991193056,1.2148260486717373,1.5,1.5,1.5,1.5,1.5,1234.0,1220.0,212.0,473.0,789.0,122,119,9,34,69,0,0,0,0,0,0.4969380704564389,0.47643807045643893,0.025316272314647066,0.12169175770765989,0.26476476046477626,coarse_scan,pending
switch_1.05,1.05,0.2,0.25,80,1.5,0.2650944006349898,0.28272112051642306,0.5798218944478795,0.4985681801926991,0.3233737109798802,-0.26269749345708004,-0.26269749345708004,-0.19420906565125617,-0.20533817822399802,-0.26269749345708004,1.1066962060457013,1.1508866690029087,1.8546924428959335,1.6877381453510893,1.2363129546022311,0.2382964471797491,0.2419455213250184,0.2659370816399632,0.2599842161523872,0.25264541132912466,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.203174635616546,1.2209347781518844,1.0114295272534921,1.19453518162888,1.2122741181774823,1.5,1.5,1.5,1.5,1.5,1243.0,1229.0,212.0,482.0,798.0,122,119,9,34,69,5,5,1,2,2,0.49671500542619257,0.47621500542619255,0.025265406659663925,0.12145490744260386,0.2645279101997202,coarse_scan,pending
switch_1.10,1.1,0.2,0.25,80,1.5,0.26047367102734187,0.28064584940650095,0.5798218944478801,0.5127815376763187,0.33497532113043027,-0.2626974934570796,-0.2626974934570797,-0.19420906565125584,-0.19474584897334202,-0.2626974934570796,1.0914602058880387,1.1442534492447922,1.8546924428959313,1.7237128030543956,1.2714328275929854,0.2382607159033715,0.24192963253124264,0.2659370816399628,0.26005534631208616,0.25251378569466165,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.2037383573127125,1.2215235541456584,1.011429527253492,1.1949901603945594,1.2128341518840693,1.5,1.5,1.5,1.5,1.5,1233.0,1219.0,212.0,473.0,788.0,122,119,9,34,69,15,14,1,5,6,0.4968000580112656,0.4763000580112655,0.025265406659663914,0.1215325561046713,0.26458825832222665,coarse_scan,pending
switch_1.20,1.2,0.2,0.25,80,1.5,0.2616154763198062,0.28185751117108815,0.5798218944478779,0.5269407122851237,0.3424606103198309,-0.2626974934570794,-0.26269749345707927,-0.19420906565125562,-0.19474584897334168,-0.2626974934570794,1.0953794739874536,1.148291016940699,1.8546924428959266,1.7603499432761456,1.2938924930205515,0.23822834448641467,0.24189607655561854,0.2659370816399628,0.259924856923041,0.2524433132532163,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.2038458118473185,1.221635784437358,1.0114295272534906,1.1952849257561706,1.2130043649868014,1.5,1.5,1.5,1.5,1.5,1232.0,1218.0,212.0,472.0,787.0,120,117,9,32,67,22,21,1,8,9,0.4933614179024857,0.4728614179024857,0.02526540665966389,0.11807831159478549,0.26113924692651813,coarse_scan,pending
switch_1.30,1.3,0.2,0.25,80,1.5,0.25781294551059886,0.277822528135526,0.5798218944478786,0.5060394754279001,0.3351562548331568,-0.2519990172251896,-0.2519990172251896,-0.19420906565125529,-0.19474584897334235,-0.2519990172251896,1.0811726936431079,1.1336086923193804,1.8546924428959317,1.705921476227984,1.2719525413274488,0.2386568660387653,0.24233768906890402,0.265937081639963,0.26016157442821286,0.25251887217069385,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.2030572637310644,1.2208121897381594,1.011429527253491,1.1951593121897959,1.2131963734079967,1.5,1.5,1.5,1.5,1.5,1262.0,1248.0,212.0,485.0,795.0,120,117,9,32,67,34,33,1,9,11,0.49336882308459273,0.4728688230845927,0.025265406659663904,0.11828784543207761,0.2613997511965654,coarse_scan,pending
switch_1.50,1.5,0.2,0.25,80,1.5,0.24368863103248395,0.26283954032653356,0.5755201966791756,0.4827024701183418,0.3180273932176254,-0.25306182446674796,-0.25306182446674796,-0.19420906565125562,-0.19474584897334168,-0.25306182446674785,1.034436524418676,1.0855504752755651,1.84459278935635,1.6436364202640925,1.220592128318901,0.23846928414659746,0.24214793715654115,0.2659074781900679,0.2605679292349233,0.2525635057847367,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.2028857850224406,1.2206330897535964,1.0117460011404125,1.1937187964515343,1.2126451972458678,1.5,1.5,1.5,1.5,1.5,1265.0,1251.0,212.0,493.0,801.0,120,117,9,32,67,49,48,2,12,16,0.4933985908018056,0.47289859080180563,0.025270198242941872,0.1182340635262739,0.2614029510501116,coarse_scan,pending
switch_2.00,2.0,0.2,0.25,80,1.5,0.24793071723460303,0.26671018612394914,0.5348016407719902,0.5028774328323551,0.3163454485133328,-0.2590651217748705,-0.2590651217748705,-0.18072300631697724,-0.19612714582179025,-0.2590651217748704,1.0509640450591067,1.1005640534736782,1.743374511047881,1.6978953641223204,1.2198316677432701,0.23781548698552016,0.24148366840275215,0.26637478715707513,0.2601508252962013,0.25144701648117773,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.2033848026589533,1.2211542859517321,1.0105300868210263,1.1937199033439843,1.2140723890688667,1.5,1.5,1.5,1.5,1.5,1239.0,1225.0,212.0,489.0,777.0,116,113,9,30,65,81,79,4,25,34,0.48137679115366566,0.46087679115366564,0.025252418940749366,0.11208239670430925,0.25544595481542864,coarse_scan,pending
switch_2.50,2.5,0.2,0.25,80,1.5,0.2590797947870649,0.2785323517188443,0.5554686415659291,0.5284756126584416,0.3407521296083893,-0.256239470126275,-0.2562394701262751,-0.18072300631697735,-0.19612714582179025,-0.2562394701262751,1.090495757483671,1.1413224381605986,1.7942879252703436,1.7644178293886488,1.2950129284102148,0.23722570306478852,0.24087460394025975,0.2662688207392416,0.2598912918049114,0.250950176051724,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.2050125807073486,1.2228544096911673,1.0108563504253432,1.1942547273892417,1.2173078264608315,1.5,1.5,1.5,1.5,1.5,1221.0,1207.0,212.0,483.0,762.0,113,110,9,29,62,119,117,5,41,55,0.4736118056510526,0.4531118056510526,0.025254927922495753,0.10907643554507626,0.24721455849474747,coarse_scan,pending
switch_3.00,3.0,0.2,0.25,80,1.5,0.2666946711575189,0.28674925827313213,0.5694964593367491,0.5340528832442373,0.34368536171501507,-0.25623947012627524,-0.2562394701262751,-0.18072300631697735,-0.19612714582179036,-0.2562394701262751,1.1143288972626626,1.166218839123005,1.828119400629746,1.778160823268839,1.3035802776237573,0.23765645089044332,0.2413196929705711,0.2662602488047765,0.2599420963098433,0.25098641165242924,0.9088145896656535,0.919047619047619,0.9404761904761905,0.9444444444444444,0.9261904761904762,1.2031944535196832,1.220955476850717,1.0108102134978307,1.1944853653390533,1.217446209230719,1.5,1.5,1.5,1.5,1.5,1235.0,1221.0,212.0,484.0,763.0,111,108,9,29,62,145,142,8,48,62,0.46687904681701725,0.44637904681701734,0.02527475813387637,0.10911392910675854,0.24725205205642986,coarse_scan,pending
