code,name,raw_first,raw_last,raw_rows,adjusted_first,adjusted_last,adjusted_rows,max_abs_raw_daily_return,max_abs_adjusted_daily_return,split_continuity_factor,common_calendar_start,common_calendar_end,common_calendar_rows,dropped_union_calendar_rows_with_any_missing
159915.SZ,CYB100_ETF,2011-12-09,2026-06-17,3523,2011-12-09,2026-06-17,3523,0.19999999999999996,0.19999999999999996,1.0,2019-12-05,2026-06-17,1580,1944
159941.SZ,NASDAQ_ETF,2015-07-13,2026-06-17,2655,2015-07-13,2026-06-17,2655,0.7466442953020134,0.10006373486297004,0.25,2019-12-05,2026-06-17,1580,1944
513030.SH,GERMANY_ETF,2014-09-05,2026-06-17,2859,2014-09-05,2026-06-17,2859,0.10017678255745444,0.10017678255745444,1.0,2019-12-05,2026-06-17,1580,1944
513520.SH,NIKKEI_ETF,2019-06-25,2026-06-17,1693,2019-06-25,2026-06-17,1693,0.09331373989713443,0.09331373989713443,1.0,2019-12-05,2026-06-17,1580,1944
159985.SZ,SOYMEAL_ETF,2019-12-05,2026-06-17,1582,2019-12-05,2026-06-17,1582,0.0888717156105101,0.0888717156105101,1.0,2019-12-05,2026-06-17,1580,1944
518880.SH,GOLD_ETF,2013-07-29,2026-06-17,3132,2013-07-29,2026-06-17,3132,0.10000908347715509,0.10000908347715509,1.0,2019-12-05,2026-06-17,1580,1944
