candidate,segment,r2_threshold,switch_buffer,r2_enabled,buffer_enabled,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,held_day_avg_weight,holding_days,holding_day_ratio,avg_turnover,turnover_total,cost_total,trade_days,buffer_blocked_days
r2_off_buffer_1.00,full,off,1.0,False,False,2011-12-09,2026-09-02,3578,0.2304516411332378,0.24371634664376826,0.9722486786218211,-0.3646693805451159,0.8943543879262158,1.0,3200,0.8943543879262158,0.19312465064281722,691.0,0.691,384,0
r2_off_buffer_1.00,last_10y,off,1.0,False,False,2016-04-21,2026-09-02,2520,0.34170002754532525,0.24090591081288873,1.3398950386378166,-0.21482886172980187,0.975,1.0,2457,0.975,0.22301587301587303,562.0,0.562,293,0
r2_off_buffer_1.00,last_1y,off,1.0,False,False,2025-08-20,2026-09-02,252,0.3335966024152561,0.3138489225670585,1.0743488348190062,-0.17184869163190508,0.9722222222222222,1.0,245,0.9722222222222222,0.3492063492063492,88.0,0.08800000000000001,45,0
r2_off_buffer_1.00,last_3y,off,1.0,False,False,2023-07-24,2026-09-02,756,0.6104951753386827,0.28875082988023815,1.7930810447278684,-0.17184869163190497,0.9642857142857143,1.0,729,0.9642857142857143,0.2619047619047619,198.0,0.198,102,0
r2_off_buffer_1.00,last_5y,off,1.0,False,False,2021-06-25,2026-09-02,1260,0.4839680213198021,0.26626305032071723,1.6141132068788797,-0.21482886172980253,0.9706349206349206,1.0,1223,0.9706349206349206,0.24285714285714285,306.0,0.306,158,0
r2_off_buffer_1.02,full,off,1.02,False,True,2011-12-09,2026-09-02,3578,0.23261885632130808,0.2437244899027757,0.9794507550262678,-0.37075428379369346,0.8943543879262158,1.0,3200,0.8943543879262158,0.1903297931805478,681.0,0.681,379,13
r2_off_buffer_1.02,last_10y,off,1.02,False,True,2016-04-21,2026-09-02,2520,0.3450565781581576,0.24091405288761455,1.3502415124018403,-0.22973801409035133,0.975,1.0,2457,0.975,0.21904761904761905,552.0,0.552,288,13
r2_off_buffer_1.02,last_1y,off,1.02,False,True,2025-08-20,2026-09-02,252,0.33615442848489074,0.31396775402462357,1.080169906339298,-0.1718486916319052,0.9722222222222222,1.0,245,0.9722222222222222,0.3492063492063492,88.0,0.08800000000000001,45,1
r2_off_buffer_1.02,last_3y,off,1.02,False,True,2023-07-24,2026-09-02,756,0.6190190592475033,0.2880052606249139,1.815334263502898,-0.17184869163190508,0.9642857142857143,1.0,729,0.9642857142857143,0.2566137566137566,194.0,0.194,100,4
r2_off_buffer_1.02,last_5y,off,1.02,False,True,2021-06-25,2026-09-02,1260,0.4831324751411459,0.26596440470850635,1.6135025213191156,-0.22973801409035177,0.9706349206349206,1.0,1223,0.9706349206349206,0.2396825396825397,302.0,0.302,156,6
r2_off_buffer_1.03,full,off,1.03,False,True,2011-12-09,2026-09-02,3578,0.23383427377801858,0.24362851653794082,0.9837891211365326,-0.369038343555377,0.8943543879262158,1.0,3200,0.8943543879262158,0.1903297931805478,681.0,0.681,379,19
r2_off_buffer_1.03,last_10y,off,1.03,False,True,2016-04-21,2026-09-02,2520,0.34677335390887154,0.2407696743776672,1.3562104449381538,-0.22973801409035066,0.975,1.0,2457,0.975,0.21904761904761905,552.0,0.552,288,18
r2_off_buffer_1.03,last_1y,off,1.03,False,True,2025-08-20,2026-09-02,252,0.33615442848489097,0.3139677540246235,1.0801699063393007,-0.17184869163190486,0.9722222222222222,1.0,245,0.9722222222222222,0.3492063492063492,88.0,0.08800000000000001,45,1
