date,runner_return,poe_return,runner_nav,poe_nav,abs_return_diff,abs_nav_diff
2011-12-09,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-12,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-13,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-14,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-15,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-16,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-19,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-20,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-21,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-22,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-23,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-26,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-27,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-28,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-29,0.0,0.0,1.0,1.0,0.0,0.0
2011-12-30,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-04,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-05,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-06,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-09,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-10,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-11,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-12,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-13,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-16,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-17,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-18,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-19,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-20,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-30,0.0,0.0,1.0,1.0,0.0,0.0
2012-01-31,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-01,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-02,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-03,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-06,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-07,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-08,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-09,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-10,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-13,0.0,0.0,1.0,1.0,0.0,0.0
2012-02-14,-0.0010000000000000009,-0.0010000000000000009,0.999,0.999,0.0,0.0
