candidate,r2_threshold,switch_buffer,r2_enabled,buffer_enabled,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_base_full,max_dd_delta_vs_base_full,ann_return_delta_vs_current_pair_full,ann_return_delta_vs_base_last_10y,max_dd_delta_vs_base_last_10y,ann_return_delta_vs_current_pair_last_10y,ann_return_delta_vs_base_last_5y,max_dd_delta_vs_base_last_5y,ann_return_delta_vs_current_pair_last_5y,ann_return_delta_vs_base_last_3y,max_dd_delta_vs_base_last_3y,ann_return_delta_vs_current_pair_last_3y,ann_return_delta_vs_base_last_1y,max_dd_delta_vs_base_last_1y,ann_return_delta_vs_current_pair_last_1y,decision_hint,stability_label
r2_off_buffer_1.00,off,1.0,False,False,0.2304516411332378,0.34170002754532525,0.3335966024152561,0.6104951753386827,0.4839680213198021,0.24371634664376826,0.24090591081288873,0.3138489225670585,0.28875082988023815,0.26626305032071723,0.9722486786218211,1.3398950386378166,1.0743488348190062,1.7930810447278684,1.6141132068788797,-0.3646693805451159,-0.21482886172980187,-0.17184869163190508,-0.17184869163190497,-0.21482886172980253,0.19312465064281722,0.22301587301587303,0.3492063492063492,0.2619047619047619,0.24285714285714285,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.691,0.562,0.08800000000000001,0.198,0.306,0.0,0.0,-0.06638794686900606,0.0,0.0,-0.0038005632914894782,0.0,0.0,-0.05044531279318676,0.0,0.0,-0.07525559828601835,0.0,0.0,-0.201520609138647,research_only,pending_review
r2_off_buffer_1.02,off,1.02,False,True,0.23261885632130808,0.3450565781581576,0.33615442848489074,0.6190190592475033,0.4831324751411459,0.2437244899027757,0.24091405288761455,0.31396775402462357,0.2880052606249139,0.26596440470850635,0.9794507550262678,1.3502415124018403,1.080169906339298,1.815334263502898,1.6135025213191156,-0.37075428379369346,-0.22973801409035133,-0.1718486916319052,-0.17184869163190508,-0.22973801409035177,0.1903297931805478,0.21904761904761905,0.3492063492063492,0.2566137566137566,0.2396825396825397,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.681,0.552,0.08800000000000001,0.194,0.302,0.0021672151880702817,-0.006084903248577578,-0.06422073168093578,0.003356550612832354,-0.01490915236054946,-0.0004440126786571241,-0.0008355461786562213,-0.014909152360549238,-0.05128085897184298,0.00852388390882064,-1.1102230246251565e-16,-0.06673171437719772,0.0025578260696346167,-1.1102230246251565e-16,-0.19896278306901238,research_only,pending_review
r2_off_buffer_1.03,off,1.03,False,True,0.23383427377801858,0.34677335390887154,0.33615442848489097,0.6188519479376364,0.4864792574595831,0.24362851653794082,0.2407696743776672,0.3139677540246235,0.28780963680895433,0.26568662681308464,0.9837891211365326,1.3562104449381538,1.0801699063393007,1.816013901275048,1.6234078851775489,-0.369038343555377,-0.22973801409035066,-0.17184869163190486,-0.17184869163190464,-0.22973801409035077,0.1903297931805478,0.21904761904761905,0.3492063492063492,0.2566137566137566,0.2396825396825397,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.681,0.552,0.08800000000000001,0.194,0.302,0.003382632644780781,-0.004368963010261129,-0.06300531422422528,0.005073326363546293,-0.014909152360548794,0.001272763072056815,0.0025112361397809924,-0.014909152360548239,-0.047934076653405766,0.008356772598953732,3.3306690738754696e-16,-0.06689882568706462,0.0025578260696348387,2.220446049250313e-16,-0.19896278306901216,research_only,pending_review
r2_off_buffer_1.05,off,1.05,False,True,0.23323332679386022,0.34524620824017505,0.3404664864121423,0.6258026652291198,0.4912371013729344,0.24351249444861767,0.24060912252844827,0.3138081047632351,0.2877209516573327,0.2656326520046402,0.9821352869614686,1.3522278306417441,1.0908378217675034,1.8314052035614778,1.6357336627768546,-0.3682837048419231,-0.229738014090351,-0.16917606911306893,-0.16917606911306882,-0.22973801409035133,0.18921185019564002,0.21746031746031746,0.3492063492063492,0.2566137566137566,0.2396825396825397,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.677,0.548,0.08800000000000001,0.194,0.302,0.002781685660622424,-0.003614324296807192,-0.06360626120838364,0.0035461806948497987,-0.014909152360549127,-0.00025438259663967955,0.007269080053132315,-0.014909152360548794,-0.04317623274005444,0.015307489890437065,0.002672622518836154,-0.05994810839558129,0.00686988399688615,0.002672622518836154,-0.19465072514176085,research_only,pending_review
r2_off_buffer_1.08,off,1.08,False,True,0.2323059526688116,0.3476404420303789,0.30053506847191924,0.591606793532734,0.4614169225502527,0.24351131234034995,0.24064134511747637,0.3138352568118814,0.2876283433124137,0.2661330779826224,0.9790514525079879,1.3594843881610095,0.9943021412656601,1.7578562820876502,1.5571541100478776,-0.3564365906099184,-0.22973801409035177,-0.16917606911306926,-0.16917606911306882,-0.22973801409035188,0.18418110676355506,0.21031746031746032,0.31746031746031744,0.24074074074074073,0.23015873015873015,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.659,0.53,0.08000000000000002,0.182,0.29,0.001854311535573805,0.008232789935197493,-0.06453363533343226,0.005940414485053669,-0.014909152360549904,0.0021398511935641906,-0.022551098769549416,-0.01490915236054935,-0.07299641156273617,-0.01888838180594865,0.002672622518836154,-0.094143980091967,-0.033061533943336885,0.002672622518835821,-0.23458214308198388,research_only,pending_review
r2_off_buffer_1.10,off,1.1,False,True,0.21948969236200644,0.33914872935590257,0.30053506847192124,0.5795611310881841,0.45318386168797486,0.24283743723102824,0.2407421377924164,0.31383525681188135,0.28755948712711216,0.26646260442702036,0.9380400187791823,1.3327312279762835,0.9943021412656614,1.7317361302176502,1.5343300745252333,-0.4045784531173461,-0.2214867092485756,-0.16917606911306893,-0.1691760691130686,-0.22148670924857516,0.1830631637786473,0.20873015873015874,0.31746031746031744,0.24074074074074073,0.22857142857142856,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.655,0.526,0.08000000000000002,0.182,0.288,-0.010961948771231356,-0.0399090725722302,-0.07734989564023742,-0.0025512981894226794,-0.006657847518773741,-0.006351861480912158,-0.030784159631827235,-0.0066578475187726305,-0.081229472425014,-0.030934044250498616,0.002672622518836376,-0.10618964253651697,-0.033061533943334886,0.002672622518836154,-0.2345821430819819,research_only,pending_review
r2_off_buffer_1.15,off,1.15,False,True,0.22288141063934064,0.3453697384984211,0.2475593921236643,0.5674082163055962,0.4539693698143432,0.2424785673594913,0.24024171139425313,0.3149482941255318,0.2871797606379777,0.26585968751695427,0.9505340555924752,1.3543233760015554,0.8597320904518342,1.706714435033968,1.539244727325743,-0.4086802389848192,-0.22148670924857572,-0.1691760691130687,-0.1691760691130687,-0.22148670924857605,0.18026830631637786,0.20476190476190476,0.31746031746031744,0.23544973544973544,0.22380952380952382,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.645,0.516,0.08000000000000002,0.178,0.282,-0.0075702304938971565,-0.044010858439703315,-0.07395817736290322,0.0036697109530958727,-0.006657847518773852,-0.00013085233839360555,-0.029998651505458884,-0.006657847518773519,-0.08044396429864564,-0.04308695903308646,0.002672622518836265,-0.11834255731910481,-0.08603721029159184,0.002672622518836376,-0.28755781943023884,research_only,pending_review
r2_off_buffer_1.20,off,1.2,False,True,0.2069873147467689,0.318055008269885,0.16809664756691478,0.49392078061367073,0.41614326312515204,0.24251612863134253,0.2402735619596084,0.311854165766949,0.2868045316743218,0.2656666200301295,0.8964515854959263,1.268730090483578,0.6540803823041111,1.5409026412162605,1.4408368772888775,-0.4086802389848202,-0.21304355693138655,-0.2089075616161009,-0.20890756161610147,-0.21304355693138644,0.1791503633314701,0.20317460317460317,0.31746031746031744,0.2328042328042328,0.22063492063492063,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.641,0.512,0.08000000000000002,0.17600000000000002,0.27799999999999997,-0.023464326386468892,-0.044010858439704315,-0.08985227325547496,-0.02364501927544027,0.0017853047984153214,-0.02744558256692975,-0.06782475819465006,0.0017853047984160986,-0.11827007098783682,-0.11657439472501196,-0.037058869984196496,-0.19182999301103032,-0.16549995484834135,-0.03705886998419583,-0.36702056398698835,research_only,pending_review
r2_0.10_buffer_1.00,0.1,1.0,True,False,0.24361915163640324,0.3404741892306151,0.32197904977091896,0.6068307087977602,0.5013376259411124,0.2336077551464022,0.23615795846373946,0.31074500975560837,0.28700933928858946,0.2629849298508385,1.0496437325345667,1.3581356606474098,1.0537431664766248,1.7942435764648454,1.6752119456976795,-0.3240982062007908,-0.19584994960270852,-0.17184869163190453,-0.17184869163190464,-0.1958499496027094,0.19256567915036332,0.2246031746031746,0.3412698412698413,0.25925925925925924,0.24126984126984127,0.8320290665176076,0.9416666666666667,0.9325396825396826,0.9365079365079365,0.942063492063492,0.6890000000000001,0.5660000000000001,0.08600000000000001,0.196,0.304,0.013167510503165447,0.04057117434432511,-0.05322043636584062,-0.001225838314710126,0.01897891212709335,-0.005026401606199604,0.01736960462131032,0.018978912127093128,-0.03307570817187644,-0.003664466540922451,3.3306690738754696e-16,-0.0789200648269408,-0.01161755264433717,5.551115123125783e-16,-0.21313816178298417,research_only,pending_review
r2_0.10_buffer_1.02,0.1,1.02,True,True,0.24580955898237566,0.34382767314577944,0.32451459348097944,0.6153351977478969,0.5004922998301695,0.23361600361070897,0.23616635063668678,0.31086527077169723,0.28625943041457,0.2626826622675073,1.0571542698896421,1.368688064650127,1.0596253641270061,1.8166627405938311,1.6746861927582692,-0.33440891452222254,-0.21111948134903524,-0.17184869163190508,-0.17184869163190486,-0.21111948134903524,0.1897708216880939,0.22063492063492063,0.3412698412698413,0.25396825396825395,0.23809523809523808,0.8320290665176076,0.9416666666666667,0.9325396825396826,0.9365079365079365,0.942063492063492,0.679,0.556,0.08600000000000001,0.192,0.3,0.01535791784913787,0.03026046602289334,-0.051030029019868195,0.0021276456004541977,0.003709380380766625,-0.0016729176910352805,0.01652427851036742,0.003709380380767291,-0.03392103428281934,0.0048400224092142174,1.1102230246251565e-16,-0.07041557587680414,-0.009082008934276686,0.0,-0.2106026180729237,research_only,pending_review
