mode,year,days,return,max_dd
standalone_reset_2017,2017,244,0.029583216066872753,-0.08415754538029785
standalone_reset_2017,2018,243,-0.04487335116714586,-0.1415802727303127
standalone_reset_2017,2019,244,0.31158024685494,-0.05727720377061363
standalone_reset_2017,2020,243,0.2501069944440839,-0.15912842500558888
standalone_reset_2017,2021,243,0.11234523983217803,-0.16160544875011695
standalone_reset_2017,2022,242,0.045460582765652235,-0.18855984877739485
standalone_reset_2017,2023,242,0.09909046801846988,-0.13286996386671035
standalone_reset_2017,2024,242,0.11680329495614905,-0.11128121380769207
standalone_reset_2017,2025,243,0.4660809415058995,-0.08716725036618633
standalone_reset_2017,2026,116,-0.05325751757691943,-0.20256382569627862
continuous_state_from_2007,2017,244,0.0370191674054412,-0.042859077322137784
continuous_state_from_2007,2018,243,-0.019962732012918205,-0.0725840909279809
continuous_state_from_2007,2019,244,0.1886523105339446,-0.057277514484804004
continuous_state_from_2007,2020,243,0.2501065997489027,-0.15912857423975957
continuous_state_from_2007,2021,243,0.11234561377386143,-0.16160538814019176
continuous_state_from_2007,2022,242,0.045460758035098525,-0.1885597219427988
continuous_state_from_2007,2023,242,0.09909021424587783,-0.1328698185956808
continuous_state_from_2007,2024,242,0.11680297337297718,-0.11128115137153105
continuous_state_from_2007,2025,243,0.46608095632728475,-0.08716734222823819
continuous_state_from_2007,2026,116,-0.05325751757691943,-0.20256382569627862
