candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,position,days,share
r2_0.30_no_tv_vw_20,0.3,,20,QQQ,1356,0.4970674486803519
r2_0.30_no_tv_vw_20,0.3,,20,GLD,990,0.3629032258064516
r2_0.30_no_tv_vw_20,0.3,,20,CASH,382,0.14002932551319647
r2_0.30_tv_15_vw_20,0.3,0.15,20,QQQ,1356,0.4970674486803519
r2_0.30_tv_15_vw_20,0.3,0.15,20,GLD,990,0.3629032258064516
r2_0.30_tv_15_vw_20,0.3,0.15,20,CASH,382,0.14002932551319647
r2_0.30_tv_20_vw_20,0.3,0.2,20,QQQ,1356,0.4970674486803519
r2_0.30_tv_20_vw_20,0.3,0.2,20,GLD,990,0.3629032258064516
r2_0.30_tv_20_vw_20,0.3,0.2,20,CASH,382,0.14002932551319647
r2_0.30_tv_25_vw_20,0.3,0.25,20,QQQ,1356,0.4970674486803519
r2_0.30_tv_25_vw_20,0.3,0.25,20,GLD,990,0.3629032258064516
r2_0.30_tv_25_vw_20,0.3,0.25,20,CASH,382,0.14002932551319647
r2_0.30_tv_30_vw_20,0.3,0.3,20,QQQ,1356,0.4970674486803519
r2_0.30_tv_30_vw_20,0.3,0.3,20,GLD,990,0.3629032258064516
r2_0.30_tv_30_vw_20,0.3,0.3,20,CASH,382,0.14002932551319647
r2_0.30_no_tv_vw_40,0.3,,40,QQQ,1356,0.4970674486803519
r2_0.30_no_tv_vw_40,0.3,,40,GLD,990,0.3629032258064516
r2_0.30_no_tv_vw_40,0.3,,40,CASH,382,0.14002932551319647
r2_0.30_tv_15_vw_40,0.3,0.15,40,QQQ,1356,0.4970674486803519
r2_0.30_tv_15_vw_40,0.3,0.15,40,GLD,990,0.3629032258064516
r2_0.30_tv_15_vw_40,0.3,0.15,40,CASH,382,0.14002932551319647
r2_0.30_tv_20_vw_40,0.3,0.2,40,QQQ,1356,0.4970674486803519
r2_0.30_tv_20_vw_40,0.3,0.2,40,GLD,990,0.3629032258064516
r2_0.30_tv_20_vw_40,0.3,0.2,40,CASH,382,0.14002932551319647
r2_0.30_tv_25_vw_40,0.3,0.25,40,QQQ,1356,0.4970674486803519
r2_0.30_tv_25_vw_40,0.3,0.25,40,GLD,990,0.3629032258064516
r2_0.30_tv_25_vw_40,0.3,0.25,40,CASH,382,0.14002932551319647
r2_0.30_tv_30_vw_40,0.3,0.3,40,QQQ,1356,0.4970674486803519
r2_0.30_tv_30_vw_40,0.3,0.3,40,GLD,990,0.3629032258064516
r2_0.30_tv_30_vw_40,0.3,0.3,40,CASH,382,0.14002932551319647
r2_0.30_no_tv_vw_60,0.3,,60,QQQ,1356,0.4970674486803519
r2_0.30_no_tv_vw_60,0.3,,60,GLD,990,0.3629032258064516
r2_0.30_no_tv_vw_60,0.3,,60,CASH,382,0.14002932551319647
r2_0.30_tv_15_vw_60,0.3,0.15,60,QQQ,1356,0.4970674486803519
r2_0.30_tv_15_vw_60,0.3,0.15,60,GLD,990,0.3629032258064516
r2_0.30_tv_15_vw_60,0.3,0.15,60,CASH,382,0.14002932551319647
r2_0.30_tv_20_vw_60,0.3,0.2,60,QQQ,1356,0.4970674486803519
r2_0.30_tv_20_vw_60,0.3,0.2,60,GLD,990,0.3629032258064516
r2_0.30_tv_20_vw_60,0.3,0.2,60,CASH,382,0.14002932551319647
r2_0.30_tv_25_vw_60,0.3,0.25,60,QQQ,1356,0.4970674486803519
r2_0.30_tv_25_vw_60,0.3,0.25,60,GLD,990,0.3629032258064516
r2_0.30_tv_25_vw_60,0.3,0.25,60,CASH,382,0.14002932551319647
r2_0.30_tv_30_vw_60,0.3,0.3,60,QQQ,1356,0.4970674486803519
r2_0.30_tv_30_vw_60,0.3,0.3,60,GLD,990,0.3629032258064516
r2_0.30_tv_30_vw_60,0.3,0.3,60,CASH,382,0.14002932551319647
r2_0.30_no_tv_vw_80,0.3,,80,QQQ,1356,0.4970674486803519
r2_0.30_no_tv_vw_80,0.3,,80,GLD,990,0.3629032258064516
r2_0.30_no_tv_vw_80,0.3,,80,CASH,382,0.14002932551319647
r2_0.30_tv_15_vw_80,0.3,0.15,80,QQQ,1356,0.4970674486803519
r2_0.30_tv_15_vw_80,0.3,0.15,80,GLD,990,0.3629032258064516
r2_0.30_tv_15_vw_80,0.3,0.15,80,CASH,382,0.14002932551319647
r2_0.30_tv_20_vw_80,0.3,0.2,80,QQQ,1356,0.4970674486803519
r2_0.30_tv_20_vw_80,0.3,0.2,80,GLD,990,0.3629032258064516
r2_0.30_tv_20_vw_80,0.3,0.2,80,CASH,382,0.14002932551319647
r2_0.30_tv_25_vw_80,0.3,0.25,80,QQQ,1356,0.4970674486803519
r2_0.30_tv_25_vw_80,0.3,0.25,80,GLD,990,0.3629032258064516
r2_0.30_tv_25_vw_80,0.3,0.25,80,CASH,382,0.14002932551319647
r2_0.30_tv_30_vw_80,0.3,0.3,80,QQQ,1356,0.4970674486803519
r2_0.30_tv_30_vw_80,0.3,0.3,80,GLD,990,0.3629032258064516
r2_0.30_tv_30_vw_80,0.3,0.3,80,CASH,382,0.14002932551319647
r2_0.30_no_tv_vw_120,0.3,,120,QQQ,1356,0.4970674486803519
r2_0.30_no_tv_vw_120,0.3,,120,GLD,990,0.3629032258064516
r2_0.30_no_tv_vw_120,0.3,,120,CASH,382,0.14002932551319647
r2_0.30_tv_15_vw_120,0.3,0.15,120,QQQ,1356,0.4970674486803519
r2_0.30_tv_15_vw_120,0.3,0.15,120,GLD,990,0.3629032258064516
r2_0.30_tv_15_vw_120,0.3,0.15,120,CASH,382,0.14002932551319647
r2_0.30_tv_20_vw_120,0.3,0.2,120,QQQ,1356,0.4970674486803519
r2_0.30_tv_20_vw_120,0.3,0.2,120,GLD,990,0.3629032258064516
r2_0.30_tv_20_vw_120,0.3,0.2,120,CASH,382,0.14002932551319647
r2_0.30_tv_25_vw_120,0.3,0.25,120,QQQ,1356,0.4970674486803519
r2_0.30_tv_25_vw_120,0.3,0.25,120,GLD,990,0.3629032258064516
r2_0.30_tv_25_vw_120,0.3,0.25,120,CASH,382,0.14002932551319647
r2_0.30_tv_30_vw_120,0.3,0.3,120,QQQ,1356,0.4970674486803519
r2_0.30_tv_30_vw_120,0.3,0.3,120,GLD,990,0.3629032258064516
r2_0.30_tv_30_vw_120,0.3,0.3,120,CASH,382,0.14002932551319647
r2_0.30_no_tv_vw_160,0.3,,160,QQQ,1356,0.4970674486803519
r2_0.30_no_tv_vw_160,0.3,,160,GLD,990,0.3629032258064516
r2_0.30_no_tv_vw_160,0.3,,160,CASH,382,0.14002932551319647
r2_0.30_tv_15_vw_160,0.3,0.15,160,QQQ,1356,0.4970674486803519
r2_0.30_tv_15_vw_160,0.3,0.15,160,GLD,990,0.3629032258064516
r2_0.30_tv_15_vw_160,0.3,0.15,160,CASH,382,0.14002932551319647
r2_0.30_tv_20_vw_160,0.3,0.2,160,QQQ,1356,0.4970674486803519
r2_0.30_tv_20_vw_160,0.3,0.2,160,GLD,990,0.3629032258064516
r2_0.30_tv_20_vw_160,0.3,0.2,160,CASH,382,0.14002932551319647
r2_0.30_tv_25_vw_160,0.3,0.25,160,QQQ,1356,0.4970674486803519
r2_0.30_tv_25_vw_160,0.3,0.25,160,GLD,990,0.3629032258064516
r2_0.30_tv_25_vw_160,0.3,0.25,160,CASH,382,0.14002932551319647
r2_0.30_tv_30_vw_160,0.3,0.3,160,QQQ,1356,0.4970674486803519
r2_0.30_tv_30_vw_160,0.3,0.3,160,GLD,990,0.3629032258064516
r2_0.30_tv_30_vw_160,0.3,0.3,160,CASH,382,0.14002932551319647
r2_0.30_no_tv_vw_252,0.3,,252,QQQ,1356,0.4970674486803519
r2_0.30_no_tv_vw_252,0.3,,252,GLD,990,0.3629032258064516
r2_0.30_no_tv_vw_252,0.3,,252,CASH,382,0.14002932551319647
r2_0.30_tv_15_vw_252,0.3,0.15,252,QQQ,1356,0.4970674486803519
r2_0.30_tv_15_vw_252,0.3,0.15,252,GLD,990,0.3629032258064516
r2_0.30_tv_15_vw_252,0.3,0.15,252,CASH,382,0.14002932551319647
r2_0.30_tv_20_vw_252,0.3,0.2,252,QQQ,1356,0.4970674486803519
r2_0.30_tv_20_vw_252,0.3,0.2,252,GLD,990,0.3629032258064516
r2_0.30_tv_20_vw_252,0.3,0.2,252,CASH,382,0.14002932551319647
r2_0.30_tv_25_vw_252,0.3,0.25,252,QQQ,1356,0.4970674486803519
r2_0.30_tv_25_vw_252,0.3,0.25,252,GLD,990,0.3629032258064516
r2_0.30_tv_25_vw_252,0.3,0.25,252,CASH,382,0.14002932551319647
r2_0.30_tv_30_vw_252,0.3,0.3,252,QQQ,1356,0.4970674486803519
r2_0.30_tv_30_vw_252,0.3,0.3,252,GLD,990,0.3629032258064516
r2_0.30_tv_30_vw_252,0.3,0.3,252,CASH,382,0.14002932551319647
