candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days
r2_0.30_no_tv_vw_20,0.3,,20,1.5,full,2015-07-13,2026-05-15,2728,0.22868072775057557,0.1810745381215321,1.2284551056988224,-0.16742622658789652,8.294224694808834,2015-07-13,2022-05-13,275,382,2346,0.8599706744868035,0.8599706744868035,1.0,0.0,1356,990
r2_0.30_no_tv_vw_20,0.3,,20,1.5,last_10y,2016-05-09,2026-05-15,2520,0.22977063566427125,0.18371341463359844,1.218284720314118,-0.16742622658789663,6.911178578764063,2016-05-09,2022-05-13,255,343,2177,0.8638888888888889,0.8638888888888889,1.0,0.0,1280,897
r2_0.30_no_tv_vw_20,0.3,,20,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2614271829624044,0.1935937389187878,1.2968920165355367,-0.16742622658789663,2.1938236144970515,2021-05-11,2022-05-13,128,173,1087,0.8626984126984127,0.8626984126984127,1.0,0.0,587,500
r2_0.30_no_tv_vw_20,0.3,,20,1.5,last_3y,2023-05-11,2026-05-15,756,0.34954844238460536,0.20124741717598052,1.5909687710724387,-0.16186179280339452,1.45790693445809,2023-05-11,2026-03-30,73,95,661,0.8743386243386243,0.8743386243386243,1.0,0.0,368,293
r2_0.30_no_tv_vw_20,0.3,,20,1.5,last_1y,2025-05-15,2026-05-15,252,0.5060380692294328,0.231215998115817,1.8898593187215538,-0.16186179280339452,0.5060380692294328,2025-05-15,2026-03-30,21,36,216,0.8571428571428571,0.8571428571428571,1.0,0.0,117,99
r2_0.30_tv_15_vw_20,0.3,0.15,20,1.5,full,2015-07-13,2026-05-15,2728,0.21906998614908568,0.1684703051486815,1.2604489474941625,-0.1604803123281454,7.536781287570477,2015-07-13,2022-05-13,2010,382,2346,0.8599706744868035,0.9405688636008761,1.5,0.0,1356,990
r2_0.30_tv_15_vw_20,0.3,0.15,20,1.5,last_10y,2016-05-09,2026-05-15,2520,0.22175760819211865,0.1680433174681008,1.2763579183056561,-0.1604803123281454,6.410551362184071,2016-05-09,2022-05-13,1854,343,2177,0.8638888888888889,0.9401736786558418,1.5,0.0,1280,897
r2_0.30_tv_15_vw_20,0.3,0.15,20,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2631539801195715,0.17417731982423926,1.4288732755559852,-0.16048031232814552,2.215744046194876,2021-05-11,2022-05-13,1029,173,1087,0.8626984126984127,0.8692544608031949,1.5,0.0,587,500
r2_0.30_tv_15_vw_20,0.3,0.15,20,1.5,last_3y,2023-05-11,2026-05-15,756,0.359431759744798,0.178960770253816,1.8062626947825626,-0.13770608783570681,1.512304265708162,2023-05-11,2024-12-19,632,95,661,0.8743386243386243,0.8928299356159659,1.5,0.0,368,293
r2_0.30_tv_15_vw_20,0.3,0.15,20,1.5,last_1y,2025-05-15,2026-05-15,252,0.5133801850593613,0.18134091003933953,2.37833857966002,-0.11648943587738758,0.5133801850593613,2025-05-15,2026-03-30,197,36,216,0.8571428571428571,0.7982069978315744,1.5,0.0,117,99
r2_0.30_tv_20_vw_20,0.3,0.2,20,1.5,full,2015-07-13,2026-05-15,2728,0.2652274670058006,0.20360756651902445,1.257709445462983,-0.1875317200771004,11.764851378573416,2015-07-13,2022-05-13,1377,382,2346,0.8599706744868035,1.1072534746662792,1.5,0.0,1356,990
r2_0.30_tv_20_vw_20,0.3,0.2,20,1.5,last_10y,2016-05-09,2026-05-15,2520,0.26361468597644366,0.20369255950755735,1.2510420417554051,-0.1875317200771004,9.378788147066745,2016-05-09,2022-05-13,1296,343,2177,0.8638888888888889,1.1058627014837346,1.5,0.0,1280,897
r2_0.30_tv_20_vw_20,0.3,0.2,20,1.5,last_5y,2021-05-11,2026-05-15,1260,0.32821798472363795,0.21716961988162306,1.416141038885763,-0.1875317200771004,3.133774505859372,2021-05-11,2022-05-13,760,173,1087,0.8626984126984127,1.0589354042834553,1.5,0.0,587,500
r2_0.30_tv_20_vw_20,0.3,0.2,20,1.5,last_3y,2023-05-11,2026-05-15,756,0.4416338030703306,0.22291446151279776,1.753406638542913,-0.1628384530439685,1.9961590979309252,2023-05-11,2024-12-19,443,95,661,0.8743386243386243,1.0899374970416926,1.5,0.0,368,293
