candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,decision_hint,stability_label
r2_0.30_no_tv_vw_20,0.3,,20,1.5,0.22868072775057557,0.22977063566427125,0.5060380692294328,0.34954844238460536,0.2614271829624044,-0.16742622658789652,-0.16742622658789663,-0.16186179280339452,-0.16186179280339452,-0.16742622658789663,1.2284551056988224,1.218284720314118,1.8898593187215538,1.5909687710724387,1.2968920165355367,0.1810745381215321,0.18371341463359844,0.231215998115817,0.20124741717598052,0.1935937389187878,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.30_tv_15_vw_20,0.3,0.15,20,1.5,0.21906998614908568,0.22175760819211865,0.5133801850593613,0.359431759744798,0.2631539801195715,-0.1604803123281454,-0.1604803123281454,-0.11648943587738758,-0.13770608783570681,-0.16048031232814552,1.2604489474941625,1.2763579183056561,2.37833857966002,1.8062626947825626,1.4288732755559852,0.1684703051486815,0.1680433174681008,0.18134091003933953,0.178960770253816,0.17417731982423926,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.9405688636008761,0.9401736786558418,0.7982069978315744,0.8928299356159659,0.8692544608031949,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_20_vw_20,0.3,0.2,20,1.5,0.2652274670058006,0.26361468597644366,0.6397256013662769,0.4416338030703306,0.32821798472363795,-0.1875317200771004,-0.1875317200771004,-0.1537720606920855,-0.1628384530439685,-0.1875317200771004,1.257709445462983,1.2510420417554051,2.259552748981685,1.753406638542913,1.416141038885763,0.20360756651902445,0.20369255950755735,0.23107038471971655,0.22291446151279776,0.21716961988162306,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1072534746662792,1.1058627014837346,0.9768061142350053,1.0899374970416926,1.0589354042834553,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_25_vw_20,0.3,0.25,20,1.5,0.29472127549033056,0.29475992487924096,0.7354308656405888,0.5005349255603349,0.367879872876129,-0.2097576665811003,-0.2097576665811004,-0.19027154989128625,-0.19027154989128625,-0.2097576665811003,1.2551487643655699,1.2499775551226735,2.1889560619209583,1.7315752629333432,1.3918817511860215,0.22628070776314027,0.22746005084550489,0.2689829729430923,0.2530024617747039,0.24708892359709966,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.190265657724512,1.1911479370629086,1.0925894197384178,1.1863255117069929,1.1641399416273597,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_30_vw_20,0.3,0.3,20,1.5,0.30935913382802616,0.30901937922163714,0.7861323602871646,0.5319548079134133,0.3839480328336038,-0.22935656902054447,-0.22935656902054435,-0.22565385484571032,-0.22565385484571032,-0.22935656902054447,1.2334898305817381,1.2238483753255245,2.073013612967483,1.6865739302829914,1.343693619684269,0.2424574977310137,0.24458498748564417,0.3028898182198891,0.27558809086921277,0.2688151168755927,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.2364470776969567,1.2393412726014161,1.1762498276138558,1.236341257317768,1.2263908506921952,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_no_tv_vw_40,0.3,,40,1.5,0.22868072775057557,0.22977063566427125,0.5060380692294328,0.34954844238460536,0.2614271829624044,-0.16742622658789652,-0.16742622658789663,-0.16186179280339452,-0.16186179280339452,-0.16742622658789663,1.2284551056988224,1.218284720314118,1.8898593187215538,1.5909687710724387,1.2968920165355367,0.1810745381215321,0.18371341463359844,0.231215998115817,0.20124741717598052,0.1935937389187878,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.30_tv_15_vw_40,0.3,0.15,40,1.5,0.20217823236778232,0.20149505276095514,0.5253913886660035,0.3354442346300395,0.24720230687315659,-0.16386460978826833,-0.16386460978826822,-0.09536652177920824,-0.14290674370443657,-0.1450301218985528,1.1970969247794314,1.197285257476602,2.5065168039481525,1.7311567554956708,1.3929769052160506,0.16528420606876382,0.16470763156125284,0.17474725419859694,0.17614127302751698,0.16888565930564184,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.9096307718893538,0.9081707216313272,0.7075781937734537,0.8462856587670093,0.8276719687130749,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_20_vw_40,0.3,0.2,40,1.5,0.25935560864885576,0.2581338168967535,0.6906774538388056,0.43749756449416477,0.3199039885406403,-0.18818019490343263,-0.18818019490343263,-0.12589745025475085,-0.16847005010767546,-0.1881801949034324,1.2374810120237925,1.23320205081031,2.464627129336833,1.7410977149062294,1.404246439561842,0.20309836622999491,0.2030065580249917,0.22356260811229772,0.2228316600148138,0.21407344830243935,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0943140648121275,1.0918469224647773,0.8762416585028325,1.06294637643023,1.0337243311940465,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_25_vw_40,0.3,0.25,40,1.5,0.2929892310521378,0.2913709764501091,0.7900215467474045,0.4964193698323571,0.3606431906952974,-0.21050470951765066,-0.21050470951765077,-0.1558108758810366,-0.17659602689223963,-0.21050470951765066,1.2434673544076016,1.2333093656182668,2.3286524176578105,1.7184714334821143,1.3741480361661664,0.22758171719730808,0.22864315591812084,0.2657884227046682,0.2534074764448826,0.24629767518724438,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1842131497494859,1.1838634270862005,1.006026516113914,1.1666838085398379,1.1491778445028695,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_30_vw_40,0.3,0.3,40,1.5,0.3128891782450578,0.31151838158145817,0.8678554650867165,0.5418925187429031,0.39049964815352967,-0.23229322923562368,-0.23229322923562357,-0.18167879340220716,-0.18167879340220705,-0.23229322923562357,1.234248787172265,1.2216694543987479,2.261116141473401,1.7153937520577447,1.3587144302808882,0.24498993848363082,0.24708507564604568,0.29658593644008185,0.2745293841992551,0.26942446162007283,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.234463262074422,1.2357602297377077,1.1069459208684076,1.2225548314005963,1.223869879922547,1.5,1.5,1.5,1.5,1.5,exploratory,pending
