candidate,candidate_type,lookback,r2_threshold,switch_buffer,entry_fraction,target_vol,notes,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y
lb_28_r2_0p50_buf_1p00_entry_0p75_no_tv,layer4_carried_baseline,28,0.5,1.0,0.75,,Layer4 carried primary line before target-vol,0.09143291792539343,-0.23103888667324657,,,,insufficient rows: 2432 < 2520 trading days,0.09573677323982399,-0.19530123877110372,,0.07434947476573273,-0.19530123877110417,,0.01835303263088406,-0.19530123877110384,
lb_28_r2_0p50_buf_1p00_entry_0p75_tv25,layer5_primary_original_target_vol,28,0.5,1.0,0.75,0.25,Layer4 primary with original target-vol 25%,0.1135777942384173,-0.33137788386694267,,,,insufficient rows: 2432 < 2520 trading days,0.13018875431921972,-0.25931139110727275,,0.09572488544683555,-0.2593113911072732,,0.0412222825901718,-0.25931139110727286,
lb_28_r2_0p50_buf_1p00_entry_0p67_tv25,entry_neighbor_original_target_vol,28,0.5,1.0,0.67,0.25,Entry-fraction neighbor with original target-vol 25%,0.10959522887155781,-0.3242371831966284,,,,insufficient rows: 2432 < 2520 trading days,0.12467088536721316,-0.2562102515593684,,0.09483877155426046,-0.25621025155936805,,0.05141071308924183,-0.2562102515593684,
lb_32_r2_0p50_buf_1p00_entry_0p75_tv25,return_peak_watch_original_target_vol,32,0.5,1.0,0.75,0.25,Return peak watch line with original target-vol 25%,0.13168300011808998,-0.25478869551890515,,,,insufficient rows: 2432 < 2520 trading days,0.12999955995092227,-0.2547886955189055,,0.09578596806957584,-0.25478869551890493,,-0.03779356218016838,-0.2547886955189058,
orig_layer5_lb25_r2_0p20_buf_1p05_entry_0p50_tv25,original_layer5_target_vol,25,0.2,1.05,0.5,0.25,"Original first-layer parameter plus original R2 0.20, switch buffer 1.05, initial entry fraction 0.50, and target-vol 25%",0.1012802331797904,-0.3866217358031887,,,,insufficient rows: 2432 < 2520 trading days,0.10724657065583565,-0.38662173580318804,,0.023658550332169348,-0.38662173580318737,,-0.26975267771298306,-0.36963875647304456,
orig_full_v1_1_reference,original_full_strategy_reference,25,0.2,,,,"Full official V1.1 chain including overheat; reference only, not Layer5 pass baseline",0.11842112884574907,-0.3696387564730449,,,,insufficient rows: 2432 < 2520 trading days,0.12611039766519228,-0.36963875647304445,,0.03412579655262182,-0.36963875647304434,,-0.26975267771298306,-0.36963875647304456,
