candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,target_vol,target_vol_label,vol_window,max_lev,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,avg_holding_fraction,avg_scale_effective,avg_scale_next,avg_exposure_effective,avg_final_exposure,scale_change_days,avg_realized_vol,reason
lb_28_r2_0p50_buf_1p00_entry_0p75_no_tv,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,,no_tv,80,1.5,full,Full,2016-12-30,2007-01-04,2432.0,0.09143291792539343,0.16705672117632928,-0.23103888667324657,0.6075032664325565,982.0,404.0,0.364,364.0,0.5962171052631579,0.5558182565789473,1.0,1.0,0.555407072368421,0.5558182565789473,0.0,,
lb_28_r2_0p50_buf_1p00_entry_0p75_no_tv,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,,no_tv,80,1.5,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_no_tv,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,,no_tv,80,1.5,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09573677323982399,0.16128968409699518,-0.19530123877110372,0.6479040603805766,501.0,211.0,0.19525000000000003,195.25,0.6023809523809524,0.5646825396825397,1.0,1.0,0.564484126984127,0.5646825396825397,0.0,,
lb_28_r2_0p50_buf_1p00_entry_0p75_no_tv,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,,no_tv,80,1.5,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07434947476573273,0.1599744794033954,-0.19530123877110417,0.5287896534725327,322.0,121.0,0.11175000000000002,111.75,0.5740740740740741,0.5400132275132276,1.0,1.0,0.5396825396825397,0.5400132275132276,0.0,,
lb_28_r2_0p50_buf_1p00_entry_0p75_no_tv,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,,no_tv,80,1.5,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.01835303263088406,0.13150691644329235,-0.19530123877110384,0.2046742360398574,116.0,34.0,0.0315,31.5,0.5396825396825397,0.5168650793650794,1.0,1.0,0.5128968253968254,0.5168650793650794,0.0,,
lb_28_r2_0p50_buf_1p00_entry_0p75_tv15,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,0.15,tv15,80,1.5,full,Full,2016-12-30,2007-01-04,2432.0,0.07766201958104624,0.1616266231757827,-0.27212930587297446,0.5439861707199625,982.0,1435.0,0.3649731531440402,364.9731531440402,0.5962171052631579,0.5558182565789473,0.9845916789990522,0.9847972711043154,0.5410529116706536,0.5416696879864431,157.0,0.16112600933199311,
lb_28_r2_0p50_buf_1p00_entry_0p75_tv15,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,0.15,tv15,80,1.5,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_tv15,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,0.15,tv15,80,1.5,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09203195992080482,0.15777580375434713,-0.17435891194625364,0.637301349672333,501.0,759.0,0.19713682232170354,197.13682232170356,0.6023809523809524,0.5646825396825397,1.0051162085408472,1.0058376513135536,0.5618802280285037,0.5627189291556526,74.0,0.1586913692127162,
lb_28_r2_0p50_buf_1p00_entry_0p75_tv15,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,0.15,tv15,80,1.5,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.05285439391005342,0.15613498320030747,-0.1743589119462532,0.40855097923112194,322.0,436.0,0.11623011194032516,116.23011194032517,0.5740740740740741,0.5400132275132276,1.0074896267699889,1.0085856991806912,0.5325278561919474,0.5338459422460061,44.0,0.15482047571274596,
lb_28_r2_0p50_buf_1p00_entry_0p75_tv15,layer4_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,0.15,tv15,80,1.5,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.03490032321110381,0.12727285346391742,-0.1743589119462533,0.3336932171456438,116.0,134.0,0.03198186992102977,31.981869921029766,0.5396825396825397,0.5168650793650794,1.0674691441280033,1.0700091701141512,0.4824112346384504,0.48836361559083136,9.0,0.14273511003801984,
