candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,target_vol,target_vol_label,vol_window,max_lev,ann_return_full,max_dd_full,reason_full,trades_full,cost_total_full,turnover_total_full,avg_scale_effective_full,avg_exposure_effective_full,scale_change_days_full,avg_realized_vol_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,trades_last_10y,cost_total_last_10y,turnover_total_last_10y,avg_scale_effective_last_10y,avg_exposure_effective_last_10y,scale_change_days_last_10y,avg_realized_vol_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,trades_last_5y,cost_total_last_5y,turnover_total_last_5y,avg_scale_effective_last_5y,avg_exposure_effective_last_5y,scale_change_days_last_5y,avg_realized_vol_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,trades_last_3y,cost_total_last_3y,turnover_total_last_3y,avg_scale_effective_last_3y,avg_exposure_effective_last_3y,scale_change_days_last_3y,avg_realized_vol_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y,trades_last_1y,cost_total_last_1y,turnover_total_last_1y,avg_scale_effective_last_1y,avg_exposure_effective_last_1y,scale_change_days_last_1y,avg_realized_vol_last_1y,ann_delta_full_pp,mdd_improve_full_pp,trade_delta_full,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,trade_delta_last_10y,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,trade_delta_last_5y,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,trade_delta_last_3y,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,trade_delta_last_1y,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,layer5_pass,pass_reason
lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,,no_tv,80,1.5,0.08028485732546731,-0.2816293516926902,,471.0,0.41000000000000003,410.0,1.0,0.6634457236842105,0.0,,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.08269733971546,-0.28162935169269077,,258.0,0.22650000000000003,226.5,1.0,0.6876984126984127,0.0,,0.03257555710654181,-0.28162935169268966,,157.0,0.135,135.0,1.0,0.7162698412698413,0.0,,-0.17994216181482026,-0.2703660473599151,,60.0,0.05,50.0,1.0,0.7400793650793651,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/no target-vol
lb_25_r2_0p20_buf_1p05_entry_0p50_tv15,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,0.15,tv15,80,1.5,0.07058707835183675,-0.27983875474399156,,1811.0,0.38556558005623487,385.5655800562349,0.9067307677190815,0.598519201301869,139.0,0.17776710414392885,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.07928754033981233,-0.27983875474399067,,986.0,0.20986931784443685,209.86931784443686,0.8982114989646723,0.6138711597251665,69.0,0.18067771681949607,0.009623864220536182,-0.2798387547439911,,608.0,0.11859963488061583,118.59963488061581,0.8267577567771972,0.5906609806769587,39.0,0.19380762389534284,-0.1940283006986674,-0.26464285667269283,,211.0,0.045420618108698255,45.42061810869826,0.8777630787704032,0.6146559393227968,12.0,0.18518806497760643,-0.9697778973630555,0.17905969486986528,1340.0,,,,-0.3409799375647671,0.1790596948700096,728.0,-2.2951692886005626,0.17905969486985418,451.0,-1.4086138883847132,0.5723190687222268,151.0,4,True,True,True,pass
lb_25_r2_0p20_buf_1p05_entry_0p50_tv18,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,0.18,tv18,80,1.5,0.08161125745073194,-0.3121766692488759,,1812.0,0.4467220401237685,446.72204012376847,1.0590365399688244,0.6992107109944397,150.0,0.17776710414392885,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.0900378642084303,-0.312176669248876,,986.0,0.24338094681527675,243.38094681527676,1.0482087030132403,0.7162766020401911,75.0,0.18067771681949607,0.009640392308368329,-0.3121766692488761,,608.0,0.13947050444717402,139.47050444717402,0.9775123057667193,0.6991355455270185,45.0,0.19380762389534284,-0.2150751111727368,-0.29974320330444026,,211.0,0.05252171696756515,52.52171696756515,1.0194727432087893,0.7216368235247362,11.0,0.18518806497760643,0.13264001252646374,-3.054731755618567,1341.0,,,,0.7340524492970291,-3.0547317556185227,728.0,-2.293516479817348,-3.054731755618645,451.0,-3.5132949357916554,-2.937715594452517,151.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p50_tv20,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,0.2,tv20,80,1.5,0.0860902452772736,-0.33454766530942914,,1810.0,0.4832739878646036,483.27398786460367,1.1488007067666737,0.7590088979958813,140.0,0.17776710414392885,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.0935720078029374,-0.33454766530942803,,985.0,0.26330618096440683,263.30618096440685,1.1346104687717236,0.7774228112342683,72.0,0.18067771681949607,0.012636225811435642,-0.33454766530942903,,607.0,0.1524715133508692,152.4715133508692,1.068646922857345,0.7674638982630945,47.0,0.19380762389534284,-0.23022203906420258,-0.319753351157698,,211.0,0.05675257033975882,56.75257033975882,1.1007556282068875,0.7855075183696759,11.0,0.18518806497760643,0.5805387951806296,-5.291831361673893,1339.0,,,,1.087466808747739,-5.291831361673727,727.0,-1.9939331295106166,-5.291831361673937,450.0,-5.027987724938232,-4.938730379778288,151.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p50_tv22,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,0.22,tv22,80,1.5,0.09438776191433607,-0.35858114855193646,,1810.0,0.5141231110582852,514.1231110582852,1.2253302295415973,0.8100874241587297,123.0,0.17776710414392885,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.10120389705802069,-0.35858114855193546,,985.0,0.2805924910968506,280.5924910968506,1.2121920610862031,0.8301293119010587,70.0,0.18067771681949607,0.018962417705014722,-0.3585811485519361,,607.0,0.16397403889801446,163.97403889801444,1.1536901929664554,0.8283261722879834,49.0,0.19380762389534284,-0.2489354912577022,-0.34247427914299755,,211.0,0.06073602975176235,60.736029751762345,1.1714182485407094,0.8398440872456528,12.0,0.18518806497760643,1.4102904588868759,-7.695179685924625,1339.0,,,,1.850655734256068,-7.695179685924469,727.0,-1.3613139401527086,-7.695179685924646,450.0,-6.8993329442881945,-7.210823178308246,151.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p50_tv25,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,0.25,tv25,80,1.5,0.1012802331797904,-0.3866217358031887,,1811.0,0.555779357974269,555.779357974269,1.321653054000022,0.8778662818971552,87.0,0.17776710414392885,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.10724657065583565,-0.38662173580318804,,986.0,0.3042786443239609,304.27864432396086,1.313143616330961,0.9020285483426927,50.0,0.18067771681949607,0.023658550332169348,-0.38662173580318737,,608.0,0.17818071704083172,178.18071704083172,1.2651063270870173,0.9080450951334608,36.0,0.19380762389534284,-0.26975267771298306,-0.36963875647304456,,211.0,0.06646306682452671,66.46306682452672,1.2797030001157859,0.9265496675903189,9.0,0.18518806497760643,2.0995375854323095,-10.499238411049848,1340.0,,,,2.4549230940375644,-10.499238411049728,728.0,-0.891700677437246,-10.499238411049772,451.0,-8.98105158981628,-9.927270911312947,151.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p50_tv28,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,0.28,tv28,80,1.5,0.1046083311678303,-0.40627274378027733,,1810.0,0.5814791124845032,581.4791124845033,1.377339044778823,0.9167913293193855,65.0,0.17776710414392885,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.10869528058763578,-0.406272743780277,,985.0,0.3193289322724665,319.3289322724665,1.3713078961888796,0.943121865711633,41.0,0.18067771681949607,0.025615291031848564,-0.40627274378027645,,607.0,0.18996553184246479,189.96553184246477,1.3496627683673663,0.966514633770229,30.0,0.19380762389534284,-0.283252835108458,-0.3882633915033379,,211.0,0.0714432673124755,71.44326731247548,1.3706227740564598,1.0000811121281392,10.0,0.18518806497760643,2.4323473842362997,-12.464339208758712,1339.0,,,,2.5997940872175773,-12.464339208758624,727.0,-0.6960266074693244,-12.464339208758679,450.0,-10.331067329363774,-11.789734414342279,151.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p50_tv30,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,0.3,tv30,80,1.5,0.10504941935297829,-0.4037384596540623,,1811.0,0.5968242742743887,596.8242742743887,1.4160585757603728,0.9427544185640995,46.0,0.17776710414392885,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.10802390557539732,-0.4037384596540635,,985.0,0.3261210896073407,326.12108960734076,1.4050712836806334,0.9662389213004285,26.0,0.18067771681949607,0.028831580744660856,-0.40373845965406285,,607.0,0.19565766900424375,195.65766900424376,1.3995024167475445,1.0018030167799417,19.0,0.19380762389534284,-0.2748970087064263,-0.38652359237590295,,211.0,0.07312814135211615,73.12814135211616,1.4168677322861682,1.0397452393894817,6.0,0.18518806497760643,2.4764562027510983,-12.21091079613721,1340.0,,,,2.532656585993731,-12.210910796137275,727.0,-0.3743976361880952,-12.21091079613732,450.0,-9.495484689160605,-11.615754501598785,151.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p50_tv35,lb_25_r2_0p20_buf_1p05_entry_0p50_no_tv,original_layer5,25,0.2,0p20,1.05,1p05,0.5,0p50,0.35,tv35,80,1.5,0.10127247221977487,-0.3994510043665085,,1810.0,0.606202141475803,606.202141475803,1.4441987993751197,0.9608128132641611,8.0,0.17776710414392885,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.1063120857497808,-0.3994510043665094,,985.0,0.33729722161964687,337.29722161964685,1.4631347602162823,1.00633435169033,4.0,0.18067771681949607,0.031202918422315484,-0.39945100436650804,,607.0,0.20451113548409033,204.51113548409035,1.4828769472091679,1.060961378595973,4.0,0.19380762389534284,-0.2660328633814444,-0.38246293140455956,,211.0,0.07601198773419734,76.01198773419733,1.5,1.1101190476190477,0.0,0.18518806497760643,2.098761489430756,-11.782165267381828,1339.0,,,,2.361474603432079,-11.782165267381862,727.0,-0.13726386842263238,-11.782165267381838,450.0,-8.609070156662412,-11.209688404464446,151.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_28_r2_0p40_buf_1p00_entry_0p75_no_tv,lb_28_r2_0p40_buf_1p00_entry_0p75_no_tv,r2_neighbor,28,0.4,0p40,1.0,1p00,0.75,0p75,,no_tv,80,1.5,0.08386142262836938,-0.2852663184753961,,423.0,0.386,386.0,1.0,0.6124588815789473,0.0,,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,0.08773181488796067,-0.23341861428394672,,224.0,0.20875,208.75,1.0,0.6291666666666667,0.0,,0.06425288828948861,-0.23341861428394706,,135.0,0.12325,123.25,1.0,0.6150793650793651,0.0,,-0.07568647792406746,-0.2334186142839465,,43.0,0.0395,39.5,1.0,0.5942460317460317,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/no target-vol
