candidate,candidate_type,line_role,lookback,r2_threshold,switch_buffer,entry_fraction,target_vol,target_vol_label,notes,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y
lb_28_r2_none_buf_1p15_entry_0p25_no_tv,line_baseline_no_target_vol,main_line_r2_removed,28,,1.15,0.25,,no_tv,Same carried line before target-vol layer,0.10629936351207303,-0.29479232237902786,,,,insufficient rows: 2432 < 2520 trading days,0.054864473189959906,-0.262192468909514,,0.05722962365315776,-0.26219246890951364,,-0.11112490020721,-0.21356653470205,
lb_28_r2_none_buf_1p15_entry_0p75_no_tv,line_baseline_no_target_vol,return_watch_line_r2_removed,28,,1.15,0.75,,no_tv,Same carried line before target-vol layer,0.112666551982606,-0.30365423480543297,,,,insufficient rows: 2432 < 2520 trading days,0.04629228131268537,-0.3011060615433433,,0.020448913047014017,-0.30110606154334185,,-0.1818065163416056,-0.2691977327287638,
lb_28_r2_none_buf_1p15_entry_0p25_no_tv,baseline_no_target_vol_pass,main_line_r2_removed,28,,1.15,0.25,,no_tv,Line-level selected target-vol result,0.10629936351207303,-0.29479232237902786,,,,insufficient rows: 2432 < 2520 trading days,0.054864473189959906,-0.262192468909514,,0.05722962365315776,-0.26219246890951364,,-0.11112490020721,-0.21356653470205,
lb_28_r2_none_buf_1p15_entry_0p75_no_tv,baseline_no_target_vol_pass,return_watch_line_r2_removed,28,,1.15,0.75,,no_tv,Line-level selected target-vol result,0.112666551982606,-0.30365423480543297,,,,insufficient rows: 2432 < 2520 trading days,0.04629228131268537,-0.3011060615433433,,0.020448913047014017,-0.30110606154334185,,-0.1818065163416056,-0.2691977327287638,
orig_full_v1_1_reference,original_full_v1_1_reference,,25,0.2,1.05,0.5,0.25,tv25,"Full official V1.1 chain on this proxy panel; includes original lookback 25, R2 0.20, switch buffer 1.05, staged entry 0.50, target-vol 25%, and later overlays.",0.11842151595918593,-0.3696377936962587,,,,insufficient rows: 2432 < 2520 trading days,0.12611100310750833,-0.36963779369625827,,0.0341263672702643,-0.36963779369625804,,-0.2697514835959647,-0.36963779369625804,
