candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,SWITCH_BUFFER,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,asset_switches,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days,buffer_blocked_days
switch_1.00,0.3,0.25,20,1.0,1.5,full,2015-07-13,2026-05-15,2728,0.228125956000236,0.22676954961709575,1.019923480018033,-0.24667265780930658,8.24889642358865,2021-11-19,2022-10-14,951.0,122,382,2346,0.8599706744868035,1.190173257638253,1.5,0.5706339872761316,1356,990,0
switch_1.00,0.3,0.25,20,1.0,1.5,last_10y,2016-05-09,2026-05-15,2520,0.22804842089411936,0.2279061691375019,1.0157262456411413,-0.24667265780930647,6.801083204544592,2021-11-19,2022-10-14,905.0,114,343,2177,0.8638888888888889,1.191047621706892,1.5,0.5282737160425737,1280,897,0
switch_1.00,0.3,0.25,20,1.0,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2996381905357348,0.2473992305941668,1.1834352338413674,-0.24667265780930647,2.707766055151998,2021-11-19,2022-10-14,531.0,51,173,1087,0.8626984126984127,1.164486918752082,1.5,0.25396103918489404,587,500,0
switch_1.00,0.3,0.25,20,1.0,1.5,last_3y,2023-05-11,2026-05-15,756,0.43176338122953206,0.25323635063518485,1.5447607673083115,-0.19530655308001343,1.9350381601243858,2026-01-29,2026-03-30,284.0,28,95,661,0.8743386243386243,1.18643601684711,1.5,0.14132505310400895,368,293,0
switch_1.00,0.3,0.25,20,1.0,1.5,last_1y,2025-05-15,2026-05-15,252,0.6717235319675838,0.2699954170692337,2.0430014990412984,-0.19530655308001332,0.6717235319675838,2026-01-29,2026-03-30,124.0,8,36,216,0.8571428571428571,1.0929028425401015,1.5,0.03792549696464357,117,99,0
switch_1.01,0.3,0.25,20,1.01,1.5,full,2015-07-13,2026-05-15,2728,0.23545242004478895,0.22639239647684017,1.0475279911778845,-0.2466726578093067,8.864002040464596,2021-11-19,2022-10-14,950.0,120,382,2346,0.8599706744868035,1.1900864484110414,1.5,0.5645557592247878,1356,990,2
switch_1.01,0.3,0.25,20,1.01,1.5,last_10y,2016-05-09,2026-05-15,2520,0.23598105720286666,0.22749984855851238,1.0454474609645976,-0.24667265780930658,7.319900788509935,2021-11-19,2022-10-14,904.0,112,343,2177,0.8638888888888889,1.1909536472736244,1.5,0.52219548799123,1280,897,2
switch_1.01,0.3,0.25,20,1.01,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2996381905357355,0.24739923059416674,1.1834352338413678,-0.24667265780930658,2.7077660551520073,2021-11-19,2022-10-14,531.0,51,173,1087,0.8626984126984127,1.164486918752082,1.5,0.25396103918489404,587,500,0
switch_1.01,0.3,0.25,20,1.01,1.5,last_3y,2023-05-11,2026-05-15,756,0.4317633812295336,0.25323635063518507,1.5447607673083128,-0.19530655308001332,1.9350381601243951,2026-01-29,2026-03-30,284.0,28,95,661,0.8743386243386243,1.18643601684711,1.5,0.14132505310400895,368,293,0
switch_1.01,0.3,0.25,20,1.01,1.5,last_1y,2025-05-15,2026-05-15,252,0.6717235319675865,0.26999541706923375,2.0430014990413006,-0.19530655308001332,0.6717235319675865,2026-01-29,2026-03-30,124.0,8,36,216,0.8571428571428571,1.0929028425401015,1.5,0.03792549696464357,117,99,0
switch_1.02,0.3,0.25,20,1.02,1.5,full,2015-07-13,2026-05-15,2728,0.2354524200447885,0.2263923964768402,1.047527991177884,-0.24667265780930703,8.864002040464554,2021-11-19,2022-10-14,950.0,120,382,2346,0.8599706744868035,1.1900864484110414,1.5,0.5645557592247878,1356,990,2
switch_1.02,0.3,0.25,20,1.02,1.5,last_10y,2016-05-09,2026-05-15,2520,0.23598105720286622,0.2274998485585124,1.0454474609645956,-0.24667265780930703,7.319900788509905,2021-11-19,2022-10-14,904.0,112,343,2177,0.8638888888888889,1.1909536472736244,1.5,0.52219548799123,1280,897,2
switch_1.02,0.3,0.25,20,1.02,1.5,last_5y,2021-05-11,2026-05-15,1260,0.29963819053573504,0.2473992305941667,1.1834352338413676,-0.24667265780930714,2.707766055152002,2021-11-19,2022-10-14,531.0,51,173,1087,0.8626984126984127,1.164486918752082,1.5,0.25396103918489404,587,500,0
switch_1.02,0.3,0.25,20,1.02,1.5,last_3y,2023-05-11,2026-05-15,756,0.4317633812295334,0.25323635063518496,1.5447607673083124,-0.19530655308001332,1.9350381601243938,2026-01-29,2026-03-30,284.0,28,95,661,0.8743386243386243,1.18643601684711,1.5,0.14132505310400895,368,293,0
switch_1.02,0.3,0.25,20,1.02,1.5,last_1y,2025-05-15,2026-05-15,252,0.6717235319675843,0.2699954170692338,2.043001499041296,-0.19530655308001332,0.6717235319675843,2026-01-29,2026-03-30,124.0,8,36,216,0.8571428571428571,1.0929028425401015,1.5,0.03792549696464357,117,99,0
switch_1.03,0.3,0.25,20,1.03,1.5,full,2015-07-13,2026-05-15,2728,0.2374891167622295,0.2265328597565982,1.0542953746157417,-0.2466726578093067,9.041468950838855,2021-11-19,2022-10-14,954.0,118,382,2346,0.8599706744868035,1.1899913394431674,1.5,0.5606848396836677,1355,991,5
