candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,position,days,share
r2_0.20_no_tv_vw_20,0.2,,20,QQQ,1455,0.533357771260997
r2_0.20_no_tv_vw_20,0.2,,20,GLD,1046,0.38343108504398826
r2_0.20_no_tv_vw_20,0.2,,20,CASH,227,0.08321114369501466
r2_0.20_tv_15_vw_20,0.2,0.15,20,QQQ,1455,0.533357771260997
r2_0.20_tv_15_vw_20,0.2,0.15,20,GLD,1046,0.38343108504398826
r2_0.20_tv_15_vw_20,0.2,0.15,20,CASH,227,0.08321114369501466
r2_0.20_tv_20_vw_20,0.2,0.2,20,QQQ,1455,0.533357771260997
r2_0.20_tv_20_vw_20,0.2,0.2,20,GLD,1046,0.38343108504398826
r2_0.20_tv_20_vw_20,0.2,0.2,20,CASH,227,0.08321114369501466
r2_0.20_tv_25_vw_20,0.2,0.25,20,QQQ,1455,0.533357771260997
r2_0.20_tv_25_vw_20,0.2,0.25,20,GLD,1046,0.38343108504398826
r2_0.20_tv_25_vw_20,0.2,0.25,20,CASH,227,0.08321114369501466
r2_0.20_tv_30_vw_20,0.2,0.3,20,QQQ,1455,0.533357771260997
r2_0.20_tv_30_vw_20,0.2,0.3,20,GLD,1046,0.38343108504398826
r2_0.20_tv_30_vw_20,0.2,0.3,20,CASH,227,0.08321114369501466
r2_0.20_no_tv_vw_40,0.2,,40,QQQ,1455,0.533357771260997
r2_0.20_no_tv_vw_40,0.2,,40,GLD,1046,0.38343108504398826
r2_0.20_no_tv_vw_40,0.2,,40,CASH,227,0.08321114369501466
r2_0.20_tv_15_vw_40,0.2,0.15,40,QQQ,1455,0.533357771260997
r2_0.20_tv_15_vw_40,0.2,0.15,40,GLD,1046,0.38343108504398826
r2_0.20_tv_15_vw_40,0.2,0.15,40,CASH,227,0.08321114369501466
r2_0.20_tv_20_vw_40,0.2,0.2,40,QQQ,1455,0.533357771260997
r2_0.20_tv_20_vw_40,0.2,0.2,40,GLD,1046,0.38343108504398826
r2_0.20_tv_20_vw_40,0.2,0.2,40,CASH,227,0.08321114369501466
r2_0.20_tv_25_vw_40,0.2,0.25,40,QQQ,1455,0.533357771260997
r2_0.20_tv_25_vw_40,0.2,0.25,40,GLD,1046,0.38343108504398826
