candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,decision_hint,stability_label
r2_0.20_no_tv_vw_20,0.2,,20,1.5,0.23740538958317203,0.23175780502502508,0.5758807172225819,0.3930133102489175,0.2842121754630915,-0.2512482906587016,-0.2512482906587016,-0.15295665801712255,-0.15295665801712233,-0.2512482906587016,1.243427212916492,1.207558428844641,2.030618463004442,1.7065275907429636,1.3532853141995793,0.1852016289310846,0.18722704697359452,0.23837730805596288,0.20689038298224222,0.19964890929386953,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.20_tv_15_vw_20,0.2,0.15,20,1.5,0.2311761274287898,0.230806171989558,0.5639377200447904,0.38072133182726464,0.28759160542482864,-0.20837389342106005,-0.20837389342106005,-0.11739682782801264,-0.11739682782801275,-0.20837389342106005,1.311246505103938,1.3136834372225263,2.554782241100755,1.8850302138585842,1.5397614202887948,0.16963948347376862,0.16901426088499122,0.18172759643587555,0.17981207177807784,0.17407596222577112,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,0.973140721322443,0.9762308539244126,0.8153247938354947,0.9180929861377947,0.8954837157169409,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_20_vw_20,0.2,0.2,20,1.5,0.2822443373161829,0.27434322302378544,0.7362257992895125,0.48175731078859196,0.3615656130745082,-0.2673009517682322,-0.2673009517682322,-0.15492722453612162,-0.15492722453612162,-0.2673009517682322,1.3030537420855703,1.2781195081916499,2.4757678069794307,1.8521295435927763,1.5169233030166043,0.20738258652433478,0.2064387516914422,0.23433932188143544,0.22626971335695956,0.21943031868512003,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.1610031203999311,1.1588262989694371,1.0283763477525076,1.1422513402779864,1.1072342874842822,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_25_vw_20,0.2,0.25,20,1.5,0.31319326386982693,0.303279999153949,0.8329433666161643,0.549430886376693,0.4018250797821836,-0.3147434513924401,-0.3147434513924401,-0.19164837897349007,-0.19164837897349007,-0.3147434513924401,1.2902921163442214,1.2575251141290036,2.3718009489419734,1.8247768292342084,1.4635805636855788,0.23215016830148916,0.23217412371976012,0.27164864502312996,0.25841793752898945,0.2527051810266816,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.2602914487532668,1.2580703277059264,1.1494542220416135,1.2625018977553695,1.2355725237243698,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_30_vw_20,0.2,0.3,20,1.5,0.32899729372944764,0.31844926570962206,0.8787609405966301,0.5919264742139885,0.41840785691991567,-0.34450060853338516,-0.34450060853338516,-0.22755654376578216,-0.22755654376578216,-0.34450060853338516,1.2695569818190746,1.2332690022432915,2.228300503174217,1.7995138220800526,1.4092221908671136,0.24847719254141012,0.24953836711994196,0.3047792646213003,0.28040693444185055,0.2749857422687962,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.3121636923915483,1.3123789411950526,1.2353277927001374,1.320826173425412,1.3077477708553105,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_no_tv_vw_40,0.2,,40,1.5,0.23740538958317203,0.23175780502502508,0.5758807172225819,0.3930133102489175,0.2842121754630915,-0.2512482906587016,-0.2512482906587016,-0.15295665801712255,-0.15295665801712233,-0.2512482906587016,1.243427212916492,1.207558428844641,2.030618463004442,1.7065275907429636,1.3532853141995793,0.1852016289310846,0.18722704697359452,0.23837730805596288,0.20689038298224222,0.19964890929386953,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.20_tv_15_vw_40,0.2,0.15,40,1.5,0.21022137124608942,0.20606178941872777,0.5615770541855798,0.3450548663408437,0.2683032911354355,-0.200851860943138,-0.200851860943138,-0.0934178425291532,-0.11276607947545447,-0.1895024034764412,1.2420538879686882,1.2224369491124953,2.6545558816133137,1.7867457625730032,1.5000329861343764,0.16458847492158674,0.16438427858255347,0.17378479838884603,0.17451896789397,0.1679167524202237,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,0.9386515551647543,0.9410443842163582,0.7244319528189138,0.8672847423416561,0.8525124643202631,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_20_vw_40,0.2,0.2,40,1.5,0.2784181116887079,0.2698068498413302,0.7730718815485667,0.46588671583131624,0.35509416593055465,-0.2469776727658335,-0.2469776727658335,-0.12334273623781988,-0.13897651373200826,-0.2469776727658336,1.299422641244089,1.2699505835627227,2.6616297008140952,1.8185668179860628,1.5190690318541022,0.20534511718668508,0.2046791984453644,0.2250554885261413,0.22428434133512018,0.21541934727100048,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.1451464248638736,1.1433094686000265,0.9240003919571207,1.111117707090247,1.0804492883901888,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_25_vw_40,0.2,0.25,40,1.5,0.3156047599584815,0.3047026838293263,0.8884799635685503,0.5523887820654472,0.4039414742535745,-0.3016141365524253,-0.3016141365524254,-0.152671334932157,-0.15599472489313715,-0.3016141365524252,1.297759644864,1.261983405924182,2.512364201632082,1.8359084135239088,1.4800503250447128,0.23227094344589055,0.23225702383826272,0.2679386228309232,0.25784860571223495,0.2505882420567735,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.2534977028986423,1.2506869219931849,1.062065796184452,1.2454252520532152,1.2210964870575278,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_30_vw_40,0.2,0.3,40,1.5,0.33435236295262083,0.3230699580923295,0.969658735397511,0.6082178721206273,0.43005138503187124,-0.3476734103631627,-0.3476734103631627,-0.17170180500980115,-0.17170180500980115,-0.34767341036316257,1.2776387782949747,1.2396655814772841,2.4219938497959244,1.841711206775466,1.4397737641825044,0.25044414467840254,0.2514709197831261,0.29917565233822185,0.2793377472803482,0.2747926005638268,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.309610504162369,1.3083983478788859,1.1690062098317726,1.3077541264088028,1.304501135560995,1.5,1.5,1.5,1.5,1.5,exploratory,pending
