candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days
r2_0.20_no_tv_vw_20,0.2,,20,1.5,full,2015-07-13,2026-05-15,2728,0.23740538958317203,0.1852016289310846,1.243427212916492,-0.2512482906587016,9.034116674930143,2015-07-13,2022-10-14,274,227,2501,0.9167888563049853,0.9167888563049853,1.0,0.0,1455,1046
r2_0.20_no_tv_vw_20,0.2,,20,1.5,last_10y,2016-05-09,2026-05-15,2520,0.23175780502502508,0.18722704697359452,1.207558428844641,-0.2512482906587016,7.0399477913183865,2016-05-09,2022-10-14,248,203,2317,0.9194444444444444,0.9194444444444444,1.0,0.0,1365,952
r2_0.20_no_tv_vw_20,0.2,,20,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2842121754630915,0.19964890929386953,1.3532853141995793,-0.2512482906587016,2.4928820108809955,2021-05-11,2022-10-14,121,90,1170,0.9285714285714286,0.9285714285714286,1.0,0.0,633,537
r2_0.20_no_tv_vw_20,0.2,,20,1.5,last_3y,2023-05-11,2026-05-15,756,0.3930133102489175,0.20689038298224222,1.7065275907429636,-0.15295665801712233,1.7031229413179707,2023-05-11,2026-03-30,61,43,713,0.9431216931216931,0.9431216931216931,1.0,0.0,397,316
r2_0.20_no_tv_vw_20,0.2,,20,1.5,last_1y,2025-05-15,2026-05-15,252,0.5758807172225819,0.23837730805596288,2.030618463004442,-0.15295665801712255,0.5758807172225819,2025-05-15,2026-03-30,16,18,234,0.9285714285714286,0.9285714285714286,1.0,0.0,128,106
r2_0.20_tv_15_vw_20,0.2,0.15,20,1.5,full,2015-07-13,2026-05-15,2728,0.2311761274287898,0.16963948347376862,1.311246505103938,-0.20837389342106005,8.50061794463946,2015-07-13,2022-09-26,2190,227,2501,0.9167888563049853,0.973140721322443,1.5,0.0,1455,1046
r2_0.20_tv_15_vw_20,0.2,0.15,20,1.5,last_10y,2016-05-09,2026-05-15,2520,0.230806171989558,0.16901426088499122,1.3136834372225263,-0.20837389342106005,6.978048165007209,2016-05-09,2022-09-26,2001,203,2317,0.9194444444444444,0.9762308539244126,1.5,0.0,1365,952
r2_0.20_tv_15_vw_20,0.2,0.15,20,1.5,last_5y,2021-05-11,2026-05-15,1260,0.28759160542482864,0.17407596222577112,1.5397614202887948,-0.20837389342106005,2.5390824702174832,2021-05-11,2022-09-26,1124,90,1170,0.9285714285714286,0.8954837157169409,1.5,0.0,633,537
r2_0.20_tv_15_vw_20,0.2,0.15,20,1.5,last_3y,2023-05-11,2026-05-15,756,0.38072133182726464,0.17981207177807784,1.8850302138585842,-0.11739682782801275,1.632195267494016,2023-05-11,2026-03-30,689,43,713,0.9431216931216931,0.9180929861377947,1.5,0.0,397,316
r2_0.20_tv_15_vw_20,0.2,0.15,20,1.5,last_1y,2025-05-15,2026-05-15,252,0.5639377200447904,0.18172759643587555,2.554782241100755,-0.11739682782801264,0.5639377200447904,2025-05-15,2026-03-30,225,18,234,0.9285714285714286,0.8153247938354947,1.5,0.0,128,106
r2_0.20_tv_20_vw_20,0.2,0.2,20,1.5,full,2015-07-13,2026-05-15,2728,0.2822443373161829,0.20738258652433478,1.3030537420855703,-0.2673009517682322,13.751176013642553,2015-07-13,2022-10-14,1546,227,2501,0.9167888563049853,1.1610031203999311,1.5,0.0,1455,1046
r2_0.20_tv_20_vw_20,0.2,0.2,20,1.5,last_10y,2016-05-09,2026-05-15,2520,0.27434322302378544,0.2064387516914422,1.2781195081916499,-0.2673009517682322,10.294425291349885,2016-05-09,2022-10-14,1415,203,2317,0.9194444444444444,1.1588262989694371,1.5,0.0,1365,952
