candidate,line_id,diagnosis_group,lookback,r2_threshold,target_vol,overheat,cash_ratio_full,avg_exposure_full,trades_full,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y
orig_full_v1_1_reference,original_v1_1,original_full_chain,25,0.2,0.25,original_ma60,0.1576889661164205,1.04274595796834,1928,0.16333167746880006,-0.33782744083623395,,,,insufficient rows: 2302 < 2520 trading days,0.20776703698839039,-0.33782744083623395,,0.31860969024955343,-0.18360220883639433,,0.22504814203203272,-0.1817971445698,
A_clean_scoremax_5_overheat_off,A_clean,selected_two_line,28,0.5,,off,0.2845351867940921,0.6761511728931364,411,0.11734991830398522,-0.30708200140112396,,,,insufficient rows: 2302 < 2520 trading days,0.13009123334684647,-0.24682349464857423,,0.1742286615812607,-0.24682349464857445,,0.4473572499391889,-0.09126545623702831,
G_decay_nav_scoremax_5_overheat_off,G_decay_nav,selected_two_line,28,0.5,,off,0.2845351867940921,0.5987999565595135,1086,0.09677294907896128,-0.27089187195769515,,,,insufficient rows: 2302 < 2520 trading days,0.11274081483156251,-0.2196529350498284,,0.15656004610803365,-0.21965293504982852,,0.4066614613793915,-0.09129507377645818,
A_clean_r2_0p0_scoremax_5_overheat_off,A_clean_r2_0p0,clean_r2_sensitivity,28,0.0,,off,0.05994787141615986,0.8955256298870548,397,0.23681302112314362,-0.20310883918184863,,,,insufficient rows: 2302 < 2520 trading days,0.22140812202725035,-0.1959666299329479,,0.30259604284465147,-0.18377550699285572,,0.3233161226249708,-0.18377550699285616,
A_clean_r2_0p2_scoremax_5_overheat_off,A_clean_r2_0p2,clean_r2_sensitivity,28,0.2,,off,0.1520417028670721,0.8035403996524761,417,0.20359518434922186,-0.25789216775788315,,,,insufficient rows: 2302 < 2520 trading days,0.22250813918563228,-0.19188557096668435,,0.2767008768780581,-0.13757775290267837,,0.3240593829269329,-0.13757775290267849,
A_clean_r2_0p3_scoremax_5_overheat_off,A_clean_r2_0p3,clean_r2_sensitivity,28,0.3,,off,0.1889661164205039,0.7695482189400521,409,0.17174021602760337,-0.32326304923449845,,,,insufficient rows: 2302 < 2520 trading days,0.20453967940105233,-0.20370932449296764,,0.25231477130837154,-0.15302195205713787,,0.3142003866720351,-0.15302195205713787,
A_clean_r2_0p4_scoremax_5_overheat_off,A_clean_r2_0p4,clean_r2_sensitivity,28,0.4,,off,0.2319721980886186,0.7280625543006082,403,0.14800027517654235,-0.33485939555689104,,,,insufficient rows: 2302 < 2520 trading days,0.17194496056434194,-0.21897365692962478,,0.20785946723466697,-0.21897365692962467,,0.42377821576219477,-0.104965603744964,
A_clean_r2_0p5_scoremax_5_overheat_off,A_clean_r2_0p5,clean_r2_sensitivity,28,0.5,,off,0.2845351867940921,0.6761511728931364,411,0.11734991830398522,-0.30708200140112396,,,,insufficient rows: 2302 < 2520 trading days,0.13009123334684647,-0.24682349464857423,,0.1742286615812607,-0.24682349464857445,,0.4473572499391889,-0.09126545623702831,
