check,threshold,segment,metric,abs_diff
overlap_metric,0.1,full,ann_return,5.551115123125783e-17
overlap_metric,0.1,full,ann_vol,0.0
overlap_metric,0.1,full,sharpe_repo,2.220446049250313e-16
overlap_metric,0.1,full,max_dd,0.0
overlap_metric,0.1,full,turnover_total,0.0
overlap_metric,0.1,full,cost_total,0.0
overlap_metric,0.1,last_10y,ann_return,0.0
overlap_metric,0.1,last_10y,ann_vol,5.551115123125783e-17
overlap_metric,0.1,last_10y,sharpe_repo,0.0
overlap_metric,0.1,last_10y,max_dd,2.7755575615628914e-17
overlap_metric,0.1,last_10y,turnover_total,0.0
overlap_metric,0.1,last_10y,cost_total,0.0
overlap_metric,0.1,last_5y,ann_return,0.0
overlap_metric,0.1,last_5y,ann_vol,0.0
overlap_metric,0.1,last_5y,sharpe_repo,0.0
overlap_metric,0.1,last_5y,max_dd,0.0
overlap_metric,0.1,last_5y,turnover_total,0.0
overlap_metric,0.1,last_5y,cost_total,0.0
overlap_metric,0.1,last_3y,ann_return,0.0
overlap_metric,0.1,last_3y,ann_vol,5.551115123125783e-17
overlap_metric,0.1,last_3y,sharpe_repo,0.0
overlap_metric,0.1,last_3y,max_dd,2.7755575615628914e-17
overlap_metric,0.1,last_3y,turnover_total,0.0
overlap_metric,0.1,last_3y,cost_total,0.0
overlap_metric,0.1,last_1y,ann_return,5.551115123125783e-17
overlap_metric,0.1,last_1y,ann_vol,5.551115123125783e-17
overlap_metric,0.1,last_1y,sharpe_repo,0.0
overlap_metric,0.1,last_1y,max_dd,2.7755575615628914e-17
overlap_metric,0.1,last_1y,turnover_total,0.0
overlap_metric,0.1,last_1y,cost_total,1.3877787807814457e-17
overlap_metric,0.15,full,ann_return,5.551115123125783e-17
overlap_metric,0.15,full,ann_vol,2.7755575615628914e-17
overlap_metric,0.15,full,sharpe_repo,0.0
overlap_metric,0.15,full,max_dd,0.0
overlap_metric,0.15,full,turnover_total,0.0
overlap_metric,0.15,full,cost_total,0.0
overlap_metric,0.15,last_10y,ann_return,0.0
overlap_metric,0.15,last_10y,ann_vol,5.551115123125783e-17
overlap_metric,0.15,last_10y,sharpe_repo,0.0
overlap_metric,0.15,last_10y,max_dd,2.7755575615628914e-17
overlap_metric,0.15,last_10y,turnover_total,0.0
overlap_metric,0.15,last_10y,cost_total,0.0
overlap_metric,0.15,last_5y,ann_return,0.0
overlap_metric,0.15,last_5y,ann_vol,0.0
overlap_metric,0.15,last_5y,sharpe_repo,0.0
overlap_metric,0.15,last_5y,max_dd,2.7755575615628914e-17
overlap_metric,0.15,last_5y,turnover_total,0.0
overlap_metric,0.15,last_5y,cost_total,0.0
overlap_metric,0.15,last_3y,ann_return,0.0
overlap_metric,0.15,last_3y,ann_vol,0.0
overlap_metric,0.15,last_3y,sharpe_repo,0.0
overlap_metric,0.15,last_3y,max_dd,2.7755575615628914e-17
overlap_metric,0.15,last_3y,turnover_total,0.0
overlap_metric,0.15,last_3y,cost_total,0.0
overlap_metric,0.15,last_1y,ann_return,0.0
overlap_metric,0.15,last_1y,ann_vol,5.551115123125783e-17
overlap_metric,0.15,last_1y,sharpe_repo,0.0
overlap_metric,0.15,last_1y,max_dd,2.7755575615628914e-17
overlap_metric,0.15,last_1y,turnover_total,0.0
overlap_metric,0.15,last_1y,cost_total,0.0
overlap_metric,0.2,full,ann_return,5.551115123125783e-17
overlap_metric,0.2,full,ann_vol,0.0
overlap_metric,0.2,full,sharpe_repo,0.0
overlap_metric,0.2,full,max_dd,8.326672684688674e-17
overlap_metric,0.2,full,turnover_total,0.0
overlap_metric,0.2,full,cost_total,0.0
overlap_metric,0.2,last_10y,ann_return,0.0
overlap_metric,0.2,last_10y,ann_vol,0.0
overlap_metric,0.2,last_10y,sharpe_repo,0.0
overlap_metric,0.2,last_10y,max_dd,2.7755575615628914e-17
overlap_metric,0.2,last_10y,turnover_total,0.0
overlap_metric,0.2,last_10y,cost_total,0.0
overlap_metric,0.2,last_5y,ann_return,0.0
overlap_metric,0.2,last_5y,ann_vol,0.0
overlap_metric,0.2,last_5y,sharpe_repo,2.220446049250313e-16
overlap_metric,0.2,last_5y,max_dd,8.326672684688674e-17
overlap_metric,0.2,last_5y,turnover_total,0.0
overlap_metric,0.2,last_5y,cost_total,0.0
overlap_metric,0.2,last_3y,ann_return,0.0
overlap_metric,0.2,last_3y,ann_vol,0.0
overlap_metric,0.2,last_3y,sharpe_repo,2.220446049250313e-16
overlap_metric,0.2,last_3y,max_dd,5.551115123125783e-17
overlap_metric,0.2,last_3y,turnover_total,0.0
overlap_metric,0.2,last_3y,cost_total,0.0
overlap_metric,0.2,last_1y,ann_return,0.0
overlap_metric,0.2,last_1y,ann_vol,0.0
overlap_metric,0.2,last_1y,sharpe_repo,0.0
overlap_metric,0.2,last_1y,max_dd,2.7755575615628914e-17
overlap_metric,0.2,last_1y,turnover_total,0.0
overlap_metric,0.2,last_1y,cost_total,0.0
overlap_metric,0.25,full,ann_return,0.0
overlap_metric,0.25,full,ann_vol,0.0
overlap_metric,0.25,full,sharpe_repo,0.0
overlap_metric,0.25,full,max_dd,5.551115123125783e-17
overlap_metric,0.25,full,turnover_total,0.0
overlap_metric,0.25,full,cost_total,0.0
overlap_metric,0.25,last_10y,ann_return,0.0
overlap_metric,0.25,last_10y,ann_vol,5.551115123125783e-17
overlap_metric,0.25,last_10y,sharpe_repo,0.0
overlap_metric,0.25,last_10y,max_dd,5.551115123125783e-17
overlap_metric,0.25,last_10y,turnover_total,0.0
overlap_metric,0.25,last_10y,cost_total,0.0
overlap_metric,0.25,last_5y,ann_return,0.0
overlap_metric,0.25,last_5y,ann_vol,5.551115123125783e-17
overlap_metric,0.25,last_5y,sharpe_repo,0.0
overlap_metric,0.25,last_5y,max_dd,2.7755575615628914e-17
overlap_metric,0.25,last_5y,turnover_total,0.0
overlap_metric,0.25,last_5y,cost_total,0.0
overlap_metric,0.25,last_3y,ann_return,0.0
overlap_metric,0.25,last_3y,ann_vol,0.0
overlap_metric,0.25,last_3y,sharpe_repo,0.0
overlap_metric,0.25,last_3y,max_dd,5.551115123125783e-17
overlap_metric,0.25,last_3y,turnover_total,0.0
overlap_metric,0.25,last_3y,cost_total,0.0
overlap_metric,0.25,last_1y,ann_return,0.0
overlap_metric,0.25,last_1y,ann_vol,0.0
overlap_metric,0.25,last_1y,sharpe_repo,2.220446049250313e-16
overlap_metric,0.25,last_1y,max_dd,0.0
overlap_metric,0.25,last_1y,turnover_total,0.0
overlap_metric,0.25,last_1y,cost_total,1.3877787807814457e-17
overlap_metric,0.3,full,ann_return,0.0
overlap_metric,0.3,full,ann_vol,0.0
overlap_metric,0.3,full,sharpe_repo,0.0
overlap_metric,0.3,full,max_dd,5.551115123125783e-17
overlap_metric,0.3,full,turnover_total,0.0
overlap_metric,0.3,full,cost_total,0.0
overlap_metric,0.3,last_10y,ann_return,0.0
overlap_metric,0.3,last_10y,ann_vol,2.7755575615628914e-17
overlap_metric,0.3,last_10y,sharpe_repo,0.0
overlap_metric,0.3,last_10y,max_dd,5.551115123125783e-17
overlap_metric,0.3,last_10y,turnover_total,0.0
overlap_metric,0.3,last_10y,cost_total,0.0
overlap_metric,0.3,last_5y,ann_return,5.551115123125783e-17
overlap_metric,0.3,last_5y,ann_vol,0.0
overlap_metric,0.3,last_5y,sharpe_repo,0.0
overlap_metric,0.3,last_5y,max_dd,2.7755575615628914e-17
overlap_metric,0.3,last_5y,turnover_total,0.0
overlap_metric,0.3,last_5y,cost_total,0.0
overlap_metric,0.3,last_3y,ann_return,0.0
overlap_metric,0.3,last_3y,ann_vol,0.0
overlap_metric,0.3,last_3y,sharpe_repo,2.220446049250313e-16
overlap_metric,0.3,last_3y,max_dd,0.0
overlap_metric,0.3,last_3y,turnover_total,0.0
overlap_metric,0.3,last_3y,cost_total,0.0
overlap_metric,0.3,last_1y,ann_return,0.0
overlap_metric,0.3,last_1y,ann_vol,5.551115123125783e-17
overlap_metric,0.3,last_1y,sharpe_repo,0.0
overlap_metric,0.3,last_1y,max_dd,0.0
overlap_metric,0.3,last_1y,turnover_total,0.0
overlap_metric,0.3,last_1y,cost_total,1.3877787807814457e-17
overlap_metric,0.4,full,ann_return,2.7755575615628914e-17
overlap_metric,0.4,full,ann_vol,5.551115123125783e-17
overlap_metric,0.4,full,sharpe_repo,1.1102230246251565e-16
overlap_metric,0.4,full,max_dd,0.0
