start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,cash_days,trade_days,avg_turnover,turnover_total,cost_total,candidate,segment,score_max,lookback,r2,switch_buffer,initial_entry_fraction,overheat,target_vol
2011-12-09,2026-09-02,3578,0.07622138896468966,0.2044023218153719,0.4615142513612532,-0.5212561704362032,0.859418669647848,0.859418669647848,503,542,0.2708216880939072,969.0,0.969,score_max_2,full,2,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.16351268538611508,0.20594228868552714,0.8382332204002352,-0.24770904356878187,0.957936507936508,0.957936507936508,106,426,0.32063492063492066,808.0,0.808,score_max_2,last_10y,2,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.2074720937464416,0.2193958034059301,0.9687239112072775,-0.2477090435687812,0.9507936507936507,0.9507936507936507,62,241,0.36507936507936506,460.0,0.46,score_max_2,last_5y,2,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.28909281201354275,0.22568878708402967,1.2380071010679738,-0.24770904356878165,0.9431216931216931,0.9431216931216931,43,157,0.3968253968253968,300.0,0.3,score_max_2,last_3y,2,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.040520850992974644,0.2683738476202881,0.2820949966915125,-0.24770904356878198,0.9325396825396826,0.9325396825396826,17,65,0.49206349206349204,124.0,0.124,score_max_2,last_1y,2,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.15099889389126298,0.2240043031223338,0.7398894979968269,-0.44129509071558604,0.8801006148686417,0.8801006148686417,429,473,0.23896031302403578,855.0,0.8550000000000001,score_max_3,full,3,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.2433663058480351,0.2227976411713257,1.0891300657390977,-0.24994388000718426,0.9686507936507937,0.9686507936507937,79,367,0.27936507936507937,704.0,0.7040000000000001,score_max_3,last_10y,3,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.30004220809706994,0.23838189239250898,1.2197030630274321,-0.24994388000718426,0.9619047619047619,0.9619047619047619,48,205,0.31587301587301586,398.0,0.398,score_max_3,last_5y,3,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.39374236046044997,0.25154509593209573,1.445810732583684,-0.1478428337559814,0.958994708994709,0.958994708994709,31,139,0.35714285714285715,270.0,0.27,score_max_3,last_3y,3,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.11970415758413311,0.29893604870225393,0.5275060264770719,-0.14674175784273102,0.9722222222222222,0.9722222222222222,7,60,0.46825396825396826,118.0,0.11800000000000001,score_max_3,last_1y,3,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.184608327460148,0.2377254323384299,0.8309542847777269,-0.4554787254239854,0.8876467300167692,0.8876467300167692,402,419,0.21101173840134152,755.0,0.755,score_max_4,full,4,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.2813469268853823,0.23771951713771838,1.1608879832281125,-0.2217594497059131,0.9722222222222222,0.9722222222222222,70,320,0.24365079365079365,614.0,0.6140000000000001,score_max_4,last_10y,4,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.39722861004944887,0.2624010918554918,1.4042087754760284,-0.22175944970591277,0.9650793650793651,0.9650793650793651,44,176,0.2698412698412698,340.0,0.34,score_max_4,last_5y,4,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.465284509588745,0.2833155326407367,1.4880008919203964,-0.15851821977799951,0.9616402116402116,0.9616402116402116,29,114,0.291005291005291,220.0,0.22,score_max_4,last_3y,4,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.10812615640552337,0.30375234659036543,0.4896306837668962,-0.15851821977799951,0.9722222222222222,0.9722222222222222,7,47,0.36507936507936506,92.0,0.092,score_max_4,last_1y,4,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2304516411332378,0.24371634664376826,0.9722486786218211,-0.3646693805451159,0.8943543879262158,0.8943543879262158,378,384,0.19312465064281722,691.0,0.691,score_max_5,full,5,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.34170002754532525,0.24090591081288873,1.3398950386378166,-0.21482886172980187,0.975,0.975,63,293,0.22301587301587303,562.0,0.562,score_max_5,last_10y,5,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4839680213198021,0.26626305032071723,1.6141132068788797,-0.21482886172980253,0.9706349206349206,0.9706349206349206,37,158,0.24285714285714285,306.0,0.306,score_max_5,last_5y,5,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6104951753386827,0.28875082988023815,1.7930810447278684,-0.17184869163190497,0.9642857142857143,0.9642857142857143,27,102,0.2619047619047619,198.0,0.198,score_max_5,last_3y,5,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3335966024152561,0.3138489225670585,1.0743488348190062,-0.17184869163190508,0.9722222222222222,0.9722222222222222,7,45,0.3492063492063492,88.0,0.08800000000000001,score_max_5,last_1y,5,25,off,1.0,1.0,off,off
